model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-160m,draw_1,univ6,very_low,623,tokenwise_mean_corrupt,0.057777777777777775,0.1511111111111111
pythia-160m,draw_1,univ6,low,623,tokenwise_mean_corrupt,0.017777777777777778,0.1111111111111111
pythia-160m,draw_1,univ6,medium,623,tokenwise_mean_corrupt,0.10222222222222223,0.3022222222222222
pythia-160m,draw_1,univ6,high,623,tokenwise_mean_corrupt,0.26222222222222225,0.44
pythia-160m,draw_1,univ6,very_high,623,tokenwise_mean_corrupt,0.32,0.5688888888888889
pythia-160m,draw_1,univ6,control,623,tokenwise_mean_corrupt,0.27555555555555555,0.43555555555555553
pythia-160m,draw_1,univ5,very_low,694,tokenwise_mean_corrupt,0.12444444444444444,0.3111111111111111
pythia-160m,draw_1,univ5,low,694,tokenwise_mean_corrupt,0.08444444444444445,0.3022222222222222
pythia-160m,draw_1,univ5,medium,694,tokenwise_mean_corrupt,0.22666666666666666,0.5111111111111111
pythia-160m,draw_1,univ5,high,694,tokenwise_mean_corrupt,0.40444444444444444,0.6222222222222222
pythia-160m,draw_1,univ5,very_high,694,tokenwise_mean_corrupt,0.49333333333333335,0.7688888888888888
pythia-160m,draw_1,univ5,control,694,tokenwise_mean_corrupt,0.41333333333333333,0.68
pythia-160m,draw_2,univ6,very_low,668,tokenwise_mean_corrupt,0.05333333333333334,0.17777777777777778
pythia-160m,draw_2,univ6,low,668,tokenwise_mean_corrupt,0.017777777777777778,0.12
pythia-160m,draw_2,univ6,medium,668,tokenwise_mean_corrupt,0.035555555555555556,0.14222222222222222
pythia-160m,draw_2,univ6,high,668,tokenwise_mean_corrupt,0.12,0.28444444444444444
pythia-160m,draw_2,univ6,very_high,668,tokenwise_mean_corrupt,0.31555555555555553,0.5422222222222223
pythia-160m,draw_2,univ6,control,668,tokenwise_mean_corrupt,0.16444444444444445,0.31555555555555553
pythia-160m,draw_2,univ5,very_low,723,tokenwise_mean_corrupt,0.10222222222222223,0.28444444444444444
pythia-160m,draw_2,univ5,low,723,tokenwise_mean_corrupt,0.057777777777777775,0.2222222222222222
pythia-160m,draw_2,univ5,medium,723,tokenwise_mean_corrupt,0.09777777777777778,0.4088888888888889
pythia-160m,draw_2,univ5,high,723,tokenwise_mean_corrupt,0.28888888888888886,0.5733333333333334
pythia-160m,draw_2,univ5,very_high,723,tokenwise_mean_corrupt,0.5288888888888889,0.7422222222222222
pythia-160m,draw_2,univ5,control,723,tokenwise_mean_corrupt,0.4222222222222222,0.6622222222222223
pythia-160m,draw_3,univ6,very_low,660,tokenwise_mean_corrupt,0.02666666666666667,0.09777777777777778
pythia-160m,draw_3,univ6,low,660,tokenwise_mean_corrupt,0.008888888888888889,0.022222222222222223
pythia-160m,draw_3,univ6,medium,660,tokenwise_mean_corrupt,0.06666666666666667,0.16444444444444445
pythia-160m,draw_3,univ6,high,660,tokenwise_mean_corrupt,0.28444444444444444,0.4533333333333333
pythia-160m,draw_3,univ6,very_high,660,tokenwise_mean_corrupt,0.4222222222222222,0.6133333333333333
pythia-160m,draw_3,univ6,control,660,tokenwise_mean_corrupt,0.28444444444444444,0.4222222222222222
pythia-160m,draw_3,univ5,very_low,723,tokenwise_mean_corrupt,0.06222222222222222,0.18666666666666668
pythia-160m,draw_3,univ5,low,723,tokenwise_mean_corrupt,0.022222222222222223,0.1111111111111111
pythia-160m,draw_3,univ5,medium,723,tokenwise_mean_corrupt,0.07111111111111111,0.29333333333333333
pythia-160m,draw_3,univ5,high,723,tokenwise_mean_corrupt,0.26222222222222225,0.52
pythia-160m,draw_3,univ5,very_high,723,tokenwise_mean_corrupt,0.5066666666666667,0.7333333333333333
pythia-160m,draw_3,univ5,control,723,tokenwise_mean_corrupt,0.30666666666666664,0.5155555555555555
