model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-410m,draw_2,high,very_low,3483,tokenwise_mean_corrupt,0.0,0.0,matched,unmatched
pythia-410m,draw_2,high,low,3483,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-410m,draw_2,high,medium,3483,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-410m,draw_2,high,high,3483,tokenwise_mean_corrupt,0.2222222222222222,0.4444444444444444,matched,matched
pythia-410m,draw_2,high,very_high,3483,tokenwise_mean_corrupt,0.4888888888888889,0.76,matched,matched
pythia-410m,draw_2,high,control,3483,tokenwise_mean_corrupt,0.2311111111111111,0.4133333333333333,matched,matched
pythia-410m,draw_2,very_high,very_low,3476,tokenwise_mean_corrupt,0.3244444444444444,0.5511111111111111,matched,unmatched
pythia-410m,draw_2,very_high,low,3476,tokenwise_mean_corrupt,0.1111111111111111,0.2,matched,matched
pythia-410m,draw_2,very_high,medium,3476,tokenwise_mean_corrupt,0.0177777777777777,0.0311111111111111,matched,matched
pythia-410m,draw_2,very_high,high,3476,tokenwise_mean_corrupt,0.28,0.4711111111111111,matched,matched
pythia-410m,draw_2,very_high,very_high,3476,tokenwise_mean_corrupt,0.3022222222222222,0.6044444444444445,matched,matched
pythia-410m,draw_2,very_high,control,3476,tokenwise_mean_corrupt,0.2933333333333333,0.6133333333333333,matched,matched
pythia-410m,draw_2,control,very_low,3317,tokenwise_mean_corrupt,0.1911111111111111,0.44,matched,unmatched
pythia-410m,draw_2,control,low,3317,tokenwise_mean_corrupt,0.0622222222222222,0.1777777777777777,matched,matched
pythia-410m,draw_2,control,medium,3317,tokenwise_mean_corrupt,0.0888888888888888,0.1777777777777777,matched,matched
pythia-410m,draw_2,control,high,3317,tokenwise_mean_corrupt,0.1777777777777777,0.3777777777777777,matched,matched
pythia-410m,draw_2,control,very_high,3317,tokenwise_mean_corrupt,0.2533333333333333,0.4666666666666667,matched,matched
pythia-410m,draw_2,control,control,3317,tokenwise_mean_corrupt,0.1911111111111111,0.4266666666666667,matched,matched
pythia-410m,draw_3,very_low,very_low,3739,tokenwise_mean_corrupt,0.5866666666666667,0.7644444444444445,unmatched,unmatched
pythia-410m,draw_3,very_low,low,3739,tokenwise_mean_corrupt,0.3022222222222222,0.6711111111111111,unmatched,matched
pythia-410m,draw_3,very_low,medium,3739,tokenwise_mean_corrupt,0.2311111111111111,0.5555555555555556,unmatched,matched
pythia-410m,draw_3,very_low,high,3739,tokenwise_mean_corrupt,0.1511111111111111,0.4533333333333333,unmatched,matched
pythia-410m,draw_3,very_low,very_high,3739,tokenwise_mean_corrupt,0.0711111111111111,0.2844444444444444,unmatched,matched
pythia-410m,draw_3,very_low,control,3739,tokenwise_mean_corrupt,0.1022222222222222,0.3688888888888889,unmatched,matched
