model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-1b,draw_1,univ6,very_low,310,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ6,low,310,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ6,medium,310,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ6,high,310,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ6,very_high,310,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-1b,draw_1,univ6,control,310,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ5,very_low,348,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_1,univ5,low,348,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-1b,draw_1,univ5,medium,348,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-1b,draw_1,univ5,high,348,tokenwise_mean_corrupt,0.013333333333333334,0.035555555555555556
pythia-1b,draw_1,univ5,very_high,348,tokenwise_mean_corrupt,0.017777777777777778,0.07111111111111111
pythia-1b,draw_1,univ5,control,348,tokenwise_mean_corrupt,0.0044444444444444444,0.03111111111111111
pythia-1b,draw_2,univ6,very_low,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ6,low,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ6,medium,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ6,high,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ6,very_high,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ6,control,305,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ5,very_low,356,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ5,low,356,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ5,medium,356,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ5,high,356,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-1b,draw_2,univ5,very_high,356,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_2,univ5,control,356,tokenwise_mean_corrupt,0.0,0.0
pythia-1b,draw_3,univ6,very_low,330,tokenwise_mean_corrupt,0.008888888888888889,0.04
pythia-1b,draw_3,univ6,low,330,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-1b,draw_3,univ6,medium,330,tokenwise_mean_corrupt,0.0,0.0044444444444444444
pythia-1b,draw_3,univ6,high,330,tokenwise_mean_corrupt,0.0,0.008888888888888889
pythia-1b,draw_3,univ6,very_high,330,tokenwise_mean_corrupt,0.0044444444444444444,0.02666666666666667
pythia-1b,draw_3,univ6,control,330,tokenwise_mean_corrupt,0.0044444444444444444,0.02666666666666667
pythia-1b,draw_3,univ5,very_low,364,tokenwise_mean_corrupt,0.02666666666666667,0.07111111111111111
pythia-1b,draw_3,univ5,low,364,tokenwise_mean_corrupt,0.0044444444444444444,0.022222222222222223
pythia-1b,draw_3,univ5,medium,364,tokenwise_mean_corrupt,0.0,0.02666666666666667
pythia-1b,draw_3,univ5,high,364,tokenwise_mean_corrupt,0.0044444444444444444,0.04888888888888889
pythia-1b,draw_3,univ5,very_high,364,tokenwise_mean_corrupt,0.013333333333333334,0.06222222222222222
pythia-1b,draw_3,univ5,control,364,tokenwise_mean_corrupt,0.013333333333333334,0.06222222222222222
