model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-1.4b,draw_1,univ6,very_low,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ6,low,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ6,medium,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ6,high,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ6,very_high,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ6,control,544,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,very_low,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,low,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,medium,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,high,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,very_high,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_1,univ5,control,625,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,very_low,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,low,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,medium,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,high,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,very_high,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ6,control,535,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,very_low,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,low,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,medium,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,high,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,very_high,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_2,univ5,control,616,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,very_low,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,low,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,medium,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,high,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,very_high,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ6,control,523,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ5,very_low,619,tokenwise_mean_corrupt,0.0,0.013333333333333334
pythia-1.4b,draw_3,univ5,low,619,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ5,medium,619,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ5,high,619,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ5,very_high,619,tokenwise_mean_corrupt,0.0,0.0
pythia-1.4b,draw_3,univ5,control,619,tokenwise_mean_corrupt,0.0,0.0044444444444444444
