model,draw,layer,attn_mi,mlp_mi,mlp_advantage
pythia-70m,draw_1,0,0.700551160716489,0.6153630657748339,-0.08518809494165513
pythia-70m,draw_1,1,1.0020859498300472,0.4891225593122085,-0.5129633905178387
pythia-70m,draw_1,2,0.6919277744868223,0.5336204360762323,-0.15830733841058997
pythia-70m,draw_1,3,0.5164596276033743,0.3850809761971712,-0.13137865140620308
pythia-70m,draw_1,4,0.728960778095258,0.30389043642810754,-0.4250703416671505
pythia-70m,draw_1,5,0.5312782378878336,0.38798669526336127,-0.1432915426244723
pythia-70m,draw_2,0,0.6808509138969601,0.6783541163546634,-0.0024967975422967026
pythia-70m,draw_2,1,1.0202884921857642,0.45194352820790007,-0.5683449639778642
pythia-70m,draw_2,2,0.653181258739456,0.506210757367737,-0.14697050137171896
pythia-70m,draw_2,3,0.5406858617160135,0.3856568960501894,-0.15502896566582414
pythia-70m,draw_2,4,0.6901880979520639,0.2707843147581162,-0.4194037831939477
pythia-70m,draw_2,5,0.5380278532058649,0.39925980888284485,-0.13876804432302003
pythia-70m,draw_3,0,0.7111356651268574,0.6050439471776059,-0.10609171794925154
pythia-70m,draw_3,1,1.053392920542649,0.5222016340693699,-0.5311912864732792
pythia-70m,draw_3,2,0.6843677506348348,0.5288059197421002,-0.15556183089273456
pythia-70m,draw_3,3,0.5162147102501616,0.39277760775956355,-0.12343710249059808
pythia-70m,draw_3,4,0.7072311301153562,0.28046283659505905,-0.42676829352029716
pythia-70m,draw_3,5,0.5925398491678141,0.3861869515992766,-0.20635289756853753
pythia-160m,draw_1,0,0.7815606797443126,0.7574477355533776,-0.024112944190935015
pythia-160m,draw_1,1,0.8730605618111401,0.49424716765845816,-0.37881339415268195
pythia-160m,draw_1,2,0.9091106658798002,0.4916084502302281,-0.4175022156495721
pythia-160m,draw_1,3,0.4455550479531138,0.6938738157900678,0.248318767836954
pythia-160m,draw_1,4,0.7225684046758779,0.578179571890657,-0.14438883278522086
pythia-160m,draw_1,5,0.9118826642280824,0.5952305581702507,-0.3166521060578317
pythia-160m,draw_1,6,1.0255721638329307,0.4996951114984185,-0.5258770523345122
pythia-160m,draw_1,7,0.9180602482043972,0.4926185192589036,-0.42544172894549365
pythia-160m,draw_1,8,0.6412990286677821,0.5374611319385116,-0.10383789672927046
pythia-160m,draw_1,9,0.5196400126694622,0.3855398355899482,-0.13410017707951405
pythia-160m,draw_1,10,0.6613264341001075,0.39500401369199434,-0.26632242040811316
pythia-160m,draw_1,11,0.7221320547441982,0.6030370476721628,-0.11909500707203535
pythia-160m,draw_2,0,0.8081788574626222,0.7530505886257152,-0.055128268836907024
pythia-160m,draw_2,1,0.8776606119332702,0.47179507256932596,-0.4058655393639442
pythia-160m,draw_2,2,0.8386806433273878,0.5248387855555081,-0.3138418577718797
pythia-160m,draw_2,3,0.3887126184210751,0.6663408837244258,0.2776282653033507
pythia-160m,draw_2,4,0.7509905104925815,0.563961678134948,-0.18702883235763346
pythia-160m,draw_2,5,0.9496100576501239,0.5968408245177855,-0.3527692331323383
pythia-160m,draw_2,6,1.0353926235298032,0.49468756891199545,-0.5407050546178078
