model,draw,layer,mi_ksg,d_model,mi_probe,probe_accuracy
pythia-1.4b,draw_1,0,0.9951427706010411,2048,0.8955082215983698,0.5911111111111111
pythia-1.4b,draw_1,1,1.0540543869149375,2048,,
pythia-1.4b,draw_1,2,1.0218617408233295,2048,1.062136716483226,0.6808888888888889
pythia-1.4b,draw_1,3,0.998385999479472,2048,,
pythia-1.4b,draw_1,4,0.9842159176497435,2048,1.051691013899178,0.6622222222222222
pythia-1.4b,draw_1,5,0.9490614694872075,2048,,
pythia-1.4b,draw_1,6,0.9805191965270322,2048,1.0316788131127437,0.6639999999999999
pythia-1.4b,draw_1,7,0.8688831532648834,2048,,
pythia-1.4b,draw_1,8,0.8804955415613916,2048,1.2338470037777203,0.728
pythia-1.4b,draw_1,9,0.8406588799818022,2048,,
pythia-1.4b,draw_1,10,0.9684177850365707,2048,1.1800181579308628,0.6888888888888889
pythia-1.4b,draw_1,11,1.0294867707263222,2048,,
pythia-1.4b,draw_1,12,1.056929564134325,2048,1.2431475675908485,0.7146666666666667
pythia-1.4b,draw_1,13,1.0710797512336285,2048,,
pythia-1.4b,draw_1,14,1.0619581532967128,2048,1.154029638655728,0.6862222222222222
pythia-1.4b,draw_1,15,1.1040885785897254,2048,,
pythia-1.4b,draw_1,16,1.1430166229088252,2048,1.381837350281677,0.7831111111111111
pythia-1.4b,draw_1,17,1.1654200366506018,2048,,
pythia-1.4b,draw_1,18,1.1646584953564119,2048,1.448579252465315,0.8017777777777777
pythia-1.4b,draw_1,19,1.1761179695753419,2048,,
pythia-1.4b,draw_1,20,1.1835984248905589,2048,1.523637863094026,0.8266666666666668
pythia-1.4b,draw_1,21,1.1944262520590054,2048,,
pythia-1.4b,draw_1,22,1.1999214199977224,2048,1.5409768931677017,0.8257777777777779
pythia-1.4b,draw_1,23,1.126880449384571,2048,1.5094481313276564,0.8195555555555556
pythia-1.4b,draw_2,0,0.9963073311791989,2048,,
pythia-1.4b,draw_2,1,1.1283155370603475,2048,,
pythia-1.4b,draw_2,2,1.152886413080117,2048,,
pythia-1.4b,draw_2,3,1.0939349771899054,2048,,
pythia-1.4b,draw_2,4,1.0565489849999,2048,,
pythia-1.4b,draw_2,5,1.0112238367053885,2048,,
pythia-1.4b,draw_2,6,0.9883419752851161,2048,,
pythia-1.4b,draw_2,7,0.9059051904973778,2048,,
pythia-1.4b,draw_2,8,0.918770238170611,2048,,
pythia-1.4b,draw_2,9,0.9023734417958951,2048,,
pythia-1.4b,draw_2,10,0.9039860936883568,2048,,
pythia-1.4b,draw_2,11,0.9938923787040299,2048,,
pythia-1.4b,draw_2,12,1.0511400136825293,2048,,
pythia-1.4b,draw_2,13,1.0464078671846446,2048,,
pythia-1.4b,draw_2,14,1.0064232387390535,2048,,
pythia-1.4b,draw_2,15,1.0416751165728535,2048,,
pythia-1.4b,draw_2,16,1.0909718247960234,2048,,
pythia-1.4b,draw_2,17,1.108659575887698,2048,,
pythia-1.4b,draw_2,18,1.1145707907233031,2048,,
pythia-1.4b,draw_2,19,1.1112573841968987,2048,,
pythia-1.4b,draw_2,20,1.1246478779819562,2048,,
pythia-1.4b,draw_2,21,1.1449033300252613,2048,,
pythia-1.4b,draw_2,22,1.1349256278797049,2048,,
pythia-1.4b,draw_2,23,1.0941851187728087,2048,,
pythia-1.4b,draw_3,0,0.9715155595763758,2048,,
pythia-1.4b,draw_3,1,1.1068853995985746,2048,,
pythia-1.4b,draw_3,2,1.1001240454025931,2048,,
pythia-1.4b,draw_3,3,1.0444931759371168,2048,,
pythia-1.4b,draw_3,4,0.9954827043918295,2048,,
pythia-1.4b,draw_3,5,0.9834566017271978,2048,,
pythia-1.4b,draw_3,6,0.9343697930203031,2048,,
pythia-1.4b,draw_3,7,0.8955763398988376,2048,,
pythia-1.4b,draw_3,8,0.8715009367226345,2048,,
pythia-1.4b,draw_3,9,0.8198787830972558,2048,,
pythia-1.4b,draw_3,10,0.8642926757389467,2048,,
pythia-1.4b,draw_3,11,1.0072072396334988,2048,,
pythia-1.4b,draw_3,12,1.0033874078601357,2048,,
pythia-1.4b,draw_3,13,1.0050844027194819,2048,,
pythia-1.4b,draw_3,14,1.0149894161724518,2048,,
pythia-1.4b,draw_3,15,1.0157813533191884,2048,,
pythia-1.4b,draw_3,16,1.0382667147377755,2048,,
pythia-1.4b,draw_3,17,1.0444020753564438,2048,,
pythia-1.4b,draw_3,18,1.0502569223428797,2048,,
pythia-1.4b,draw_3,19,1.080758823772231,2048,,
pythia-1.4b,draw_3,20,1.0769533058736358,2048,,
pythia-1.4b,draw_3,21,1.0940099356198636,2048,,
pythia-1.4b,draw_3,22,1.0769714516342375,2048,,
pythia-1.4b,draw_3,23,1.0534040452125528,2048,,
pythia-160m,draw_1,0,0.8460861445474569,768,0.785500057827268,0.5591111111111111
pythia-160m,draw_1,1,0.8664427678078476,768,,
