metric,r,p,n,p_fdr,significant
resid_cka_early,0.8949972712260503,1.8902684682098525e-18,50,1.3231879277468968e-17,True
jaccard,-0.829357755048662,1.0039234547485828e-13,50,3.51373209162004e-13,True
resid_cka_middle,0.8062642141383562,1.598844105257524e-12,50,3.73063624560089e-12,True
embedding_cka,0.7903365020192187,1.3175405833039607e-09,40,2.3056960207819314e-09,True
resid_cka_final,0.6804932586390918,5.428395896112703e-08,50,7.599754254557785e-08,True
convergence_diff,0.22847773198221694,0.11050923476104836,50,0.12892744055455643,False
freq_distance,-0.11904731184383949,0.5309366013084841,30,0.5309366013084841,False
