predictor,coefficient
resid_cka_early,0.35187208934247
jaccard,-0.10135848719138037
embedding_cka,-0.09723363699580334
resid_cka_final,-0.07686794233211813
resid_cka_middle,-0.06996404105515325
freq_distance,-0.02677182808814541
convergence_diff,0.00745524542984583
