model,r2_jaccard,r2_full,delta_r2,n
pythia-70m,0.008525340739309106,1.0,0.9914746592606909,6
pythia-160m,0.008378704932544445,1.0,0.9916212950674556,6
pythia-410m,0.8519414493533969,1.0,0.14805855064660312,6
pythia-1b,0.8056001139809386,1.0,0.19439988601906144,6
