source_band,low,medium,high,very_high,control
low,0.931851863861084,0.9081481496493021,0.8888888955116272,0.8459259470303854,0.878518541653951
medium,0.9140740831693014,0.897777795791626,0.8962963223457336,0.8533333738644918,0.8770370483398438
high,0.9214814901351929,0.9022222359975179,0.9200000166893005,0.8814815084139506,0.8859259486198425
very_high,0.84888889392217,0.8355555733044943,0.8681481679280599,0.8562963207562765,0.8414815068244934
control,0.9140740831693014,0.8992592692375183,0.9200000166893005,0.9066666762034098,0.9185185432434082
