source_band,low,medium,high,very_high,control
low,0.9096296429634094,0.8874074220657349,0.8607407609621683,0.8059259454409281,0.8281481663386027
medium,0.9037037293116251,0.8844444553057352,0.8666666944821676,0.8370370467503866,0.8518518805503845
high,0.9037037094434103,0.9007407426834106,0.8918518821398417,0.8800000349680582,0.8755555748939514
very_high,0.9066666762034098,0.8874074419339498,0.8948148290316263,0.9022222359975179,0.897777795791626
control,0.9155555764834086,0.9051852027575175,0.9007407625516256,0.8992592891057333,0.9022222558657328
