model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-160m,draw_1,low,70,0.6666666865348816,0.11555555462837219
pythia-160m,draw_1,medium,70,0.6311111450195312,0.18666666746139526
pythia-160m,draw_1,high,70,0.6133333444595337,0.12888889014720917
pythia-160m,draw_2,low,76,0.6088889241218567,0.10222222656011581
pythia-160m,draw_2,medium,76,0.6088889241218567,0.1599999964237213
pythia-160m,draw_2,high,76,0.5822222232818604,0.12444444745779037
pythia-160m,draw_3,low,76,0.7599999904632568,0.13333334028720856
pythia-160m,draw_3,medium,76,0.7599999904632568,0.14222222566604614
pythia-160m,draw_3,high,76,0.7511111497879028,0.14666667580604553
