model,band,template,n,accuracy
pythia-70m,low,bare,120,1.0
pythia-70m,low,attractor,120,0.9666666666666667
pythia-70m,medium,bare,120,1.0
pythia-70m,medium,attractor,120,0.9666666666666667
pythia-70m,high,bare,120,1.0
pythia-70m,high,attractor,120,0.9833333333333333
pythia-70m,very_high,bare,120,1.0
pythia-70m,very_high,attractor,120,0.95
pythia-160m,low,bare,120,1.0
pythia-160m,low,attractor,120,0.9083333333333333
pythia-160m,medium,bare,120,1.0
pythia-160m,medium,attractor,120,0.9416666666666667
pythia-160m,high,bare,120,1.0
pythia-160m,high,attractor,120,0.925
pythia-160m,very_high,bare,120,1.0
pythia-160m,very_high,attractor,120,0.8916666666666667
pythia-410m,low,bare,120,1.0
pythia-410m,low,attractor,120,0.9583333333333334
pythia-410m,medium,bare,120,1.0
pythia-410m,medium,attractor,120,0.95
pythia-410m,high,bare,120,1.0
pythia-410m,high,attractor,120,0.95
pythia-410m,very_high,bare,120,1.0
pythia-410m,very_high,attractor,120,0.9083333333333333
pythia-1b,low,bare,120,1.0
pythia-1b,low,attractor,120,0.9583333333333334
pythia-1b,medium,bare,120,1.0
pythia-1b,medium,attractor,120,0.95
pythia-1b,high,bare,120,1.0
pythia-1b,high,attractor,120,0.9583333333333334
pythia-1b,very_high,bare,120,1.0
pythia-1b,very_high,attractor,120,0.9833333333333333
