kind,draw,pair,jaccard,n_a,n_b
between_bands,draw_1,low|medium,0.9090909090909091,31,32
between_bands,draw_1,low|high,0.9032258064516129,31,28
between_bands,draw_1,low|very_high,0.8235294117647058,31,31
between_bands,draw_1,low|control,0.7941176470588235,31,30
between_bands,draw_1,medium|high,0.8181818181818182,32,28
between_bands,draw_1,medium|very_high,0.8529411764705882,32,31
between_bands,draw_1,medium|control,0.7714285714285715,32,30
between_bands,draw_1,high|very_high,0.7878787878787878,28,31
between_bands,draw_1,high|control,0.7058823529411765,28,30
between_bands,draw_1,very_high|control,0.8484848484848485,31,30
between_bands,draw_2,low|medium,0.8125,29,29
between_bands,draw_2,low|high,0.7575757575757576,29,29
between_bands,draw_2,low|very_high,0.9354838709677419,29,31
between_bands,draw_2,low|control,0.9354838709677419,29,31
between_bands,draw_2,medium|high,0.8125,29,29
between_bands,draw_2,medium|very_high,0.875,29,31
between_bands,draw_2,medium|control,0.875,29,31
between_bands,draw_2,high|very_high,0.8181818181818182,29,31
between_bands,draw_2,high|control,0.8181818181818182,29,31
between_bands,draw_2,very_high|control,1.0,31,31
between_bands,draw_3,low|medium,0.8709677419354839,29,29
between_bands,draw_3,low|high,0.84375,29,30
between_bands,draw_3,low|very_high,0.8387096774193549,29,28
between_bands,draw_3,low|control,0.8125,29,29
between_bands,draw_3,medium|high,0.7878787878787878,29,30
between_bands,draw_3,medium|very_high,0.9,29,28
between_bands,draw_3,medium|control,0.8125,29,29
between_bands,draw_3,high|very_high,0.8709677419354839,30,28
between_bands,draw_3,high|control,0.9666666666666667,30,29
between_bands,draw_3,very_high|control,0.8387096774193549,28,29
same_band_across_draws,draw_1|draw_2,low,0.8181818181818182,31,29
same_band_across_draws,draw_1|draw_3,low,0.9354838709677419,31,29
same_band_across_draws,draw_2|draw_3,low,0.8709677419354839,29,29
same_band_across_draws,draw_1|draw_2,medium,0.90625,32,29
same_band_across_draws,draw_1|draw_3,medium,0.8484848484848485,32,29
same_band_across_draws,draw_2|draw_3,medium,0.9333333333333333,29,29
same_band_across_draws,draw_1|draw_2,high,0.9655172413793104,28,29
same_band_across_draws,draw_1|draw_3,high,0.9333333333333333,28,30
same_band_across_draws,draw_2|draw_3,high,0.9666666666666667,29,30
same_band_across_draws,draw_1|draw_2,very_high,1.0,31,31
same_band_across_draws,draw_1|draw_3,very_high,0.84375,31,28
same_band_across_draws,draw_2|draw_3,very_high,0.84375,31,28
same_band_across_draws,draw_1|draw_2,control,0.8484848484848485,30,31
same_band_across_draws,draw_1|draw_3,control,0.7352941176470589,30,29
same_band_across_draws,draw_2|draw_3,control,0.7647058823529411,31,29
