kind,draw,pair,jaccard,n_a,n_b
between_bands,draw_1,low|medium,0.5404858299595142,405,356
between_bands,draw_1,low|high,0.525911708253359,405,390
between_bands,draw_1,low|very_high,0.4896907216494845,405,462
between_bands,draw_1,low|control,0.566147859922179,405,400
between_bands,draw_1,medium|high,0.5318275154004107,356,390
between_bands,draw_1,medium|very_high,0.41278065630397237,356,462
between_bands,draw_1,medium|control,0.5241935483870968,356,400
between_bands,draw_1,high|very_high,0.4689655172413793,390,462
between_bands,draw_1,high|control,0.5369649805447471,390,400
between_bands,draw_1,very_high|control,0.48109965635738833,462,400
between_bands,draw_2,low|medium,0.5747863247863247,370,367
between_bands,draw_2,low|high,0.5483870967741935,370,398
between_bands,draw_2,low|very_high,0.4413793103448276,370,466
between_bands,draw_2,low|control,0.5555555555555556,370,386
between_bands,draw_2,medium|high,0.5029469548133595,367,398
between_bands,draw_2,medium|very_high,0.45121951219512196,367,466
between_bands,draw_2,medium|control,0.5181451612903226,367,386
between_bands,draw_2,high|very_high,0.49480968858131485,398,466
between_bands,draw_2,high|control,0.5806451612903226,398,386
between_bands,draw_2,very_high|control,0.5106382978723404,466,386
between_bands,draw_3,low|medium,0.5599214145383105,409,385
between_bands,draw_3,low|high,0.5411089866156787,409,397
between_bands,draw_3,low|very_high,0.4930313588850174,409,448
between_bands,draw_3,low|control,0.5555555555555556,409,375
between_bands,draw_3,medium|high,0.5424063116370809,385,397
between_bands,draw_3,medium|very_high,0.5090579710144928,385,448
between_bands,draw_3,medium|control,0.5353535353535354,385,375
between_bands,draw_3,high|very_high,0.5062388591800356,397,448
between_bands,draw_3,high|control,0.5470941883767535,397,375
between_bands,draw_3,very_high|control,0.5354477611940298,448,375
same_band_across_draws,draw_1|draw_2,low,0.6630901287553648,405,370
same_band_across_draws,draw_1|draw_3,low,0.624750499001996,405,409
same_band_across_draws,draw_2|draw_3,low,0.5897959183673469,370,409
same_band_across_draws,draw_1|draw_2,medium,0.5448717948717948,356,367
same_band_across_draws,draw_1|draw_3,medium,0.5469728601252609,356,385
same_band_across_draws,draw_2|draw_3,medium,0.631236442516269,367,385
same_band_across_draws,draw_1|draw_2,high,0.6694915254237288,390,398
same_band_across_draws,draw_1|draw_3,high,0.5076628352490421,390,397
same_band_across_draws,draw_2|draw_3,high,0.5317919075144508,398,397
same_band_across_draws,draw_1|draw_2,very_high,0.4591194968553459,462,466
same_band_across_draws,draw_1|draw_3,very_high,0.5016501650165016,462,448
same_band_across_draws,draw_2|draw_3,very_high,0.5233333333333333,466,448
same_band_across_draws,draw_1|draw_2,control,0.5975609756097561,400,386
same_band_across_draws,draw_1|draw_3,control,0.5946502057613169,400,375
same_band_across_draws,draw_2|draw_3,control,0.6054852320675106,386,375
