draw,source_band,test_band,acc_2way
draw_1,low,low,0.9324324727058411
draw_1,low,medium,0.9422222375869751
draw_1,low,high,0.9054054021835327
draw_1,low,very_high,0.8666666746139526
draw_1,low,control,0.8818181753158569
draw_1,medium,low,0.8648648858070374
draw_1,medium,medium,0.8755555748939514
draw_1,medium,high,0.9099099040031433
draw_1,medium,very_high,0.8488889336585999
draw_1,medium,control,0.8727272748947144
draw_1,high,low,0.8828828930854797
draw_1,high,medium,0.8844444751739502
draw_1,high,high,0.8963963985443115
draw_1,high,very_high,0.8711111545562744
draw_1,high,control,0.8818181753158569
draw_1,very_high,low,0.7882882952690125
draw_1,very_high,medium,0.8311111330986023
draw_1,very_high,high,0.8288288712501526
draw_1,very_high,very_high,0.8400000333786011
draw_1,very_high,control,0.7954545021057129
draw_1,control,low,0.9009009003639221
draw_1,control,medium,0.9066666960716248
draw_1,control,high,0.9189189672470093
draw_1,control,very_high,0.9200000166893005
draw_1,control,control,0.9227272272109985
draw_2,low,low,0.9178081750869751
draw_2,low,medium,0.8799999952316284
draw_2,low,high,0.8778281211853027
draw_2,low,very_high,0.8177778124809265
draw_2,low,control,0.860986590385437
draw_2,medium,low,0.9315068125724792
draw_2,medium,medium,0.8799999952316284
draw_2,medium,high,0.8823530077934265
draw_2,medium,very_high,0.8622222542762756
draw_2,medium,control,0.8878924250602722
draw_2,high,low,0.8995433449745178
draw_2,high,medium,0.8666666746139526
draw_2,high,high,0.9230769872665405
draw_2,high,very_high,0.8888888955116272
draw_2,high,control,0.8744394779205322
draw_2,very_high,low,0.8767123222351074
draw_2,very_high,medium,0.8222222328186035
draw_2,very_high,high,0.9230769872665405
draw_2,very_high,very_high,0.897777795791626
draw_2,very_high,control,0.860986590385437
draw_2,control,low,0.8858447074890137
draw_2,control,medium,0.8577777743339539
draw_2,control,high,0.9321267604827881
draw_2,control,very_high,0.9111111164093018
draw_2,control,control,0.9147982597351074
draw_3,low,low,0.9411765336990356
draw_3,low,medium,0.902222216129303
draw_3,low,high,0.8772727251052856
draw_3,low,very_high,0.8533333539962769
draw_3,low,control,0.8878924250602722
draw_3,medium,low,0.9411765336990356
draw_3,medium,medium,0.9377778172492981
draw_3,medium,high,0.8909090757369995
draw_3,medium,very_high,0.8488889336585999
draw_3,medium,control,0.8654708862304688
draw_3,high,low,0.9773756265640259
draw_3,high,medium,0.9555555582046509
draw_3,high,high,0.9363635778427124
draw_3,high,very_high,0.8844444751739502
draw_3,high,control,0.8968610167503357
draw_3,very_high,low,0.873303234577179
draw_3,very_high,medium,0.8533333539962769
draw_3,very_high,high,0.8454545140266418
draw_3,very_high,very_high,0.8311111330986023
draw_3,very_high,control,0.8654708862304688
draw_3,control,low,0.9502263069152832
draw_3,control,medium,0.9333333373069763
draw_3,control,high,0.9045454263687134
draw_3,control,very_high,0.8888888955116272
draw_3,control,control,0.9147982597351074
