model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-70m,draw_1,low,23,0.3955555558204651,0.1066666692495346
pythia-70m,draw_1,medium,23,0.30222222208976746,0.08888889104127884
pythia-70m,draw_1,high,23,0.36444446444511414,0.08888889104127884
pythia-70m,draw_1,very_high,23,0.36888888478279114,0.08888889104127884
pythia-70m,draw_1,control,23,0.36444446444511414,0.09777778387069702
pythia-70m,draw_2,low,24,0.5244444608688354,0.09777778387069702
pythia-70m,draw_2,medium,24,0.4311111271381378,0.09333333373069763
pythia-70m,draw_2,high,24,0.4311111271381378,0.09777778387069702
pythia-70m,draw_2,very_high,24,0.551111102104187,0.15111111104488373
pythia-70m,draw_2,control,24,0.4844444692134857,0.12888889014720917
pythia-70m,draw_3,low,25,0.542222261428833,0.15555556118488312
pythia-70m,draw_3,medium,25,0.4399999976158142,0.1111111119389534
pythia-70m,draw_3,high,25,0.6000000238418579,0.13777777552604675
pythia-70m,draw_3,very_high,25,0.5644444823265076,0.19111111760139465
pythia-70m,draw_3,control,25,0.5688889026641846,0.1599999964237213
