draw,source_band,test_band,acc_2way
draw_1,low,low,0.8198198676109314
draw_1,low,medium,0.8488889336585999
draw_1,low,high,0.9099099040031433
draw_1,low,very_high,0.8400000333786011
draw_1,low,control,0.8863636255264282
draw_1,medium,low,0.8648648858070374
draw_1,medium,medium,0.897777795791626
draw_1,medium,high,0.9279279708862305
draw_1,medium,very_high,0.9111111164093018
draw_1,medium,control,0.9045454263687134
draw_1,high,low,0.7702702879905701
draw_1,high,medium,0.7822222709655762
draw_1,high,high,0.8783783912658691
draw_1,high,very_high,0.7866666913032532
draw_1,high,control,0.8090909123420715
draw_1,very_high,low,0.8918918967247009
draw_1,very_high,medium,0.893333375453949
draw_1,very_high,high,0.9369369745254517
draw_1,very_high,very_high,0.9200000166893005
draw_1,very_high,control,0.8999999761581421
draw_1,control,low,0.815315306186676
draw_1,control,medium,0.8577777743339539
draw_1,control,high,0.8918918967247009
draw_1,control,very_high,0.8711111545562744
draw_1,control,control,0.8863636255264282
draw_2,low,low,0.826483964920044
draw_2,low,medium,0.7644444704055786
draw_2,low,high,0.8054298758506775
draw_2,low,very_high,0.8400000333786011
draw_2,low,control,0.8295964598655701
draw_2,medium,low,0.8401826024055481
draw_2,medium,medium,0.7688888907432556
draw_2,medium,high,0.837104082107544
draw_2,medium,very_high,0.8755555748939514
draw_2,medium,control,0.8116592168807983
draw_2,high,low,0.8630136847496033
draw_2,high,medium,0.8222222328186035
draw_2,high,high,0.9457014203071594
draw_2,high,very_high,0.902222216129303
draw_2,high,control,0.8878924250602722
draw_2,very_high,low,0.9178081750869751
draw_2,very_high,medium,0.8488889336585999
draw_2,very_high,high,0.9366516470909119
draw_2,very_high,very_high,0.9200000166893005
draw_2,very_high,control,0.9147982597351074
draw_2,control,low,0.9178081750869751
draw_2,control,medium,0.8488889336585999
draw_2,control,high,0.9366516470909119
draw_2,control,very_high,0.9200000166893005
draw_2,control,control,0.9147982597351074
draw_3,low,low,0.8054298758506775
draw_3,low,medium,0.7644444704055786
draw_3,low,high,0.8409090638160706
draw_3,low,very_high,0.8222222328186035
draw_3,low,control,0.7713004946708679
draw_3,medium,low,0.8235294222831726
draw_3,medium,medium,0.8444444537162781
draw_3,medium,high,0.8772727251052856
draw_3,medium,very_high,0.893333375453949
draw_3,medium,control,0.8565022945404053
draw_3,high,low,0.8461538553237915
draw_3,high,medium,0.8666666746139526
draw_3,high,high,0.8909090757369995
draw_3,high,very_high,0.9066666960716248
draw_3,high,control,0.905829668045044
draw_3,very_high,low,0.8280543088912964
draw_3,very_high,medium,0.8266667127609253
draw_3,very_high,high,0.8727272748947144
draw_3,very_high,very_high,0.8844444751739502
draw_3,very_high,control,0.8699551820755005
draw_3,control,low,0.7828054428100586
draw_3,control,medium,0.7733333706855774
draw_3,control,high,0.863636314868927
draw_3,control,very_high,0.8622222542762756
draw_3,control,control,0.8430493474006653
