draw,test_band,n_edges,core_2way,core_top1
draw_1,low,140,0.8844444751739502,0.13333334028720856
draw_1,medium,140,0.902222216129303,0.18222223222255707
draw_1,high,140,0.893333375453949,0.14222222566604614
draw_1,very_high,140,0.9422222375869751,0.15111111104488373
draw_1,control,140,0.897777795791626,0.1644444465637207
draw_2,low,132,0.9422222375869751,0.2133333384990692
draw_2,medium,132,0.9111111164093018,0.2222222238779068
draw_2,high,132,0.8488889336585999,0.1733333319425583
draw_2,very_high,132,0.9244444370269775,0.15111111104488373
draw_2,control,132,0.9066666960716248,0.19111111760139465
draw_3,low,123,0.8488889336585999,0.17777778208255768
draw_3,medium,123,0.893333375453949,0.19111111760139465
draw_3,high,123,0.7911111116409302,0.14222222566604614
draw_3,very_high,123,0.893333375453949,0.12000000476837158
draw_3,control,123,0.8533333539962769,0.20444445312023163
