kind,draw,pair,jaccard,n_a,n_b
between_bands,draw_1,low|medium,0.7474747474747475,88,85
between_bands,draw_1,low|high,0.5826771653543307,88,113
between_bands,draw_1,low|very_high,0.5413533834586466,88,117
between_bands,draw_1,low|control,0.6782608695652174,88,105
between_bands,draw_1,medium|high,0.6779661016949152,85,113
between_bands,draw_1,medium|very_high,0.5905511811023622,85,117
between_bands,draw_1,medium|control,0.7431192660550459,85,105
between_bands,draw_1,high|very_high,0.6546762589928058,113,117
between_bands,draw_1,high|control,0.676923076923077,113,105
between_bands,draw_1,very_high|control,0.6691729323308271,117,105
between_bands,draw_2,low|medium,0.7232142857142857,98,95
between_bands,draw_2,low|high,0.6484375,98,113
between_bands,draw_2,low|very_high,0.6356589147286822,98,113
between_bands,draw_2,low|control,0.6610169491525424,98,98
between_bands,draw_2,medium|high,0.6774193548387096,95,113
between_bands,draw_2,medium|very_high,0.6774193548387096,95,113
between_bands,draw_2,medium|control,0.7545454545454545,95,98
between_bands,draw_2,high|very_high,0.765625,113,113
between_bands,draw_2,high|control,0.743801652892562,113,98
between_bands,draw_2,very_high|control,0.743801652892562,113,98
between_bands,draw_3,low|medium,0.7477477477477478,91,103
between_bands,draw_3,low|high,0.7706422018348624,91,102
between_bands,draw_3,low|very_high,0.5851851851851851,91,123
between_bands,draw_3,low|control,0.801980198019802,91,91
between_bands,draw_3,medium|high,0.6666666666666666,103,102
between_bands,draw_3,medium|very_high,0.6258992805755396,103,123
between_bands,draw_3,medium|control,0.6440677966101694,103,91
between_bands,draw_3,high|very_high,0.6071428571428571,102,123
between_bands,draw_3,high|control,0.7706422018348624,102,91
between_bands,draw_3,very_high|control,0.6090225563909775,123,91
same_band_across_draws,draw_1|draw_2,low,0.6909090909090909,88,98
same_band_across_draws,draw_1|draw_3,low,0.7047619047619048,88,91
same_band_across_draws,draw_2|draw_3,low,0.7339449541284404,98,91
same_band_across_draws,draw_1|draw_2,medium,0.7307692307692307,85,95
same_band_across_draws,draw_1|draw_3,medium,0.7090909090909091,85,103
same_band_across_draws,draw_2|draw_3,medium,0.6923076923076923,95,103
same_band_across_draws,draw_1|draw_2,high,0.6865671641791045,113,113
same_band_across_draws,draw_1|draw_3,high,0.6538461538461539,113,102
same_band_across_draws,draw_2|draw_3,high,0.7768595041322314,113,102
same_band_across_draws,draw_1|draw_2,very_high,0.7037037037037037,117,113
same_band_across_draws,draw_1|draw_3,very_high,0.6326530612244898,117,123
same_band_across_draws,draw_2|draw_3,very_high,0.6619718309859155,113,123
same_band_across_draws,draw_1|draw_2,control,0.7652173913043478,105,98
same_band_across_draws,draw_1|draw_3,control,0.7345132743362832,105,91
same_band_across_draws,draw_2|draw_3,control,0.75,98,91
