draw,test_band,n_edges,core_2way,core_top1
draw_1,low,360,0.9733333587646484,0.324444442987442
draw_1,medium,360,0.9688889384269714,0.2844444513320923
draw_1,high,360,0.9555555582046509,0.3288888931274414
draw_1,very_high,360,0.9644444584846497,0.20888888835906982
draw_1,control,360,0.9600000381469727,0.29777777194976807
draw_2,low,353,0.902222216129303,0.29777777194976807
draw_2,medium,353,0.8844444751739502,0.29777777194976807
draw_2,high,353,0.9155555963516235,0.3333333432674408
draw_2,very_high,353,0.893333375453949,0.17777778208255768
draw_2,control,353,0.9155555963516235,0.2622222304344177
draw_3,low,367,0.9644444584846497,0.2622222304344177
draw_3,medium,367,0.9600000381469727,0.29777777194976807
draw_3,high,367,0.9422222375869751,0.3288888931274414
draw_3,very_high,367,0.9244444370269775,0.23555555939674377
draw_3,control,367,0.9466667175292969,0.29777777194976807
