draw,test_band,n_edges,core_2way,core_top1
draw_1,low,154,0.8888888955116272,0.29333335161209106
draw_1,medium,154,0.9066666960716248,0.29777777194976807
draw_1,high,154,0.8888888955116272,0.3288888931274414
draw_1,very_high,154,0.9066666960716248,0.24444444477558136
draw_1,control,154,0.8799999952316284,0.29777777194976807
draw_2,low,147,0.9244444370269775,0.2800000011920929
draw_2,medium,147,0.902222216129303,0.324444442987442
draw_2,high,147,0.897777795791626,0.35111111402511597
draw_2,very_high,147,0.902222216129303,0.23555555939674377
draw_2,control,147,0.897777795791626,0.2888889014720917
draw_3,low,149,0.9111111164093018,0.25777778029441833
draw_3,medium,149,0.897777795791626,0.35111111402511597
draw_3,high,149,0.893333375453949,0.3288888931274414
draw_3,very_high,149,0.8488889336585999,0.23555555939674377
draw_3,control,149,0.8577777743339539,0.29333335161209106
