draw,test_band,n_edges,core_2way,core_top1
draw_1,low,32,0.8711111545562744,0.30222222208976746
draw_1,medium,32,0.897777795791626,0.30666667222976685
draw_1,high,32,0.9422222375869751,0.24000000953674316
draw_1,very_high,32,0.9155555963516235,0.31111112236976624
draw_1,control,32,0.9422222375869751,0.3288888931274414
draw_2,low,31,0.9200000166893005,0.23555555939674377
draw_2,medium,31,0.8488889336585999,0.2800000011920929
draw_2,high,31,0.9377778172492981,0.25333333015441895
draw_2,very_high,31,0.9200000166893005,0.324444442987442
draw_2,control,31,0.9111111164093018,0.3377777934074402
draw_3,low,28,0.7777777910232544,0.19111111760139465
draw_3,medium,28,0.7599999904632568,0.2133333384990692
draw_3,high,28,0.8577777743339539,0.20444445312023163
draw_3,very_high,28,0.8666666746139526,0.2755555510520935
draw_3,control,28,0.8222222328186035,0.23111110925674438
