kind,draw,pair,jaccard,n_a,n_b
between_bands,draw_1,low|medium,0.7125,140,134
between_bands,draw_1,low|high,0.7215189873417721,140,132
between_bands,draw_1,low|very_high,0.6190476190476191,140,166
between_bands,draw_1,low|control,0.6566265060240963,140,135
between_bands,draw_1,medium|high,0.6521739130434783,134,132
between_bands,draw_1,medium|very_high,0.5625,134,166
between_bands,draw_1,medium|control,0.6918238993710691,134,135
between_bands,draw_1,high|very_high,0.6284153005464481,132,166
between_bands,draw_1,high|control,0.6583850931677019,132,135
between_bands,draw_1,very_high|control,0.6270270270270271,166,135
between_bands,draw_2,low|medium,0.7046979865771812,125,129
between_bands,draw_2,low|high,0.6666666666666666,125,135
between_bands,draw_2,low|very_high,0.591715976331361,125,144
between_bands,draw_2,low|control,0.6280487804878049,125,142
between_bands,draw_2,medium|high,0.6815286624203821,129,135
between_bands,draw_2,medium|very_high,0.6153846153846154,129,144
between_bands,draw_2,medium|control,0.6130952380952381,129,142
between_bands,draw_2,high|very_high,0.7012195121951219,135,144
between_bands,draw_2,high|control,0.6011560693641619,135,142
between_bands,draw_2,very_high|control,0.625,144,142
between_bands,draw_3,low|medium,0.7284768211920529,136,125
between_bands,draw_3,low|high,0.6871165644171779,136,139
between_bands,draw_3,low|very_high,0.6214689265536724,136,151
between_bands,draw_3,low|control,0.6645161290322581,136,122
between_bands,draw_3,medium|high,0.6923076923076923,125,139
between_bands,draw_3,medium|very_high,0.6428571428571429,125,151
between_bands,draw_3,medium|control,0.6917808219178082,125,122
between_bands,draw_3,high|very_high,0.6111111111111112,139,151
between_bands,draw_3,high|control,0.7516778523489933,139,122
between_bands,draw_3,very_high|control,0.5872093023255814,151,122
same_band_across_draws,draw_1|draw_2,low,0.6257668711656442,140,125
same_band_across_draws,draw_1|draw_3,low,0.6526946107784432,140,136
same_band_across_draws,draw_2|draw_3,low,0.6415094339622641,125,136
same_band_across_draws,draw_1|draw_2,medium,0.6540880503144654,134,129
same_band_across_draws,draw_1|draw_3,medium,0.6496815286624203,134,125
same_band_across_draws,draw_2|draw_3,medium,0.6710526315789473,129,125
same_band_across_draws,draw_1|draw_2,high,0.6181818181818182,132,135
same_band_across_draws,draw_1|draw_3,high,0.5485714285714286,132,139
same_band_across_draws,draw_2|draw_3,high,0.621301775147929,135,139
same_band_across_draws,draw_1|draw_2,very_high,0.5346534653465347,166,144
same_band_across_draws,draw_1|draw_3,very_high,0.5463414634146342,166,151
same_band_across_draws,draw_2|draw_3,very_high,0.6208791208791209,144,151
same_band_across_draws,draw_1|draw_2,control,0.5919540229885057,135,142
same_band_across_draws,draw_1|draw_3,control,0.6163522012578616,135,122
same_band_across_draws,draw_2|draw_3,control,0.6196319018404908,142,122
