model,band,acc_2way,acc_top1,acc_top5
pythia-70m,low,0.9725925925925926,0.4740740740740741,0.9125925925925925
pythia-70m,medium,0.9674074074074074,0.5022222222222222,0.9296296296296296
pythia-70m,high,0.98,0.41037037037037033,0.9111111111111111
pythia-70m,very_high,0.96,0.46222222222222226,0.9037037037037038
pythia-70m,control,0.9718518518518519,0.4977777777777777,0.9281481481481482
pythia-160m,low,0.9696296296296296,0.2577777777777778,0.8214814814814814
pythia-160m,medium,0.9629629629629629,0.28444444444444444,0.8125925925925926
pythia-160m,high,0.9385185185185185,0.2614814814814815,0.7807407407407408
pythia-160m,very_high,0.9148148148148149,0.23777777777777778,0.7222222222222222
pythia-160m,control,0.9488888888888889,0.3133333333333333,0.8222222222222223
pythia-410m,low,0.9540740740740742,0.23111111111111113,0.7792592592592592
pythia-410m,medium,0.9325925925925925,0.2607407407407407,0.7548148148148148
pythia-410m,high,0.9348148148148147,0.25407407407407406,0.7844444444444445
pythia-410m,very_high,0.9281481481481482,0.18666666666666668,0.757037037037037
pythia-410m,control,0.937037037037037,0.2555555555555556,0.8081481481481482
pythia-1b,low,0.974074074074074,0.3637037037037037,0.8488888888888889
pythia-1b,medium,0.9666666666666667,0.39925925925925926,0.8207407407407409
pythia-1b,high,0.96,0.41037037037037033,0.8414814814814816
pythia-1b,very_high,0.9637037037037036,0.34074074074074073,0.8355555555555556
pythia-1b,control,0.9674074074074074,0.40888888888888886,0.8577777777777778
pythia-1.4b,low,0.9844444444444443,0.31703703703703706,0.7955555555555556
pythia-1.4b,medium,0.9733333333333333,0.3392592592592593,0.7785185185185185
pythia-1.4b,high,0.9696296296296296,0.3562962962962963,0.8133333333333335
pythia-1.4b,very_high,0.9777777777777779,0.24518518518518517,0.7933333333333333
pythia-1.4b,control,0.971111111111111,0.34888888888888886,0.8355555555555556
