model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-410m,draw_1,low,87,0.23555555939674377,0.008888889104127884
pythia-410m,draw_1,medium,87,0.19111111760139465,0.008888889104127884
pythia-410m,draw_1,high,87,0.18666666746139526,0.013333333656191826
pythia-410m,draw_1,very_high,87,0.24000000953674316,0.017777778208255768
pythia-410m,draw_1,control,87,0.24888889491558075,0.02666666731238365
pythia-410m,draw_2,low,77,0.12000000476837158,0.004444444552063942
pythia-410m,draw_2,medium,77,0.1111111119389534,0.013333333656191826
pythia-410m,draw_2,high,77,0.07999999821186066,0.004444444552063942
pythia-410m,draw_2,very_high,77,0.06666667014360428,0.0
pythia-410m,draw_2,control,77,0.02666666731238365,0.0
pythia-410m,draw_3,low,92,0.6088889241218567,0.07555555552244186
pythia-410m,draw_3,medium,92,0.54666668176651,0.09777778387069702
pythia-410m,draw_3,high,92,0.46666666865348816,0.06222222372889519
pythia-410m,draw_3,very_high,92,0.5244444608688354,0.06222222372889519
pythia-410m,draw_3,control,92,0.5822222232818604,0.10222222656011581
