band,n,sg_fraction,subj_len_mean,subj_len_std,prompt_nll_median,unique_subjects
low,225,0.47555555555555556,5.906666666666666,1.8821264569629745,7.979373931884766,95
medium,225,0.4577777777777778,5.782222222222222,1.8310032330681925,7.703560829162598,100
high,225,0.5022222222222222,5.8133333333333335,1.6440600151251576,7.317010402679443,99
very_high,225,0.44,4.791111111111111,1.3649293383781567,6.771443843841553,46
control,225,0.5244444444444445,5.355555555555555,1.5713484026367723,7.3532609939575195,122
