draw,test_band,n_edges,core_2way,core_top1
draw_1,low,97,0.9511111378669739,0.20000000298023224
draw_1,medium,97,0.9422222375869751,0.25333333015441895
draw_1,high,97,0.9377778172492981,0.18222223222255707
draw_1,very_high,97,0.9200000166893005,0.13777777552604675
draw_1,control,97,0.902222216129303,0.1688888967037201
draw_2,low,99,0.9377778172492981,0.15555556118488312
draw_2,medium,99,0.8799999952316284,0.1733333319425583
draw_2,high,99,0.9200000166893005,0.1599999964237213
draw_2,very_high,99,0.9200000166893005,0.1111111119389534
draw_2,control,99,0.9244444370269775,0.1644444465637207
draw_3,low,96,0.9333333373069763,0.19555556774139404
draw_3,medium,96,0.9466667175292969,0.19111111760139465
draw_3,high,96,0.902222216129303,0.20444445312023163
draw_3,very_high,96,0.893333375453949,0.18222223222255707
draw_3,control,96,0.8844444751739502,0.20000000298023224
