draw,source_band,test_band,acc_2way
draw_1,low,low,0.9009009003639221
draw_1,low,medium,0.9333333373069763
draw_1,low,high,0.9054054021835327
draw_1,low,very_high,0.8888888955116272
draw_1,low,control,0.8772727251052856
draw_1,medium,low,0.9234234690666199
draw_1,medium,medium,0.9155555963516235
draw_1,medium,high,0.8918918967247009
draw_1,medium,very_high,0.8888888955116272
draw_1,medium,control,0.8681817650794983
draw_1,high,low,0.9234234690666199
draw_1,high,medium,0.893333375453949
draw_1,high,high,0.9054054021835327
draw_1,high,very_high,0.8888888955116272
draw_1,high,control,0.8681817650794983
draw_1,very_high,low,0.869369387626648
draw_1,very_high,medium,0.8222222328186035
draw_1,very_high,high,0.8333333730697632
draw_1,very_high,very_high,0.8533333539962769
draw_1,very_high,control,0.8136363625526428
draw_1,control,low,0.9639639854431152
draw_1,control,medium,0.9466667175292969
draw_1,control,high,0.9279279708862305
draw_1,control,very_high,0.9333333373069763
draw_1,control,control,0.9045454263687134
draw_2,low,low,0.8630136847496033
draw_2,low,medium,0.800000011920929
draw_2,low,high,0.814479649066925
draw_2,low,very_high,0.8088889122009277
draw_2,low,control,0.8430493474006653
draw_2,medium,low,0.9360730051994324
draw_2,medium,medium,0.893333375453949
draw_2,medium,high,0.8959276676177979
draw_2,medium,very_high,0.9111111164093018
draw_2,medium,control,0.9237668514251709
draw_2,high,low,0.8995433449745178
draw_2,high,medium,0.893333375453949
draw_2,high,high,0.8868778944015503
draw_2,high,very_high,0.8755555748939514
draw_2,high,control,0.905829668045044
draw_2,very_high,low,0.8904109001159668
draw_2,very_high,medium,0.8488889336585999
draw_2,very_high,high,0.8687783479690552
draw_2,very_high,very_high,0.897777795791626
draw_2,very_high,control,0.8834081292152405
draw_2,control,low,0.8812785148620605
draw_2,control,medium,0.8577777743339539
draw_2,control,high,0.8642534017562866
draw_2,control,very_high,0.8577777743339539
draw_2,control,control,0.8878924250602722
draw_3,low,low,0.8959276676177979
draw_3,low,medium,0.902222216129303
draw_3,low,high,0.863636314868927
draw_3,low,very_high,0.8711111545562744
draw_3,low,control,0.8475337028503418
draw_3,medium,low,0.914027214050293
draw_3,medium,medium,0.9244444370269775
draw_3,medium,high,0.8863636255264282
draw_3,medium,very_high,0.8799999952316284
draw_3,medium,control,0.8699551820755005
draw_3,high,low,0.914027214050293
draw_3,high,medium,0.9600000381469727
draw_3,high,high,0.9045454263687134
draw_3,high,very_high,0.893333375453949
draw_3,high,control,0.905829668045044
draw_3,very_high,low,0.8325791954994202
draw_3,very_high,medium,0.7599999904632568
draw_3,very_high,high,0.7909090518951416
draw_3,very_high,very_high,0.8133333325386047
draw_3,very_high,control,0.7578475475311279
draw_3,control,low,0.9095023274421692
draw_3,control,medium,0.9333333373069763
draw_3,control,high,0.8863636255264282
draw_3,control,very_high,0.8844444751739502
draw_3,control,control,0.860986590385437
