source_band,low,medium,high,very_high,control
low,0.8888888955116272,0.8785185217857361,0.8622222344080607,0.8562963207562765,0.8577777942021688
medium,0.9259259502092997,0.9111111362775167,0.893333355585734,0.8933333357175192,0.8888889153798422
high,0.9140740831693014,0.9155555963516235,0.9007407625516256,0.8859259486198425,0.893333355585734
very_high,0.8666666944821676,0.8103703856468201,0.829629639784495,0.8548148274421692,0.8207407593727112
control,0.9214815100034078,0.912592609723409,0.8948148290316263,0.8918518622716268,0.8859259486198425
