draw,source,test_band,ablation,n_edges,acc_2way,acc_top1
draw_1,low,low,zero,140,0.4311111271381378,0.0
draw_1,low,medium,zero,140,0.42222222685813904,0.0
draw_1,low,high,zero,140,0.48000001907348633,0.0
draw_1,medium,low,zero,134,0.47111111879348755,0.0
draw_1,medium,medium,zero,134,0.448888897895813,0.0
draw_1,medium,high,zero,134,0.4933333396911621,0.0
draw_1,high,low,zero,132,0.47111111879348755,0.0
draw_1,high,medium,zero,132,0.448888897895813,0.0
draw_1,high,high,zero,132,0.5022222399711609,0.0
draw_1,core,low,zero,100,0.41333335638046265,0.0
draw_1,core,medium,zero,100,0.3466666638851166,0.0
draw_1,core,high,zero,100,0.448888897895813,0.0
draw_1,low,low,tokenwise_mean_corrupt,140,0.8311111330986023,0.24888889491558075
draw_1,low,medium,tokenwise_mean_corrupt,140,0.8444444537162781,0.14222222566604614
draw_1,low,high,tokenwise_mean_corrupt,140,0.8444444537162781,0.017777778208255768
draw_1,medium,low,tokenwise_mean_corrupt,134,0.9511111378669739,0.20444445312023163
draw_1,medium,medium,tokenwise_mean_corrupt,134,0.991111159324646,0.15111111104488373
draw_1,medium,high,tokenwise_mean_corrupt,134,0.9822222590446472,0.013333333656191826
draw_1,high,low,tokenwise_mean_corrupt,132,0.9288889169692993,0.6177777647972107
draw_1,high,medium,tokenwise_mean_corrupt,132,0.8799999952316284,0.6177777647972107
draw_1,high,high,tokenwise_mean_corrupt,132,0.897777795791626,0.324444442987442
draw_1,core,low,tokenwise_mean_corrupt,100,0.9422222375869751,0.742222249507904
draw_1,core,medium,tokenwise_mean_corrupt,100,0.9600000381469727,0.7244444489479065
draw_1,core,high,tokenwise_mean_corrupt,100,0.9377778172492981,0.40888890624046326
draw_2,low,low,zero,125,0.4933333396911621,0.0
draw_2,low,medium,zero,125,0.5022222399711609,0.0
draw_2,low,high,zero,125,0.4533333480358124,0.0
draw_2,medium,low,zero,129,0.35111111402511597,0.0
draw_2,medium,medium,zero,129,0.35111111402511597,0.0
draw_2,medium,high,zero,129,0.3866666853427887,0.0
draw_2,high,low,zero,135,0.2711111307144165,0.0
draw_2,high,medium,zero,135,0.19555556774139404,0.0
draw_2,high,high,zero,135,0.2666666805744171,0.0
draw_2,core,low,zero,94,0.1111111119389534,0.0
draw_2,core,medium,zero,94,0.12888889014720917,0.0
draw_2,core,high,zero,94,0.14222222566604614,0.0
draw_2,low,low,tokenwise_mean_corrupt,125,0.8666666746139526,0.1599999964237213
draw_2,low,medium,tokenwise_mean_corrupt,125,0.9288889169692993,0.20000000298023224
draw_2,low,high,tokenwise_mean_corrupt,125,0.893333375453949,0.06222222372889519
draw_2,medium,low,tokenwise_mean_corrupt,129,0.897777795791626,0.30222222208976746
draw_2,medium,medium,tokenwise_mean_corrupt,129,0.9111111164093018,0.25333333015441895
draw_2,medium,high,tokenwise_mean_corrupt,129,0.8666666746139526,0.14222222566604614
draw_2,high,low,tokenwise_mean_corrupt,135,0.8533333539962769,0.30666667222976685
draw_2,high,medium,tokenwise_mean_corrupt,135,0.9244444370269775,0.2666666805744171
draw_2,high,high,tokenwise_mean_corrupt,135,0.8622222542762756,0.04888889193534851
draw_2,core,low,tokenwise_mean_corrupt,94,0.7111111283302307,0.08888889104127884
draw_2,core,medium,tokenwise_mean_corrupt,94,0.9066666960716248,0.13777777552604675
draw_2,core,high,tokenwise_mean_corrupt,94,0.9111111164093018,0.031111111864447594
draw_3,low,low,zero,136,0.09777778387069702,0.0
draw_3,low,medium,zero,136,0.06222222372889519,0.0
draw_3,low,high,zero,136,0.06222222372889519,0.0
draw_3,medium,low,zero,125,0.18222223222255707,0.0
draw_3,medium,medium,zero,125,0.2622222304344177,0.0
draw_3,medium,high,zero,125,0.3777777850627899,0.0
draw_3,high,low,zero,139,0.30666667222976685,0.0
draw_3,high,medium,zero,139,0.35111111402511597,0.0
draw_3,high,high,zero,139,0.31111112236976624,0.0
draw_3,core,low,zero,102,0.448888897895813,0.0
draw_3,core,medium,zero,102,0.3955555558204651,0.0
draw_3,core,high,zero,102,0.5822222232818604,0.0
draw_3,low,low,tokenwise_mean_corrupt,136,0.8666666746139526,0.3333333432674408
draw_3,low,medium,tokenwise_mean_corrupt,136,0.8888888955116272,0.4266666769981384
draw_3,low,high,tokenwise_mean_corrupt,136,0.897777795791626,0.3155555725097656
draw_3,medium,low,tokenwise_mean_corrupt,125,0.9066666960716248,0.29777777194976807
draw_3,medium,medium,tokenwise_mean_corrupt,125,0.9644444584846497,0.3155555725097656
draw_3,medium,high,tokenwise_mean_corrupt,125,0.9555555582046509,0.14666667580604553
draw_3,high,low,tokenwise_mean_corrupt,139,0.7911111116409302,0.1644444465637207
draw_3,high,medium,tokenwise_mean_corrupt,139,0.7777777910232544,0.2133333384990692
draw_3,high,high,tokenwise_mean_corrupt,139,0.8177778124809265,0.10222222656011581
draw_3,core,low,tokenwise_mean_corrupt,102,0.8311111330986023,0.13777777552604675
draw_3,core,medium,tokenwise_mean_corrupt,102,0.893333375453949,0.19555556774139404
draw_3,core,high,tokenwise_mean_corrupt,102,0.9155555963516235,0.035555556416511536
