model,band,draw,status,n_examples,circuit_edges,file_size_mb,extraction_time_s,filename,timestamp
pythia-70m,low,draw_1,success,225,380,18.0,0.8,pythia_70m_low_draw_1_circuit.npz,2026-02-27
pythia-70m,low,draw_2,success,225,396,18.0,0.9,pythia_70m_low_draw_2_circuit.npz,2026-02-27
pythia-70m,low,draw_3,success,225,391,18.0,0.8,pythia_70m_low_draw_3_circuit.npz,2026-02-27
pythia-70m,medium,draw_1,success,225,395,18.0,0.8,pythia_70m_medium_draw_1_circuit.npz,2026-02-27
pythia-70m,medium,draw_2,success,225,392,18.0,0.8,pythia_70m_medium_draw_2_circuit.npz,2026-02-27
pythia-70m,medium,draw_3,success,225,406,18.0,0.8,pythia_70m_medium_draw_3_circuit.npz,2026-02-27
pythia-70m,high,draw_1,success,225,414,18.0,0.8,pythia_70m_high_draw_1_circuit.npz,2026-02-27
pythia-70m,high,draw_2,success,225,405,18.0,0.8,pythia_70m_high_draw_2_circuit.npz,2026-02-27
pythia-70m,high,draw_3,success,225,431,18.0,0.8,pythia_70m_high_draw_3_circuit.npz,2026-02-27
pythia-70m,very_high,draw_1,success,225,424,18.0,0.8,pythia_70m_very_high_draw_1_circuit.npz,2026-02-27
pythia-70m,very_high,draw_2,success,225,417,18.0,0.8,pythia_70m_very_high_draw_2_circuit.npz,2026-02-27
pythia-70m,very_high,draw_3,success,225,417,18.0,0.8,pythia_70m_very_high_draw_3_circuit.npz,2026-02-27
pythia-70m,control,draw_1,success,225,435,18.0,0.8,pythia_70m_control_draw_1_circuit.npz,2026-02-27
pythia-70m,control,draw_2,success,225,410,18.0,0.8,pythia_70m_control_draw_2_circuit.npz,2026-02-27
pythia-70m,control,draw_3,success,225,426,18.0,0.7,pythia_70m_control_draw_3_circuit.npz,2026-02-27
pythia-160m,low,draw_1,success,225,1463,53.7,2.1,pythia_160m_low_draw_1_circuit.npz,2026-02-27
pythia-160m,low,draw_2,success,225,1483,53.8,2.0,pythia_160m_low_draw_2_circuit.npz,2026-02-27
pythia-160m,low,draw_3,success,225,1408,53.7,2.0,pythia_160m_low_draw_3_circuit.npz,2026-02-27
pythia-160m,medium,draw_1,success,225,1446,53.7,2.1,pythia_160m_medium_draw_1_circuit.npz,2026-02-27
pythia-160m,medium,draw_2,success,225,1513,53.7,2.1,pythia_160m_medium_draw_2_circuit.npz,2026-02-27
pythia-160m,medium,draw_3,success,225,1475,53.7,2.1,pythia_160m_medium_draw_3_circuit.npz,2026-02-27
pythia-160m,high,draw_1,success,225,1360,53.7,2.0,pythia_160m_high_draw_1_circuit.npz,2026-02-27
