model,band,draw,status,n_examples,n_layers,n_heads,d_model,file_size_mb,extraction_time_s,filename,timestamp
pythia-70m,low,draw_1,success,225,6,8,512,23.4,2.1,pythia_70m_low_draw_1.npz,2026-02-27
pythia-70m,low,draw_2,success,225,6,8,512,23.4,2.0,pythia_70m_low_draw_2.npz,2026-02-27
pythia-70m,low,draw_3,success,225,6,8,512,23.4,2.0,pythia_70m_low_draw_3.npz,2026-02-27
pythia-70m,medium,draw_1,success,225,6,8,512,23.4,2.0,pythia_70m_medium_draw_1.npz,2026-02-27
pythia-70m,medium,draw_2,success,225,6,8,512,23.4,2.0,pythia_70m_medium_draw_2.npz,2026-02-27
pythia-70m,medium,draw_3,success,225,6,8,512,23.4,2.0,pythia_70m_medium_draw_3.npz,2026-02-27
pythia-70m,high,draw_1,success,225,6,8,512,23.4,2.0,pythia_70m_high_draw_1.npz,2026-02-27
pythia-70m,high,draw_2,success,225,6,8,512,23.4,2.1,pythia_70m_high_draw_2.npz,2026-02-27
pythia-70m,high,draw_3,success,225,6,8,512,23.4,1.9,pythia_70m_high_draw_3.npz,2026-02-27
pythia-70m,very_high,draw_1,success,225,6,8,512,23.4,2.0,pythia_70m_very_high_draw_1.npz,2026-02-27
pythia-70m,very_high,draw_2,success,225,6,8,512,23.4,2.1,pythia_70m_very_high_draw_2.npz,2026-02-27
pythia-70m,very_high,draw_3,success,225,6,8,512,23.4,2.0,pythia_70m_very_high_draw_3.npz,2026-02-27
pythia-70m,control,draw_1,success,225,6,8,512,23.4,2.0,pythia_70m_control_draw_1.npz,2026-02-27
pythia-70m,control,draw_2,success,225,6,8,512,23.4,2.0,pythia_70m_control_draw_2.npz,2026-02-27
pythia-70m,control,draw_3,success,225,6,8,512,23.4,1.9,pythia_70m_control_draw_3.npz,2026-02-27
pythia-160m,low,draw_1,success,225,12,12,768,61.8,3.8,pythia_160m_low_draw_1.npz,2026-02-27
pythia-160m,low,draw_2,success,225,12,12,768,61.9,3.8,pythia_160m_low_draw_2.npz,2026-02-27
pythia-160m,low,draw_3,success,225,12,12,768,61.8,3.8,pythia_160m_low_draw_3.npz,2026-02-27
pythia-160m,medium,draw_1,success,225,12,12,768,61.8,3.8,pythia_160m_medium_draw_1.npz,2026-02-27
pythia-160m,medium,draw_2,success,225,12,12,768,61.8,3.8,pythia_160m_medium_draw_2.npz,2026-02-27
pythia-160m,medium,draw_3,success,225,12,12,768,61.8,3.8,pythia_160m_medium_draw_3.npz,2026-02-27
pythia-160m,high,draw_1,success,225,12,12,768,61.8,3.8,pythia_160m_high_draw_1.npz,2026-02-27
pythia-160m,high,draw_2,success,225,12,12,768,61.8,3.8,pythia_160m_high_draw_2.npz,2026-02-27
pythia-160m,high,draw_3,success,225,12,12,768,61.8,3.8,pythia_160m_high_draw_3.npz,2026-02-27
pythia-160m,very_high,draw_1,success,225,12,12,768,61.8,3.8,pythia_160m_very_high_draw_1.npz,2026-02-27
pythia-160m,very_high,draw_2,success,225,12,12,768,61.8,3.8,pythia_160m_very_high_draw_2.npz,2026-02-27
pythia-160m,very_high,draw_3,success,225,12,12,768,61.8,3.8,pythia_160m_very_high_draw_3.npz,2026-02-27
pythia-160m,control,draw_1,success,225,12,12,768,61.8,3.8,pythia_160m_control_draw_1.npz,2026-02-27
pythia-160m,control,draw_2,success,225,12,12,768,61.8,3.8,pythia_160m_control_draw_2.npz,2026-02-27
pythia-160m,control,draw_3,success,225,12,12,768,61.8,3.8,pythia_160m_control_draw_3.npz,2026-02-27
pythia-410m,low,draw_1,success,225,24,16,1024,153.3,7.5,pythia_410m_low_draw_1.npz,2026-02-27
