model,band,draw,status,n_examples,circuit_edges,file_size_mb,extraction_time_s,filename,timestamp
pythia-1.4b,low,draw_1,success,225,2507,277.3,19.0,pythia_1.4b_low_draw_1_circuit.npz,2026-03-15
pythia-1.4b,low,draw_2,success,225,2589,277.2,19.8,pythia_1.4b_low_draw_2_circuit.npz,2026-03-15
pythia-1.4b,low,draw_3,success,225,2604,277.2,20.0,pythia_1.4b_low_draw_3_circuit.npz,2026-03-15
pythia-1.4b,medium,draw_1,success,225,2551,277.2,19.4,pythia_1.4b_medium_draw_1_circuit.npz,2026-03-15
pythia-1.4b,medium,draw_2,success,225,2451,277.2,19.0,pythia_1.4b_medium_draw_2_circuit.npz,2026-03-15
pythia-1.4b,medium,draw_3,success,225,2453,277.2,19.6,pythia_1.4b_medium_draw_3_circuit.npz,2026-03-15
pythia-1.4b,high,draw_1,success,225,2162,277.1,21.5,pythia_1.4b_high_draw_1_circuit.npz,2026-03-15
pythia-1.4b,high,draw_2,success,225,2182,277.1,19.7,pythia_1.4b_high_draw_2_circuit.npz,2026-03-15
pythia-1.4b,high,draw_3,success,225,2121,277.2,19.5,pythia_1.4b_high_draw_3_circuit.npz,2026-03-15
pythia-1.4b,very_high,draw_1,success,225,1940,277.1,19.5,pythia_1.4b_very_high_draw_1_circuit.npz,2026-03-15
pythia-1.4b,very_high,draw_2,success,225,2025,277.1,19.4,pythia_1.4b_very_high_draw_2_circuit.npz,2026-03-15
pythia-1.4b,very_high,draw_3,success,225,2108,277.1,19.2,pythia_1.4b_very_high_draw_3_circuit.npz,2026-03-15
pythia-1.4b,control,draw_1,success,225,2233,277.1,19.8,pythia_1.4b_control_draw_1_circuit.npz,2026-03-15
pythia-1.4b,control,draw_2,success,225,2221,277.1,19.7,pythia_1.4b_control_draw_2_circuit.npz,2026-03-15
pythia-1.4b,control,draw_3,success,225,2006,277.1,19.3,pythia_1.4b_control_draw_3_circuit.npz,2026-03-15
