model,draw,layer,base_mi,circuit_mi,info_loss,fractional_loss
pythia-70m,draw_1,0.0,0.7587233504540193,0.7587233504540193,0.0,0.0
pythia-70m,draw_1,1.0,0.5639947862009603,0.5490447180190007,0.014950068181959653,0.026507458132126606
pythia-70m,draw_1,2.0,0.5781170031870703,0.587116223190385,-0.008999220003314767,-0.01556643370408317
pythia-70m,draw_1,3.0,0.5404046014935313,0.5381614211169009,0.002243180376630405,0.004150927602079747
pythia-70m,draw_1,4.0,0.6392551518663788,0.6274900368773882,0.011765114988990577,0.01840441168857376
pythia-70m,draw_1,5.0,0.6717040079122558,0.6654684099077836,0.006235598004472265,0.009283252639586476
pythia-70m,draw_2,0.0,0.7286482597842364,0.7286482597842364,0.0,0.0
pythia-70m,draw_2,1.0,0.6475151060238133,0.6361424858774771,0.011372620146336221,0.01756348236595113
pythia-70m,draw_2,2.0,0.564034589715679,0.5555311265029182,0.008503463212760742,0.015076137825247925
pythia-70m,draw_2,3.0,0.5287681303650553,0.5300442331136382,-0.001276102748582919,-0.0024133503426197653
pythia-70m,draw_2,4.0,0.6202027228551222,0.6163791993076868,0.0038235235474354257,0.0061649576929196925
pythia-70m,draw_2,5.0,0.6258711397629879,0.6187368327013998,0.00713430706158813,0.011399003098768592
pythia-70m,draw_3,0.0,0.6879716270465801,0.6879716270465801,0.0,0.0
pythia-70m,draw_3,1.0,0.5949681315405638,0.5869864941116966,0.007981637428867261,0.013415235213019284
pythia-70m,draw_3,2.0,0.5906065822830725,0.6005131580109248,-0.009906575727852251,-0.016773561326656732
pythia-70m,draw_3,3.0,0.5091085882967742,0.5015592601206108,0.0075493281761633835,0.014828522538619326
pythia-70m,draw_3,4.0,0.6037450403113344,0.589022014290822,0.014723026020512342,0.024386164750802908
pythia-70m,draw_3,5.0,0.6224733327163767,0.6239683811523182,-0.001495048435941504,-0.00240178712462644
pythia-160m,draw_1,0.0,0.8520281723039772,0.8460861445474569,0.005942027756520307,0.00697398037960695
pythia-160m,draw_1,1.0,0.8701140217074878,0.8664427678078476,0.003671253899640181,0.004219279092222665
pythia-160m,draw_1,2.0,0.8232087465167854,0.8026524038829718,0.020556342633813673,0.024970996385537705
pythia-160m,draw_1,3.0,0.8128055172984543,0.76898860960573,0.04381690769272428,0.05390823113302655
pythia-160m,draw_1,4.0,0.8207839064730833,0.7838934591007275,0.036890447372355806,0.04494538340898328
pythia-160m,draw_1,5.0,0.8524670187003413,0.8321785039551061,0.020288514745235187,0.02379976503509398
pythia-160m,draw_1,6.0,0.906666534330067,0.8991367277248802,0.007529806605186873,0.008304934967904845
pythia-160m,draw_1,7.0,0.8954270667366258,0.8865308732251426,0.008896193511483186,0.009935140272122068
pythia-160m,draw_1,8.0,0.7204288597020458,0.7098966159241696,0.010532243777876205,0.014619408475990423
pythia-160m,draw_1,9.0,0.6746104370879682,0.677818009503799,-0.003207572415830806,-0.004754703217573468
pythia-160m,draw_1,10.0,0.750901929251328,0.7488983161235953,0.002003613127732784,0.0026682753761605687
pythia-160m,draw_1,11.0,0.7283886722096274,0.6915694836428344,0.036819188566793004,0.05054882094074712
pythia-160m,draw_2,0.0,0.8583340880206299,0.8505572092931524,0.007776878727477565,0.009060433269534379
pythia-160m,draw_2,1.0,0.8901698501167754,0.8751585398306461,0.015011310286129342,0.01686342250769346
pythia-160m,draw_2,2.0,0.8827148163319142,0.8651784623898192,0.017536353942094962,0.01986638676233687
pythia-160m,draw_2,3.0,0.7910125727045295,0.7562861817356522,0.03472639096887731,0.043901187120383246
pythia-160m,draw_2,4.0,0.8679625873622386,0.8402399345363384,0.02772265282590025,0.03193991680004334
pythia-160m,draw_2,5.0,0.8622994518310166,0.8742860239782613,-0.011986572147244634,-0.013900707140416486
pythia-160m,draw_2,6.0,0.9142006380308948,0.9216711526809525,-0.007470514650057658,-0.00817163578680985
pythia-160m,draw_2,7.0,0.908074292744012,0.8996515295586824,0.00842276318532953,0.009275411992864248
pythia-160m,draw_2,8.0,0.7703761547201702,0.7887889530780535,-0.018412798357883342,-0.023901049175868598
pythia-160m,draw_2,9.0,0.7267593670253129,0.7319758976139134,-0.005216530588600499,-0.007177796152737868
pythia-160m,draw_2,10.0,0.7794198008270962,0.780321902991826,-0.0009021021647298566,-0.0011574021647545697
pythia-160m,draw_2,11.0,0.7498071767933852,0.706723511506589,0.04308366528679619,0.057459659790197244
pythia-160m,draw_3,0.0,0.8836894318877888,0.882677506231046,0.0010119256567427959,0.0011451145846353072
pythia-160m,draw_3,1.0,0.86593474985131,0.845021128659188,0.020913621192122034,0.024151497783999453
pythia-160m,draw_3,2.0,0.8291140516159218,0.7996843876287163,0.02942966398720548,0.03549531446228396
pythia-160m,draw_3,3.0,0.8335792251660377,0.7923468913509328,0.04123233381510483,0.04946420516525218
pythia-160m,draw_3,4.0,0.8732922371924768,0.84967804745115,0.023614189741326785,0.027040420990393083
pythia-160m,draw_3,5.0,0.8797648440960757,0.8600128376577609,0.019752006438314762,0.02245146140001671
pythia-160m,draw_3,6.0,0.9139174300078312,0.8965985893284821,0.01731884067934908,0.01895011530658812
pythia-160m,draw_3,7.0,0.8487427501652892,0.8330499202639017,0.01569282990138754,0.018489500968734546
pythia-160m,draw_3,8.0,0.7322062759398343,0.7205366073539172,0.011669668585917115,0.015937678997545245
pythia-160m,draw_3,9.0,0.6856086257270193,0.6885765266369644,-0.0029679009099451426,-0.004328855849498657
pythia-160m,draw_3,10.0,0.7816141303158908,0.7518296721822151,0.029784458133675695,0.038106345546284136
pythia-160m,draw_3,11.0,0.7335212793361793,0.6865003302014205,0.04702094913475874,0.06410304712265699
pythia-410m,draw_1,0.0,0.8684049334079997,0.8611591287619128,0.0072458046460869285,0.00834380870874516
pythia-410m,draw_1,1.0,0.9611722476836084,0.9416801880590706,0.019492059624537816,0.020279465695678376
pythia-410m,draw_1,2.0,0.9454465980811816,0.934405427199008,0.011041170882173601,0.011678259675990225
pythia-410m,draw_1,3.0,0.981822433302998,0.9710024421597402,0.010819991143257823,0.011020313629275866
pythia-410m,draw_1,4.0,0.8947111654354928,0.8809618934434736,0.01374927199201914,0.015367274404502154
pythia-410m,draw_1,5.0,0.8734501964810895,0.8521989503101973,0.021251246170892135,0.024330232286291817
pythia-410m,draw_1,6.0,0.8765252977927623,0.8729976398664796,0.0035276579262827346,0.004024593397550497
pythia-410m,draw_1,7.0,0.8406694728532815,0.8371541340590613,0.0035153387942202796,0.004181594440784216
pythia-410m,draw_1,8.0,0.8037482949891706,0.801289851448677,0.0024584435404935157,0.0030587231796574323
pythia-410m,draw_1,9.0,0.7857067396202159,0.7766524036786321,0.00905433594158378,0.011523810965348649
pythia-410m,draw_1,10.0,0.8090226528484595,0.8212973927931284,-0.012274739944668878,-0.015172306858715482
pythia-410m,draw_1,11.0,0.8558232426629427,0.8770198942301647,-0.021196651567221947,-0.02476755772753654
pythia-410m,draw_1,12.0,0.8248837080232015,0.852423127562329,-0.02753941953912742,-0.03338582065722265
pythia-410m,draw_1,13.0,0.8089821770708883,0.8351636460993866,-0.026181469028498383,-0.03236346828219949
pythia-410m,draw_1,14.0,0.863037196400851,0.879710882439943,-0.01667368603909203,-0.01931977684000966
pythia-410m,draw_1,15.0,0.8929268662416302,0.9048553667880066,-0.011928500546376397,-0.013358877414657707
pythia-410m,draw_1,16.0,0.931481207108,0.9499205042604224,-0.01843929715242243,-0.019795672754012412
pythia-410m,draw_1,17.0,0.8541702221289854,0.874034330561721,-0.01986410843273556,-0.023255444779174177
pythia-410m,draw_1,18.0,0.7792886734061257,0.7877205879483178,-0.008431914542192054,-0.010820014238546193
pythia-410m,draw_1,19.0,0.7819196140050703,0.8101702632013711,-0.028250649196300825,-0.036129863850835234
pythia-410m,draw_1,20.0,0.7515929250169059,0.7576072653463861,-0.006014340329480228,-0.008002124726420149
pythia-410m,draw_1,21.0,0.7594730037316854,0.7771727170385396,-0.01769971330685427,-0.02330525669758686
pythia-410m,draw_1,22.0,0.8309154748947639,0.8643631392581098,-0.0334476643633459,-0.040253991379306145
pythia-410m,draw_1,23.0,0.9237104747218664,0.9778881944393776,-0.054177719717511175,-0.058652273845681294
pythia-410m,draw_2,0.0,0.8907300674082018,0.8933733637120653,-0.002643296303863507,-0.0029675615549330536
pythia-410m,draw_2,1.0,0.9978624048857636,0.9726761683440093,0.025186236541754337,0.025240189848256368
pythia-410m,draw_2,2.0,0.970054583654902,0.9573266285219675,0.012727955132934565,0.013120864895023834
pythia-410m,draw_2,3.0,1.0137005995716293,1.0100090606814893,0.003691538890139956,0.003641646154396999
pythia-410m,draw_2,4.0,0.9261554407130332,0.9360954769733961,-0.009940036260362883,-0.010732578812807274
pythia-410m,draw_2,5.0,0.9282273151147372,0.9042023548396216,0.02402496027511558,0.025882625822259798
pythia-410m,draw_2,6.0,0.917993899898988,0.9027595848219954,0.015234315076992688,0.0165952247380609
pythia-410m,draw_2,7.0,0.8741912207944945,0.8764710203649779,-0.0022797995704834095,-0.002607895751242446
pythia-410m,draw_2,8.0,0.8710608117798873,0.8728368530886689,-0.0017760413087816174,-0.0020389406626530847
pythia-410m,draw_2,9.0,0.8808979122121102,0.9022012997131752,-0.021303387501064974,-0.024183718914224602
pythia-410m,draw_2,10.0,0.8738253789964372,0.9163898632064849,-0.04256448421004766,-0.04871051497603757
pythia-410m,draw_2,11.0,0.8791374869126487,0.8947348474008363,-0.015597360488187606,-0.0177416623911265
pythia-410m,draw_2,12.0,0.8748802373810441,0.891961772596072,-0.017081535215027865,-0.01952442687031253
pythia-410m,draw_2,13.0,0.8696720713406548,0.8872975229581129,-0.0176254516174581,-0.02026677893690129
pythia-410m,draw_2,14.0,0.9071556449408829,0.9246829326755828,-0.017527287734699915,-0.019321147184000742
pythia-410m,draw_2,15.0,0.9606660787284624,0.9794776376509804,-0.018811558922517957,-0.01958178740673027
pythia-410m,draw_2,16.0,0.9920035244234956,0.9937840010281578,-0.0017804766046621845,-0.001794828910206656
pythia-410m,draw_2,17.0,0.8847872350327598,0.8982855720429965,-0.013498337010236727,-0.015256025941351814
pythia-410m,draw_2,18.0,0.794717787907557,0.8146055281276835,-0.019887740220126515,-0.02502490887046798
pythia-410m,draw_2,19.0,0.8169093978015943,0.8489986661347186,-0.03208926833312431,-0.03928130637189455
pythia-410m,draw_2,20.0,0.7837793964488089,0.8146154526416728,-0.030836056192863892,-0.03934277467942843
pythia-410m,draw_2,21.0,0.7440831021430934,0.8087693195320546,-0.06468621738896119,-0.08693413034465267
pythia-410m,draw_2,22.0,0.8940596543499104,0.9248060770409036,-0.030746422690993147,-0.03438967695432976
pythia-410m,draw_2,23.0,1.009085471246438,1.0221014438772276,-0.013015972630789463,-0.012898781125757297
pythia-410m,draw_3,0.0,0.8643203342379653,0.8515934913031323,0.01272684293483295,0.014724683003152609
pythia-410m,draw_3,1.0,0.9679842881737472,0.9501603651918423,0.017823922981904827,0.01841344244908399
pythia-410m,draw_3,2.0,0.9450839993600954,0.9347736289061578,0.010310370453937567,0.010909475201060002
pythia-410m,draw_3,3.0,0.9673452978010696,0.9698169318869908,-0.002471634085921215,-0.0025550691066981296
pythia-410m,draw_3,4.0,0.923706476841845,0.9201862652378752,0.0035202116039698694,0.003810963430726915
pythia-410m,draw_3,5.0,0.8839315406398356,0.8630642287181437,0.02086731192169189,0.02360738469246956
pythia-410m,draw_3,6.0,0.8715601633317501,0.8791146691750997,-0.0075545058433496015,-0.008667796167358854
pythia-410m,draw_3,7.0,0.8583971013351112,0.8719378287800109,-0.013540727444899758,-0.015774432863110952
