model,draw,comparison,pearson_r,pearson_p,spearman_rho,spearman_p,n_layers
pythia-70m,draw_1,info_loss_vs_cka_degradation,0.1961862445938882,0.7094961434688684,0.2571428571428572,0.6227871720116619,6
pythia-70m,draw_1,info_loss_vs_delta_norm,0.15956797423557112,0.7626794936120739,0.14285714285714288,0.7871720116618076,6
pythia-70m,draw_2,info_loss_vs_cka_degradation,0.20608554532691067,0.6952480375734492,-0.08571428571428573,0.8717434402332361,6
pythia-70m,draw_2,info_loss_vs_delta_norm,0.2032791072606267,0.6992813289373987,-0.08571428571428573,0.8717434402332361,6
pythia-70m,draw_3,info_loss_vs_cka_degradation,-0.0840616786633893,0.8742044872913433,0.028571428571428574,0.9571545189504373,6
pythia-70m,draw_3,info_loss_vs_delta_norm,0.04576616722280383,0.9313986787469327,-0.08571428571428573,0.8717434402332361,6
pythia-160m,draw_1,info_loss_vs_cka_degradation,-0.1994402661053895,0.5343058548524224,-0.2797202797202798,0.37856866966230307,12
pythia-160m,draw_1,info_loss_vs_delta_norm,-0.07521936818823993,0.81627920380708,-0.14685314685314685,0.6487957097846665,12
pythia-160m,draw_2,info_loss_vs_cka_degradation,-0.15891868497745548,0.6217846424965724,-0.16083916083916086,0.6175234895401425,12
pythia-160m,draw_2,info_loss_vs_delta_norm,-0.050726464065939836,0.8755926467690119,-0.18881118881118883,0.5567370561768314,12
pythia-160m,draw_3,info_loss_vs_cka_degradation,0.10154373922152429,0.75351104813537,0.04895104895104895,0.8799185788786748,12
pythia-160m,draw_3,info_loss_vs_delta_norm,0.22279221472427968,0.4864252544060154,0.0979020979020979,0.7621216559962992,12
pythia-410m,draw_1,info_loss_vs_cka_degradation,-0.7237463574493443,6.405939190901432e-05,-0.7921739130434783,3.9688532428423216e-06,24
pythia-410m,draw_1,info_loss_vs_delta_norm,-0.7511307087776931,2.3398902417878527e-05,-0.8191304347826085,9.850796912877473e-07,24
pythia-410m,draw_2,info_loss_vs_cka_degradation,-0.6349126191444261,0.0008592512009846003,-0.7652173913043477,1.3245696744668328e-05,24
pythia-410m,draw_2,info_loss_vs_delta_norm,-0.6930850093819969,0.00017370008148471207,-0.7026086956521739,0.0001291028601235959,24
pythia-410m,draw_3,info_loss_vs_cka_degradation,-0.15247362583731522,0.47692005007178034,-0.4504347826086956,0.027187078784635617,24
pythia-410m,draw_3,info_loss_vs_delta_norm,-0.2612353008130115,0.2175698410542455,-0.38956521739130434,0.059875479374870595,24
pythia-1b,draw_1,info_loss_vs_cka_degradation,-0.3678491294299704,0.16098453780897262,-0.27058823529411763,0.3107606271023349,16
pythia-1b,draw_1,info_loss_vs_delta_norm,-0.84921532437479,3.158867991959372e-05,-0.8529411764705882,2.679074057724726e-05,16
pythia-1b,draw_2,info_loss_vs_cka_degradation,-0.39194610215129,0.13323980308313182,-0.5029411764705883,0.04706314046727303,16
pythia-1b,draw_2,info_loss_vs_delta_norm,-0.4590383839291431,0.07368308554277651,-0.5529411764705882,0.026314499870666506,16
pythia-1b,draw_3,info_loss_vs_cka_degradation,-0.5820399019356138,0.018009337806875497,-0.8088235294117646,0.0001484755922323442,16
pythia-1b,draw_3,info_loss_vs_delta_norm,-0.6902200554334916,0.0030820770199337984,-0.823529411764706,8.83913936384215e-05,16
