model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-410m,draw_3,medium,high,cross_band,tokenwise_mean_corrupt,3920,0.22666666666666666,0.38666666666666666
pythia-410m,draw_3,medium,very_high,cross_band,tokenwise_mean_corrupt,3920,0.30666666666666664,0.5644444444444444
pythia-410m,draw_3,medium,control,cross_band,tokenwise_mean_corrupt,3920,0.08444444444444445,0.19111111111111112
pythia-410m,draw_3,high,low,cross_band,tokenwise_mean_corrupt,3379,0.19555555555555557,0.5422222222222223
pythia-410m,draw_3,high,medium,cross_band,tokenwise_mean_corrupt,3379,0.14222222222222222,0.44
pythia-410m,draw_3,high,high,cross_band,tokenwise_mean_corrupt,3379,0.28,0.52
pythia-410m,draw_3,high,very_high,cross_band,tokenwise_mean_corrupt,3379,0.28888888888888886,0.6044444444444445
pythia-410m,draw_3,high,control,cross_band,tokenwise_mean_corrupt,3379,0.25333333333333335,0.5777777777777777
pythia-410m,draw_3,very_high,low,cross_band,tokenwise_mean_corrupt,3280,0.3244444444444444,0.5511111111111111
pythia-410m,draw_3,very_high,medium,cross_band,tokenwise_mean_corrupt,3280,0.3422222222222222,0.44
pythia-410m,draw_3,very_high,high,cross_band,tokenwise_mean_corrupt,3280,0.5066666666666667,0.7333333333333333
pythia-410m,draw_3,very_high,very_high,cross_band,tokenwise_mean_corrupt,3280,0.6444444444444445,0.8355555555555556
pythia-410m,draw_3,very_high,control,cross_band,tokenwise_mean_corrupt,3280,0.5688888888888889,0.8
pythia-410m,draw_3,control,low,cross_band,tokenwise_mean_corrupt,3382,0.49333333333333335,0.7733333333333333
pythia-410m,draw_3,control,medium,cross_band,tokenwise_mean_corrupt,3382,0.4444444444444444,0.6755555555555556
pythia-410m,draw_3,control,high,cross_band,tokenwise_mean_corrupt,3382,0.48444444444444446,0.7422222222222222
pythia-410m,draw_3,control,very_high,cross_band,tokenwise_mean_corrupt,3382,0.43555555555555553,0.72
pythia-410m,draw_3,control,control,cross_band,tokenwise_mean_corrupt,3382,0.5555555555555556,0.7911111111111111
