model,ablation,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,p_value,n_pairs,own_band_accuracy_mean
pythia-70m,tokenwise_mean_corrupt,0.11466666666666668,0.09933333333333334,0.8662790697674418,0.28125025960168576,0.1038818359375,15,0.4382222222222222
pythia-160m,tokenwise_mean_corrupt,0.40059259259259267,0.38577777777777783,0.9630177514792899,0.09946665982168096,0.1795654296875,15,0.6797037037037037
pythia-410m,tokenwise_mean_corrupt,0.3611851851851852,0.2929629629629629,0.8111156685808038,0.39393893677089137,0.210601806640625,15,0.362962962962963
pythia-1b,tokenwise_mean_corrupt,0.42666666666666675,0.3575555555555555,0.8380208333333331,0.5587494546545299,0.126190185546875,15,0.4314074074074074
pythia-1.4b,tokenwise_mean_corrupt,0.14133333333333328,0.09281481481481477,0.6567085953878405,0.5601081810091989,0.09381103515625,15,0.14133333333333328
