model,ablation,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,p_value
pythia-70m,resample,0.122074074074074,0.0994074074074074,0.8143203883495147,0.5092606940147701,0.004180908203125
pythia-70m,mean,0.1146666666666666,0.0993333333333333,0.8662790697674418,0.2812502596016857,0.1038818359375
pythia-70m,zero,-0.1146666666666666,-0.1268148148148148,,0.1793409302107926,
pythia-160m,resample,0.304,0.2815555555555555,0.9261695906432748,0.287519894192608,0.000579833984375
pythia-160m,mean,0.4005925925925926,0.3857777777777778,0.96301775147929,0.0994666598216809,0.1795654296875
pythia-160m,zero,0.1271111111111111,0.1268148148148148,0.9976689976689976,0.0030768821127889,
pythia-410m,resample,0.4497777777777777,0.4337777777777779,0.964426877470356,0.1628552252727723,0.004180908203125
pythia-410m,mean,0.3611851851851852,0.2929629629629629,0.8111156685808038,0.3939389367708913,0.210601806640625
pythia-410m,zero,0.0014814814814814,0.0018518518518518,1.25,-0.1609556949949125,
pythia-1b,resample,0.5131851851851852,0.4845925925925927,0.9442840646651272,0.2413878945044706,0.000762939453125
pythia-1b,mean,0.4266666666666667,0.3575555555555555,0.8380208333333331,0.5587494546545299,0.126190185546875
pythia-1b,zero,0.0008888888888888,0.0012592592592592,1.4166666666666663,-0.1352834451872351,
pythia-1.4b,resample,0.7555555555555554,0.7328148148148148,0.969901960784314,0.2577782135804875,0.027679443359375
pythia-1.4b,mean,0.1413333333333332,0.0928148148148147,0.6567085953878405,0.5601081810091989,0.09381103515625
pythia-1.4b,zero,0.0038518518518518,0.0028148148148148,0.7307692307692308,0.1489783271300847,
