model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-1b,draw_1,low,low,cross_band,tokenwise_mean_corrupt,972,0.4533333333333333,0.6977777777777778
pythia-1b,draw_1,low,medium,cross_band,tokenwise_mean_corrupt,972,0.5333333333333333,0.7466666666666667
pythia-1b,draw_1,low,high,cross_band,tokenwise_mean_corrupt,972,0.4222222222222222,0.68
pythia-1b,draw_1,low,very_high,cross_band,tokenwise_mean_corrupt,972,0.4888888888888889,0.6666666666666666
pythia-1b,draw_1,low,control,cross_band,tokenwise_mean_corrupt,972,0.5022222222222222,0.6844444444444444
pythia-1b,draw_1,medium,low,cross_band,tokenwise_mean_corrupt,904,0.4311111111111111,0.6666666666666666
pythia-1b,draw_1,medium,medium,cross_band,tokenwise_mean_corrupt,904,0.5288888888888889,0.7955555555555556
pythia-1b,draw_1,medium,high,cross_band,tokenwise_mean_corrupt,904,0.4311111111111111,0.7377777777777778
pythia-1b,draw_1,medium,very_high,cross_band,tokenwise_mean_corrupt,904,0.43555555555555553,0.7466666666666667
pythia-1b,draw_1,medium,control,cross_band,tokenwise_mean_corrupt,904,0.43555555555555553,0.7377777777777778
pythia-1b,draw_1,high,low,cross_band,tokenwise_mean_corrupt,1002,0.06222222222222222,0.13333333333333333
pythia-1b,draw_1,high,medium,cross_band,tokenwise_mean_corrupt,1002,0.32,0.5644444444444444
pythia-1b,draw_1,high,high,cross_band,tokenwise_mean_corrupt,1002,0.4622222222222222,0.6844444444444444
pythia-1b,draw_1,high,very_high,cross_band,tokenwise_mean_corrupt,1002,0.49333333333333335,0.7022222222222222
pythia-1b,draw_1,high,control,cross_band,tokenwise_mean_corrupt,1002,0.52,0.7377777777777778
pythia-1b,draw_1,very_high,low,cross_band,tokenwise_mean_corrupt,817,0.044444444444444446,0.12
pythia-1b,draw_1,very_high,medium,cross_band,tokenwise_mean_corrupt,817,0.017777777777777778,0.10666666666666667
pythia-1b,draw_1,very_high,high,cross_band,tokenwise_mean_corrupt,817,0.19555555555555557,0.4266666666666667
pythia-1b,draw_1,very_high,very_high,cross_band,tokenwise_mean_corrupt,817,0.4,0.6177777777777778
pythia-1b,draw_1,very_high,control,cross_band,tokenwise_mean_corrupt,817,0.28444444444444444,0.5644444444444444
pythia-1b,draw_1,control,low,cross_band,tokenwise_mean_corrupt,928,0.2311111111111111,0.4622222222222222
pythia-1b,draw_1,control,medium,cross_band,tokenwise_mean_corrupt,928,0.28444444444444444,0.5466666666666666
pythia-1b,draw_1,control,high,cross_band,tokenwise_mean_corrupt,928,0.4266666666666667,0.7066666666666667
pythia-1b,draw_1,control,very_high,cross_band,tokenwise_mean_corrupt,928,0.5733333333333334,0.7822222222222223
pythia-1b,draw_1,control,control,cross_band,tokenwise_mean_corrupt,928,0.5377777777777778,0.7911111111111111
