model,ablation,n_draws,n_pairs,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d,wilcoxon_p_cell_level_exact_lattice,draws_with_positive_mean_diff,draw_level_sign_test_min_p,mean_same_band_circuit_acc,vl_on_core_retention_mean,vl_on_core_retention_min,vl_on_core_retention_max,core_on_vl_retention_mean,core_on_vl_retention_min,core_on_vl_retention_max,n_retention_pairs_vl_on_core,n_retention_pairs_core_on_vl,contains_unmatched_very_low,very_low_length_matched,very_low_pool_n_tokens
pythia-1.4b,zero,3,18,0.0032098765432098763,0.0021234567901234572,0.6615384615384617,0.17205887696108418,0.7751989524178027,2/3,0.125,0.0032098765432098763,0.0,0.0,0.0,,,,4,0,True,False,97
pythia-160m,zero,3,18,0.10814814814814816,0.10380246913580247,0.9598173515981735,0.047014034381590485,0.4325218200683594,2/3,0.125,0.11135802469135801,2.4777363349876294,0.0,18.00000000000018,3.150000000000005,0.0,7.250000000000031,14,10,True,False,97
pythia-1b,zero,3,18,0.0007407407407407408,0.001037037037037037,1.4,-0.12379689211803453,0.9197995946223744,0/3,0.125,0.0007407407407407408,0.0,0.0,0.0,,,,1,0,True,False,97
pythia-410m,zero,3,18,0.0012345679012345679,0.0012345679012345679,1.0,0.0,0.6710154549680898,1/3,0.125,0.0012345679012345679,0.0,0.0,0.0,,,,4,0,True,False,97
pythia-70m,zero,3,18,-0.08691358024691359,-0.10380246913580246,,0.23428724610893445,0.33951855719260043,3/3,0.125,0.3069135802469136,0.6918369275626309,0.37209302325581384,1.085714285714286,2.005555555555557,0.8500000000000003,3.3750000000000004,15,15,True,False,97
