model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-1b,draw_1,univ6,very_low,310,zero,0.0,0.0
pythia-1b,draw_1,univ6,low,310,zero,0.0,0.0
pythia-1b,draw_1,univ6,medium,310,zero,0.0,0.0
pythia-1b,draw_1,univ6,high,310,zero,0.0,0.0
pythia-1b,draw_1,univ6,very_high,310,zero,0.0,0.0
pythia-1b,draw_1,univ6,control,310,zero,0.0,0.0
pythia-1b,draw_1,univ5,very_low,348,zero,0.0,0.0
pythia-1b,draw_1,univ5,low,348,zero,0.0,0.0
pythia-1b,draw_1,univ5,medium,348,zero,0.0,0.0
pythia-1b,draw_1,univ5,high,348,zero,0.0,0.0
pythia-1b,draw_1,univ5,very_high,348,zero,0.0,0.0
pythia-1b,draw_1,univ5,control,348,zero,0.0,0.0
pythia-1b,draw_2,univ6,very_low,305,zero,0.0,0.0
pythia-1b,draw_2,univ6,low,305,zero,0.0,0.0
pythia-1b,draw_2,univ6,medium,305,zero,0.0,0.0
pythia-1b,draw_2,univ6,high,305,zero,0.0,0.0
pythia-1b,draw_2,univ6,very_high,305,zero,0.0,0.0
pythia-1b,draw_2,univ6,control,305,zero,0.0,0.0
pythia-1b,draw_2,univ5,very_low,356,zero,0.0,0.0
pythia-1b,draw_2,univ5,low,356,zero,0.0,0.0
pythia-1b,draw_2,univ5,medium,356,zero,0.0,0.0
pythia-1b,draw_2,univ5,high,356,zero,0.0,0.0
pythia-1b,draw_2,univ5,very_high,356,zero,0.0,0.0
pythia-1b,draw_2,univ5,control,356,zero,0.0,0.0044444444444444444
pythia-1b,draw_3,univ6,very_low,330,zero,0.0,0.0
pythia-1b,draw_3,univ6,low,330,zero,0.0,0.0
pythia-1b,draw_3,univ6,medium,330,zero,0.0,0.0
pythia-1b,draw_3,univ6,high,330,zero,0.0,0.0
pythia-1b,draw_3,univ6,very_high,330,zero,0.0,0.0
pythia-1b,draw_3,univ6,control,330,zero,0.0,0.0
pythia-1b,draw_3,univ5,very_low,364,zero,0.0,0.0
pythia-1b,draw_3,univ5,low,364,zero,0.0,0.0
pythia-1b,draw_3,univ5,medium,364,zero,0.0,0.0
pythia-1b,draw_3,univ5,high,364,zero,0.0,0.0
pythia-1b,draw_3,univ5,very_high,364,zero,0.0,0.0
pythia-1b,draw_3,univ5,control,364,zero,0.0,0.0
