model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-160m,draw_1,univ6,very_low,623,zero,0.0,0.0
pythia-160m,draw_1,univ6,low,623,zero,0.0,0.0
pythia-160m,draw_1,univ6,medium,623,zero,0.0,0.017777777777777778
pythia-160m,draw_1,univ6,high,623,zero,0.0044444444444444444,0.06666666666666667
pythia-160m,draw_1,univ6,very_high,623,zero,0.0044444444444444444,0.044444444444444446
pythia-160m,draw_1,univ6,control,623,zero,0.008888888888888889,0.03111111111111111
pythia-160m,draw_1,univ5,very_low,694,zero,0.0,0.0
pythia-160m,draw_1,univ5,low,694,zero,0.0,0.013333333333333334
pythia-160m,draw_1,univ5,medium,694,zero,0.0,0.07111111111111111
pythia-160m,draw_1,univ5,high,694,zero,0.0044444444444444444,0.14666666666666667
pythia-160m,draw_1,univ5,very_high,694,zero,0.0,0.14222222222222222
pythia-160m,draw_1,univ5,control,694,zero,0.008888888888888889,0.07555555555555556
pythia-160m,draw_2,univ6,very_low,668,zero,0.0,0.0
pythia-160m,draw_2,univ6,low,668,zero,0.0,0.0
pythia-160m,draw_2,univ6,medium,668,zero,0.0,0.0
pythia-160m,draw_2,univ6,high,668,zero,0.0,0.008888888888888889
pythia-160m,draw_2,univ6,very_high,668,zero,0.0,0.013333333333333334
pythia-160m,draw_2,univ6,control,668,zero,0.0044444444444444444,0.017777777777777778
pythia-160m,draw_2,univ5,very_low,723,zero,0.0,0.0
pythia-160m,draw_2,univ5,low,723,zero,0.0,0.0
pythia-160m,draw_2,univ5,medium,723,zero,0.0,0.0
pythia-160m,draw_2,univ5,high,723,zero,0.0,0.008888888888888889
pythia-160m,draw_2,univ5,very_high,723,zero,0.0,0.0044444444444444444
pythia-160m,draw_2,univ5,control,723,zero,0.0044444444444444444,0.017777777777777778
pythia-160m,draw_3,univ6,very_low,660,zero,0.0,0.0044444444444444444
pythia-160m,draw_3,univ6,low,660,zero,0.0,0.0044444444444444444
pythia-160m,draw_3,univ6,medium,660,zero,0.0044444444444444444,0.017777777777777778
pythia-160m,draw_3,univ6,high,660,zero,0.008888888888888889,0.02666666666666667
pythia-160m,draw_3,univ6,very_high,660,zero,0.008888888888888889,0.017777777777777778
pythia-160m,draw_3,univ6,control,660,zero,0.013333333333333334,0.035555555555555556
pythia-160m,draw_3,univ5,very_low,723,zero,0.0044444444444444444,0.0044444444444444444
pythia-160m,draw_3,univ5,low,723,zero,0.0,0.013333333333333334
pythia-160m,draw_3,univ5,medium,723,zero,0.008888888888888889,0.04888888888888889
pythia-160m,draw_3,univ5,high,723,zero,0.0044444444444444444,0.03111111111111111
pythia-160m,draw_3,univ5,very_high,723,zero,0.013333333333333334,0.04
pythia-160m,draw_3,univ5,control,723,zero,0.0044444444444444444,0.08444444444444445
