model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-70m,draw_1,very_low,very_low,385,zero,0.0888888888888888,0.2,unmatched,unmatched
pythia-70m,draw_1,very_low,low,385,zero,0.1377777777777777,0.3022222222222222,unmatched,matched
pythia-70m,draw_1,very_low,medium,385,zero,0.2177777777777777,0.3511111111111111,unmatched,matched
pythia-70m,draw_1,very_low,high,385,zero,0.2666666666666666,0.4177777777777778,unmatched,matched
pythia-70m,draw_1,very_low,very_high,385,zero,0.4311111111111111,0.5866666666666667,unmatched,matched
pythia-70m,draw_1,very_low,control,385,zero,0.3466666666666667,0.56,unmatched,matched
pythia-70m,draw_1,low,very_low,380,zero,0.1244444444444444,0.1777777777777777,matched,unmatched
pythia-70m,draw_1,low,low,380,zero,0.1777777777777777,0.2977777777777777,matched,matched
pythia-70m,draw_1,low,medium,380,zero,0.2311111111111111,0.3466666666666667,matched,matched
pythia-70m,draw_1,low,high,380,zero,0.2666666666666666,0.4444444444444444,matched,matched
pythia-70m,draw_1,low,very_high,380,zero,0.4088888888888889,0.6711111111111111,matched,matched
pythia-70m,draw_1,low,control,380,zero,0.3777777777777777,0.5777777777777777,matched,matched
pythia-70m,draw_1,medium,very_low,395,zero,0.0755555555555555,0.16,matched,unmatched
pythia-70m,draw_1,medium,low,395,zero,0.1555555555555555,0.2666666666666666,matched,matched
pythia-70m,draw_1,medium,medium,395,zero,0.2044444444444444,0.2977777777777777,matched,matched
pythia-70m,draw_1,medium,high,395,zero,0.24,0.3511111111111111,matched,matched
pythia-70m,draw_1,medium,very_high,395,zero,0.2888888888888888,0.4444444444444444,matched,matched
pythia-70m,draw_1,medium,control,395,zero,0.2488888888888888,0.4533333333333333,matched,matched
pythia-70m,draw_1,high,very_low,414,zero,0.1555555555555555,0.2711111111111111,matched,unmatched
pythia-70m,draw_1,high,low,414,zero,0.2622222222222222,0.3733333333333333,matched,matched
pythia-70m,draw_1,high,medium,414,zero,0.3244444444444444,0.4355555555555555,matched,matched
pythia-70m,draw_1,high,high,414,zero,0.3688888888888889,0.5066666666666667,matched,matched
pythia-70m,draw_1,high,very_high,414,zero,0.5511111111111111,0.7022222222222222,matched,matched
pythia-70m,draw_1,high,control,414,zero,0.4977777777777777,0.6666666666666666,matched,matched
pythia-70m,draw_1,very_high,very_low,424,zero,0.1333333333333333,0.1955555555555555,matched,unmatched
pythia-70m,draw_1,very_high,low,424,zero,0.2,0.2888888888888888,matched,matched
pythia-70m,draw_1,very_high,medium,424,zero,0.2444444444444444,0.3511111111111111,matched,matched
pythia-70m,draw_1,very_high,high,424,zero,0.3155555555555555,0.4044444444444444,matched,matched
pythia-70m,draw_1,very_high,very_high,424,zero,0.4622222222222222,0.6488888888888888,matched,matched
