model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-70m,draw_1,univ6,very_low,285,zero,0.16444444444444445,0.27555555555555555
pythia-70m,draw_1,univ6,low,285,zero,0.29333333333333333,0.41333333333333333
pythia-70m,draw_1,univ6,medium,285,zero,0.3377777777777778,0.43555555555555553
pythia-70m,draw_1,univ6,high,285,zero,0.38222222222222224,0.5333333333333333
pythia-70m,draw_1,univ6,very_high,285,zero,0.56,0.7022222222222222
pythia-70m,draw_1,univ6,control,285,zero,0.5333333333333333,0.7155555555555555
pythia-70m,draw_1,univ5,very_low,297,zero,0.17777777777777778,0.29777777777777775
pythia-70m,draw_1,univ5,low,297,zero,0.31555555555555553,0.43555555555555553
pythia-70m,draw_1,univ5,medium,297,zero,0.3466666666666667,0.4711111111111111
pythia-70m,draw_1,univ5,high,297,zero,0.4444444444444444,0.5511111111111111
pythia-70m,draw_1,univ5,very_high,297,zero,0.5733333333333334,0.7244444444444444
pythia-70m,draw_1,univ5,control,297,zero,0.5911111111111111,0.7333333333333333
pythia-70m,draw_2,univ6,very_low,284,zero,0.25333333333333335,0.37777777777777777
pythia-70m,draw_2,univ6,low,284,zero,0.4,0.5022222222222222
pythia-70m,draw_2,univ6,medium,284,zero,0.4622222222222222,0.5822222222222222
pythia-70m,draw_2,univ6,high,284,zero,0.5422222222222223,0.7244444444444444
pythia-70m,draw_2,univ6,very_high,284,zero,0.5955555555555555,0.8044444444444444
pythia-70m,draw_2,univ6,control,284,zero,0.5955555555555555,0.7688888888888888
pythia-70m,draw_2,univ5,very_low,297,zero,0.26222222222222225,0.36444444444444446
pythia-70m,draw_2,univ5,low,297,zero,0.4,0.5333333333333333
pythia-70m,draw_2,univ5,medium,297,zero,0.4488888888888889,0.5866666666666667
pythia-70m,draw_2,univ5,high,297,zero,0.5555555555555556,0.7022222222222222
pythia-70m,draw_2,univ5,very_high,297,zero,0.6444444444444445,0.8
pythia-70m,draw_2,univ5,control,297,zero,0.6266666666666667,0.7733333333333333
pythia-70m,draw_3,univ6,very_low,292,zero,0.1511111111111111,0.26222222222222225
pythia-70m,draw_3,univ6,low,292,zero,0.17333333333333334,0.27555555555555555
pythia-70m,draw_3,univ6,medium,292,zero,0.3022222222222222,0.38222222222222224
pythia-70m,draw_3,univ6,high,292,zero,0.4,0.5688888888888889
pythia-70m,draw_3,univ6,very_high,292,zero,0.47555555555555556,0.6622222222222223
pythia-70m,draw_3,univ6,control,292,zero,0.4666666666666667,0.6444444444444445
pythia-70m,draw_3,univ5,very_low,311,zero,0.21333333333333335,0.3022222222222222
pythia-70m,draw_3,univ5,low,311,zero,0.19111111111111112,0.3022222222222222
pythia-70m,draw_3,univ5,medium,311,zero,0.31555555555555553,0.4
pythia-70m,draw_3,univ5,high,311,zero,0.4533333333333333,0.5777777777777777
pythia-70m,draw_3,univ5,very_high,311,zero,0.5644444444444444,0.6933333333333334
pythia-70m,draw_3,univ5,control,311,zero,0.5466666666666666,0.6844444444444444
