model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-1b,draw_1,very_low,very_low,940,zero,0.0,0.0,unmatched,unmatched
pythia-1b,draw_1,very_low,low,940,zero,0.0,0.0,unmatched,matched
pythia-1b,draw_1,very_low,medium,940,zero,0.0,0.0,unmatched,matched
pythia-1b,draw_1,very_low,high,940,zero,0.0,0.0,unmatched,matched
pythia-1b,draw_1,very_low,very_high,940,zero,0.0,0.0088888888888888,unmatched,matched
pythia-1b,draw_1,very_low,control,940,zero,0.0044444444444444,0.0088888888888888,unmatched,matched
pythia-1b,draw_1,low,very_low,972,zero,0.0088888888888888,0.0222222222222222,matched,unmatched
pythia-1b,draw_1,low,low,972,zero,0.0,0.0044444444444444,matched,matched
pythia-1b,draw_1,low,medium,972,zero,0.0,0.0222222222222222,matched,matched
pythia-1b,draw_1,low,high,972,zero,0.0,0.0088888888888888,matched,matched
pythia-1b,draw_1,low,very_high,972,zero,0.0,0.0044444444444444,matched,matched
pythia-1b,draw_1,low,control,972,zero,0.0,0.0133333333333333,matched,matched
pythia-1b,draw_1,medium,very_low,904,zero,0.0,0.0,matched,unmatched
pythia-1b,draw_1,medium,low,904,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,medium,medium,904,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,medium,high,904,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,medium,very_high,904,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,medium,control,904,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,high,very_low,1002,zero,0.0,0.0,matched,unmatched
pythia-1b,draw_1,high,low,1002,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,high,medium,1002,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,high,high,1002,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,high,very_high,1002,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,high,control,1002,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,very_high,very_low,817,zero,0.0,0.0,matched,unmatched
pythia-1b,draw_1,very_high,low,817,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,very_high,medium,817,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,very_high,high,817,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,very_high,very_high,817,zero,0.0,0.0,matched,matched
pythia-1b,draw_1,very_high,control,817,zero,0.0,0.0,matched,matched
