model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-160m,draw_2,high,high,1454,zero,0.0488888888888888,0.1511111111111111,matched,matched
pythia-160m,draw_2,high,very_high,1454,zero,0.04,0.1466666666666666,matched,matched
pythia-160m,draw_2,high,control,1454,zero,0.0444444444444444,0.1777777777777777,matched,matched
pythia-160m,draw_2,very_high,very_low,1306,zero,0.0,0.0,matched,unmatched
pythia-160m,draw_2,very_high,low,1306,zero,0.0,0.0044444444444444,matched,matched
pythia-160m,draw_2,very_high,medium,1306,zero,0.0,0.0,matched,matched
pythia-160m,draw_2,very_high,high,1306,zero,0.0,0.0,matched,matched
pythia-160m,draw_2,very_high,very_high,1306,zero,0.0,0.0088888888888888,matched,matched
pythia-160m,draw_2,very_high,control,1306,zero,0.0,0.0133333333333333,matched,matched
pythia-160m,draw_2,control,very_low,1380,zero,0.04,0.0977777777777777,matched,unmatched
pythia-160m,draw_2,control,low,1380,zero,0.1733333333333333,0.2933333333333333,matched,matched
pythia-160m,draw_2,control,medium,1380,zero,0.1244444444444444,0.2577777777777778,matched,matched
pythia-160m,draw_2,control,high,1380,zero,0.1555555555555555,0.2844444444444444,matched,matched
pythia-160m,draw_2,control,very_high,1380,zero,0.1733333333333333,0.2311111111111111,matched,matched
pythia-160m,draw_2,control,control,1380,zero,0.1377777777777777,0.2088888888888889,matched,matched
pythia-160m,draw_3,very_low,very_low,1323,zero,0.0311111111111111,0.1066666666666666,unmatched,unmatched
pythia-160m,draw_3,very_low,low,1323,zero,0.0755555555555555,0.1377777777777777,unmatched,matched
pythia-160m,draw_3,very_low,medium,1323,zero,0.12,0.2,unmatched,matched
pythia-160m,draw_3,very_low,high,1323,zero,0.1111111111111111,0.1511111111111111,unmatched,matched
pythia-160m,draw_3,very_low,very_high,1323,zero,0.08,0.1511111111111111,unmatched,matched
pythia-160m,draw_3,very_low,control,1323,zero,0.08,0.1377777777777777,unmatched,matched
pythia-160m,draw_3,low,very_low,1408,zero,0.0488888888888888,0.1155555555555555,matched,unmatched
pythia-160m,draw_3,low,low,1408,zero,0.0444444444444444,0.1155555555555555,matched,matched
pythia-160m,draw_3,low,medium,1408,zero,0.0888888888888888,0.2533333333333333,matched,matched
pythia-160m,draw_3,low,high,1408,zero,0.1155555555555555,0.2755555555555555,matched,matched
pythia-160m,draw_3,low,very_high,1408,zero,0.1644444444444444,0.3422222222222222,matched,matched
pythia-160m,draw_3,low,control,1408,zero,0.1288888888888889,0.32,matched,matched
pythia-160m,draw_3,medium,very_low,1475,zero,0.1644444444444444,0.3688888888888889,matched,unmatched
pythia-160m,draw_3,medium,low,1475,zero,0.1733333333333333,0.4222222222222222,matched,matched
pythia-160m,draw_3,medium,medium,1475,zero,0.3066666666666666,0.48,matched,matched
pythia-160m,draw_3,medium,high,1475,zero,0.2933333333333333,0.5644444444444444,matched,matched
pythia-160m,draw_3,medium,very_high,1475,zero,0.3644444444444444,0.56,matched,matched
pythia-160m,draw_3,medium,control,1475,zero,0.3511111111111111,0.5955555555555555,matched,matched
pythia-160m,draw_3,high,very_low,1385,zero,0.1511111111111111,0.2844444444444444,matched,unmatched
pythia-160m,draw_3,high,low,1385,zero,0.24,0.4088888888888889,matched,matched
pythia-160m,draw_3,high,medium,1385,zero,0.3111111111111111,0.4844444444444444,matched,matched
pythia-160m,draw_3,high,high,1385,zero,0.2711111111111111,0.4488888888888889,matched,matched
pythia-160m,draw_3,high,very_high,1385,zero,0.2711111111111111,0.4488888888888889,matched,matched
pythia-160m,draw_3,high,control,1385,zero,0.2711111111111111,0.4533333333333333,matched,matched
pythia-160m,draw_3,very_high,very_low,1330,zero,0.1955555555555555,0.3911111111111111,matched,unmatched
pythia-160m,draw_3,very_high,low,1330,zero,0.2888888888888888,0.5644444444444444,matched,matched
