model,draw,band,mean_convergence_layer,median_convergence_layer,std_convergence_layer,frac_converged,n_converged,n_total,n_layers,frac_convergence_layer
pythia-160m,draw_1,high,9.0,9.0,1.3792107243718135,1.0,225,225,12,0.75
pythia-160m,draw_1,very_high,8.71111111111111,9.0,1.6251115821139752,1.0,225,225,12,0.7259259259259259
pythia-160m,draw_1,control,8.902222222222223,9.0,1.3917996166257218,1.0,225,225,12,0.7418518518518519
pythia-160m,draw_2,low,9.582222222222223,10.0,1.280154311686054,1.0,225,225,12,0.7985185185185185
pythia-160m,draw_2,medium,9.053333333333333,9.0,1.39421025036478,1.0,225,225,12,0.7544444444444444
pythia-160m,draw_2,high,8.933333333333334,9.0,1.3920408678547402,1.0,225,225,12,0.7444444444444445
pythia-160m,draw_2,very_high,8.71111111111111,9.0,1.7103894582127872,1.0,225,225,12,0.7259259259259259
pythia-160m,draw_2,control,8.684444444444445,9.0,1.6063700356262949,1.0,225,225,12,0.7237037037037037
pythia-160m,draw_3,low,9.524444444444445,10.0,1.3335259120184697,1.0,225,225,12,0.7937037037037037
pythia-160m,draw_3,medium,9.235555555555555,9.0,1.3004538618934471,1.0,225,225,12,0.7696296296296296
pythia-160m,draw_3,high,8.986666666666666,9.0,1.3935725472484182,1.0,225,225,12,0.7488888888888888
pythia-160m,draw_3,very_high,8.533333333333333,9.0,1.8451136670797397,1.0,225,225,12,0.7111111111111111
pythia-160m,draw_3,control,8.488888888888889,9.0,1.7051845416223004,1.0,225,225,12,0.7074074074074074
pythia-410m,draw_1,low,21.15111111111111,22.0,2.42291121699333,1.0,225,225,24,0.8812962962962962
pythia-410m,draw_1,medium,19.871111111111112,21.0,2.7270352010295578,1.0,225,225,24,0.827962962962963
pythia-410m,draw_1,high,18.835555555555555,18.0,2.453945173303643,1.0,225,225,24,0.7848148148148147
pythia-410m,draw_1,very_high,17.364444444444445,17.0,2.1019732058293923,1.0,225,225,24,0.7235185185185186
pythia-410m,draw_1,control,17.782222222222224,17.0,2.3440979206783137,1.0,225,225,24,0.740925925925926
pythia-410m,draw_2,low,20.773333333333333,22.0,2.60037604118242,1.0,225,225,24,0.8655555555555555
pythia-410m,draw_2,medium,20.093333333333334,22.0,2.5759917184131886,1.0,225,225,24,0.8372222222222222
pythia-410m,draw_2,high,18.662222222222223,18.0,2.5177846425325656,1.0,225,225,24,0.7775925925925926
pythia-410m,draw_2,very_high,17.404444444444444,17.0,2.2432075799875455,1.0,225,225,24,0.7251851851851852
pythia-410m,draw_2,control,17.56888888888889,17.0,2.2619384235868947,1.0,225,225,24,0.732037037037037
