model,draw,band,layer,attn_logit_mean,mlp_logit_mean,attn_frac,mlp_frac,attn_logit_std,mlp_logit_std,method
pythia-70m,draw_1,low,0,14.015316494305928,4.587055164443122,0.6706337874200068,0.3293662125746757,4.533504441290041,8.054710324975648,W_U
pythia-70m,draw_1,low,1,0.7634796235296462,-0.5153605673048232,0.3732701299026721,0.6267298700754044,3.0049768461565285,5.90580701693158,W_U
pythia-70m,draw_1,low,2,3.423563741048177,17.075584699842665,0.42020549160735576,0.5797945083827234,6.6626098332313495,35.62973041583986,W_U
pythia-70m,draw_1,low,3,7.171802202595605,4.358576922946506,0.48479474302588516,0.5152052569640039,7.8290407219590294,8.665140715333614,W_U
pythia-70m,draw_1,low,4,6.494260079595778,5.399550999535455,0.412739447673123,0.5872605523190826,3.4840930487798842,15.081410931076293,W_U
pythia-70m,draw_1,low,5,710.2566975911458,1349.6690435112848,0.3503493434236351,0.6496506565763154,43.554357799911806,265.5900653762797,W_U
pythia-70m,draw_1,medium,0,14.28685793876648,3.612348797586229,0.71766420013307,0.2823357998614289,4.644358096484978,7.640374935783989,W_U
pythia-70m,draw_1,medium,1,0.8075659460491604,0.4774761790699429,0.3864804945007208,0.6135195054775737,2.9288041129041464,6.1646825544252595,W_U
pythia-70m,draw_1,medium,2,3.254461461438073,17.188681193987527,0.43531467227606263,0.5646853277121772,6.465652986140225,36.773963295217676,W_U
pythia-70m,draw_1,medium,3,8.479701471063827,3.1146942520141603,0.5268829911039739,0.4731170088871483,8.273828378717083,8.192665418082393,W_U
pythia-70m,draw_1,medium,4,7.543573045730591,3.9090044821633234,0.42430666992638544,0.5756933300670554,3.6535566381893636,15.94122276685537,W_U
pythia-70m,draw_1,medium,5,704.8123559570313,1331.0968579101564,0.35073958792029875,0.6492604120796512,46.9077595778825,244.52929510360752,W_U
pythia-70m,draw_1,high,0,14.745199076334636,2.655207092497084,0.7379728610798768,0.2620271389147883,4.311417552868144,7.264960584918159,W_U
pythia-70m,draw_1,high,1,-0.6892240428924561,0.37904164181815253,0.36686526482998943,0.6331347351499363,2.932630744734745,6.337272489032531,W_U
pythia-70m,draw_1,high,2,6.78865705649058,13.217794695695241,0.49212706807271606,0.5078729319178077,6.083402280492617,30.471254957918028,W_U
pythia-70m,draw_1,high,3,11.37915522310469,2.0853221628401015,0.6003292676554836,0.3996707323352993,9.946220734924935,7.799466078801908,W_U
pythia-70m,draw_1,high,4,7.411142845153808,7.99140043788486,0.3938890140126569,0.6061109859810601,3.8350821324078255,16.194180128665707,W_U
pythia-70m,draw_1,high,5,699.4589084201389,1376.9124088541666,0.3413175590837756,0.6586824409161754,43.68837039257628,244.28816657610466,W_U
pythia-70m,draw_1,very_high,0,14.175220573213366,2.00547613090939,0.7259936528438754,0.27400634715056593,4.384477872204133,7.04106786272156,W_U
pythia-70m,draw_1,very_high,1,0.14238748417960273,-0.10266140275531345,0.4197680225574245,0.5802319774228668,3.788670815625839,5.829292006623426,W_U
pythia-70m,draw_1,very_high,2,8.964688631693521,5.69367962413364,0.5905445317658637,0.4094554682239667,6.782711846586841,20.97468039407076,W_U
pythia-70m,draw_1,very_high,3,16.86044989373949,-0.9520702234903972,0.6955420746575891,0.30445792533587035,9.913293487002386,8.165262643531905,W_U
pythia-70m,draw_1,very_high,4,8.956152954631381,9.32628361913893,0.46142181597862286,0.5385781840153464,3.991269970428984,14.281509801940464,W_U
pythia-70m,draw_1,very_high,5,685.9274202473958,1412.5073567708334,0.3311978056789424,0.6688021943210091,48.18367439698468,254.12858810478184,W_U
pythia-70m,draw_1,control,0,14.326254835128784,2.530726941691505,0.7442640640064464,0.255735935987924,4.268278019949807,6.7271667293328505,W_U
