model,layer,head,copy_score
pythia-70m,0,0,0.014381974935531616
pythia-70m,0,1,0.0018661677604541183
pythia-70m,0,2,-0.004214141983538866
pythia-70m,0,3,0.010326284915208817
pythia-70m,0,4,-0.0019010263495147228
pythia-70m,0,5,-0.000543813977856189
pythia-70m,0,6,-0.0007981449016369879
pythia-70m,0,7,0.010354166850447655
pythia-70m,1,0,0.0013429486425593495
pythia-70m,1,1,-0.004717244766652584
pythia-70m,1,2,0.00862138345837593
pythia-70m,1,3,0.003723186207935214
pythia-70m,1,4,0.024385172873735428
pythia-70m,1,5,-0.013330725952982903
pythia-70m,1,6,0.00987609289586544
pythia-70m,1,7,0.004125359933823347
pythia-70m,2,0,-0.009347863495349884
pythia-70m,2,1,0.0008356606704182923
pythia-70m,2,2,0.012974901124835014
pythia-70m,2,3,0.002387130167335272
pythia-70m,2,4,-0.006038325373083353
pythia-70m,2,5,0.012673194520175457
pythia-70m,2,6,0.007753628306090832
pythia-70m,2,7,0.008206185884773731
pythia-70m,3,0,0.02255980856716633
pythia-70m,3,1,0.0797349289059639
pythia-70m,3,2,0.005080502945929766
pythia-70m,3,3,0.12037839740514755
pythia-70m,3,4,0.002382945967838168
pythia-70m,3,5,0.0006874650716781616
pythia-70m,3,6,0.021584374830126762
pythia-70m,3,7,-0.002489924430847168
pythia-70m,4,0,-0.015214602462947369
pythia-70m,4,1,0.003231468377634883
pythia-70m,4,2,0.008762719109654427
pythia-70m,4,3,0.014838811941444874
pythia-70m,4,4,-0.0008258125162683427
pythia-70m,4,5,0.011188890784978867
pythia-70m,4,6,0.006137866992503405
pythia-70m,4,7,0.009322387166321278
pythia-70m,5,0,0.017463117837905884
pythia-70m,5,1,0.009110303595662117
pythia-70m,5,2,-0.0010064246598631144
pythia-70m,5,3,-0.011044912971556187
pythia-70m,5,4,0.015639184042811394
pythia-70m,5,5,0.01591402478516102
pythia-70m,5,6,0.005514871794730425
pythia-70m,5,7,0.0015632649883627892
pythia-160m,0,0,0.003678028704598546
pythia-160m,0,1,-0.0018569892272353172
pythia-160m,0,2,0.010583332739770412
pythia-160m,0,3,-0.003234742907807231
pythia-160m,0,4,-0.0021398277021944523
pythia-160m,0,5,-0.00917287077754736
pythia-160m,0,6,0.0024006138555705547
pythia-160m,0,7,-0.003015564987435937
pythia-160m,0,8,-0.0033938453998416662
pythia-160m,0,9,0.0017134255031123757
pythia-160m,0,10,-0.0011923618149012327
pythia-160m,0,11,0.0007416933658532798
pythia-160m,1,0,-0.010481387376785278
pythia-160m,1,1,-0.004770785570144653
pythia-160m,1,2,0.0015016355318948627
pythia-160m,1,3,-0.0025252082850784063
pythia-160m,1,4,-0.00214343867264688
pythia-160m,1,5,-0.000538387568667531
pythia-160m,1,6,0.003192848525941372
pythia-160m,1,7,0.0063787768594920635
pythia-160m,1,8,0.004835067316889763
pythia-160m,1,9,0.002605867339298129
pythia-160m,1,10,0.004345910623669624
pythia-160m,1,11,0.0037893604021519423
pythia-160m,2,0,-0.0004124338738620281
pythia-160m,2,1,-0.005693361628800631
pythia-160m,2,2,-0.0010051160352304578
pythia-160m,2,3,0.0037429879885166883
pythia-160m,2,4,-0.004072101321071386
pythia-160m,2,5,-0.001014562207274139
pythia-160m,2,6,-0.004387658555060625
pythia-160m,2,7,0.0011827669804915786
pythia-160m,2,8,0.008191845379769802
pythia-160m,2,9,0.00222201575525105
pythia-160m,2,10,-0.0026012801099568605
pythia-160m,2,11,-0.0012001401046290994
pythia-160m,3,0,0.007420271635055542
pythia-160m,3,1,0.0023466432467103004
pythia-160m,3,2,0.004810753278434277
pythia-160m,3,3,-0.013035368174314499
pythia-160m,3,4,-0.011018678545951843
pythia-160m,3,5,-0.0007359582232311368
pythia-160m,3,6,0.007521559949964285
pythia-160m,3,7,0.008539295755326748
pythia-160m,3,8,-0.00607351865619421
pythia-160m,3,9,-0.0011702209012582898
pythia-160m,3,10,0.00813580583781004
pythia-160m,3,11,-0.006644595880061388
pythia-160m,4,0,-0.010520958341658115
pythia-160m,4,1,-0.017568182200193405
pythia-160m,4,2,0.0019326760666444898
pythia-160m,4,3,0.009199184365570545
pythia-160m,4,4,0.005830480717122555
pythia-160m,4,5,-0.006221253890544176
pythia-160m,4,6,-0.00141277932561934
pythia-160m,4,7,-0.0023417226038873196
pythia-160m,4,8,-0.0003195804310962558
pythia-160m,4,9,-0.006657346151769161
pythia-160m,4,10,-0.00021103381004650146
pythia-160m,4,11,0.012793277390301228
pythia-160m,5,0,0.009569755755364895
pythia-160m,5,1,-0.010177340358495712
pythia-160m,5,2,0.011940507218241692
pythia-160m,5,3,-0.0032013398595154285
pythia-160m,5,4,0.009187459945678711
pythia-160m,5,5,-0.006402922328561544
pythia-160m,5,6,0.003750008763745427
pythia-160m,5,7,0.0013959750067442656
pythia-160m,5,8,-0.008273395709693432
pythia-160m,5,9,0.028111759573221207
pythia-160m,5,10,0.003363054944202304
pythia-160m,5,11,0.0023841578513383865
pythia-160m,6,0,0.0039116134867072105
pythia-160m,6,1,0.008028433658182621
pythia-160m,6,2,0.0028131892904639244
pythia-160m,6,3,0.0013209109893068671
pythia-160m,6,4,-0.006079403683543205
pythia-160m,6,5,-0.004842331167310476
pythia-160m,6,6,0.006288762670010328
pythia-160m,6,7,-0.010530543513596058
pythia-160m,6,8,-0.017643935978412628
pythia-160m,6,9,-0.0020059647504240274
