model,layer,head,copy_score
pythia-160m,6,10,0.004737975541502237
pythia-160m,6,11,0.014103497378528118
pythia-160m,7,0,0.01248540636152029
pythia-160m,7,1,-0.0036928837653249502
pythia-160m,7,2,-0.002391982823610306
pythia-160m,7,3,0.012698621489107609
pythia-160m,7,4,-0.0014336943859234452
pythia-160m,7,5,0.0020057884976267815
pythia-160m,7,6,0.002767338650301099
pythia-160m,7,7,-0.0037324551958590746
pythia-160m,7,8,-0.014554331079125404
pythia-160m,7,9,-0.0016975761391222477
pythia-160m,7,10,-0.0003251978778280318
pythia-160m,7,11,-0.015085835941135883
pythia-160m,8,0,0.0001360648893751204
pythia-160m,8,1,0.007217635866254568
pythia-160m,8,2,0.004614196717739105
pythia-160m,8,3,-0.008133599534630775
pythia-160m,8,4,0.0026935951318591833
pythia-160m,8,5,-0.001492793788202107
pythia-160m,8,6,-0.002071559429168701
pythia-160m,8,7,-0.01475533377379179
pythia-160m,8,8,0.0061523644253611565
pythia-160m,8,9,-0.012390774674713612
pythia-160m,8,10,0.015231027267873287
pythia-160m,8,11,0.005669045727699995
pythia-160m,9,0,-0.0018137531587854028
pythia-160m,9,1,-0.0017557240789756179
pythia-160m,9,2,0.0025495528243482113
pythia-160m,9,3,-0.002357856370508671
pythia-160m,9,4,-0.0006985430954955518
pythia-160m,9,5,-0.005110308527946472
pythia-160m,9,6,0.002069965936243534
pythia-160m,9,7,-0.004343960899859667
pythia-160m,9,8,0.0065381573513150215
pythia-160m,9,9,0.0020817918702960014
pythia-160m,9,10,-0.009350750595331192
pythia-160m,9,11,-0.01532901730388403
pythia-160m,10,0,0.0005038136150687933
pythia-160m,10,1,-0.001705886097624898
pythia-160m,10,2,-0.00028813339304178953
pythia-160m,10,3,-0.005845445673912764
pythia-160m,10,4,-0.002982352627441287
pythia-160m,10,5,0.007252549286931753
pythia-160m,10,6,-0.0003196046454831958
pythia-160m,10,7,0.0021747946739196777
pythia-160m,10,8,0.005157694220542908
pythia-160m,10,9,-0.0030525692272931337
pythia-160m,10,10,-0.011069276370108128
pythia-160m,10,11,-0.0021364258136600256
pythia-160m,11,0,-0.009970692917704582
pythia-160m,11,1,-0.003305923892185092
pythia-160m,11,2,-0.005528185050934553
pythia-160m,11,3,0.001870258362032473
pythia-160m,11,4,-0.0024471250362694263
pythia-160m,11,5,-0.0014438687358051538
pythia-160m,11,6,-0.0014799183700233698
pythia-160m,11,7,-0.005491035524755716
pythia-160m,11,8,-0.0018156423466280103
pythia-160m,11,9,-0.000434762827353552
pythia-160m,11,10,-0.002955180127173662
pythia-160m,11,11,-0.004534406587481499
pythia-410m,0,0,-0.0008192264940589666
pythia-410m,0,1,-6.841638969490305e-05
pythia-410m,0,2,-0.00029160393751226366
pythia-410m,0,3,-9.131765546044335e-05
pythia-410m,0,4,-2.9748583983746357e-05
pythia-410m,0,5,0.00011664249905152246
pythia-410m,0,6,-5.072617204859853e-05
pythia-410m,0,7,0.00029200149583630264
pythia-410m,0,8,0.0004139805387239903
pythia-410m,0,9,-0.00025518331676721573
pythia-410m,0,10,-5.25120813108515e-05
pythia-410m,0,11,-3.29439171764534e-05
pythia-410m,0,12,0.0001791410322766751
pythia-410m,0,13,-5.758753832196817e-05
pythia-410m,0,14,0.0005018974770791829
pythia-410m,0,15,0.0003263898252043873
pythia-410m,1,0,-0.0006615318125113845
pythia-410m,1,1,2.194918670284096e-05
pythia-410m,1,2,-0.0005945119773969054
pythia-410m,1,3,-0.000198446650756523
pythia-410m,1,4,0.0003487318754196167
pythia-410m,1,5,0.00033328228164464235
pythia-410m,1,6,0.00018779181118588895
pythia-410m,1,7,-6.631506403209642e-05
pythia-410m,1,8,-0.00010882416245294735
pythia-410m,1,9,0.0004097925848327577
pythia-410m,1,10,8.0303885624744e-05
pythia-410m,1,11,-0.0003442121669650078
pythia-410m,1,12,-8.311709825647995e-05
pythia-410m,1,13,-0.0004171259643044323
pythia-410m,1,14,0.0004496762412600219
pythia-410m,1,15,0.0003581031342037022
pythia-410m,2,0,0.00015323293337132782
pythia-410m,2,1,-0.00015980098396539688
pythia-410m,2,2,0.0003193221928086132
pythia-410m,2,3,0.00034273474011570215
pythia-410m,2,4,-0.0006363326101563871
pythia-410m,2,5,0.0002918235259130597
pythia-410m,2,6,0.0004159384116064757
pythia-410m,2,7,-8.790638094069436e-05
pythia-410m,2,8,-0.0006257931818254292
pythia-410m,2,9,-0.0003291992761660367
pythia-410m,2,10,0.00014516306691803038
pythia-410m,2,11,-0.0004656341625377536
pythia-410m,2,12,0.0005519935511983931
pythia-410m,2,13,-0.0003961080510634929
pythia-410m,2,14,0.0006435654358938336
pythia-410m,2,15,9.19305530260317e-05
pythia-410m,3,0,0.000832892139442265
pythia-410m,3,1,0.0006058287690393627
pythia-410m,3,2,0.00037109761615283787
pythia-410m,3,3,0.0001082241942640394
pythia-410m,3,4,-0.0002029506431426853
pythia-410m,3,5,-0.00018620851915329695
pythia-410m,3,6,-0.0003957310982514173
pythia-410m,3,7,-1.4107134120422415e-05
pythia-410m,3,8,-0.00015360192628577352
pythia-410m,3,9,0.0003216131590306759
pythia-410m,3,10,-0.0007857835153117776
pythia-410m,3,11,0.0003978251479566097
pythia-410m,3,12,0.0005672253319062293
pythia-410m,3,13,0.0004366833600215614
pythia-410m,3,14,-0.00013344589387997985
pythia-410m,3,15,-0.00045158437569625676
pythia-410m,4,0,-0.0002014959027292207
pythia-410m,4,1,0.0008022907422855496
pythia-410m,4,2,-0.0004840119800064713
pythia-410m,4,3,0.0008987683686427772
pythia-410m,4,4,3.4788008633768186e-05
pythia-410m,4,5,0.00016576962661929429
pythia-410m,4,6,-0.0003256852796766907
pythia-410m,4,7,-0.00026313288253732026
pythia-410m,4,8,-0.00033965311013162136
pythia-410m,4,9,0.00037072718259878457
pythia-410m,4,10,0.00027972739189863205
pythia-410m,4,11,0.0005954880034551024
pythia-410m,4,12,-0.0010756492847576737
pythia-410m,4,13,0.0003591773856896907
pythia-410m,4,14,0.00031881386530585587
pythia-410m,4,15,0.0003245613188482821
pythia-410m,5,0,0.0003736626240424812
pythia-410m,5,1,-2.9129305403330363e-05
pythia-410m,5,2,0.00013174302875995636
pythia-410m,5,3,-0.0009272177121601999
pythia-410m,5,4,3.2813251891639084e-05
pythia-410m,5,5,0.0006256343913264573
pythia-410m,5,6,4.997001724404981e-06
pythia-410m,5,7,0.00020947048324160278
pythia-410m,5,8,0.0005945385782979429
pythia-410m,5,9,0.0005676306900568306
pythia-410m,5,10,-0.0005547383916564286
pythia-410m,5,11,-0.0003106575459241867
pythia-410m,5,12,-0.0006875563412904739
pythia-410m,5,13,0.00019387896463740617
pythia-410m,5,14,0.000404852326028049
pythia-410m,5,15,-9.239632345270365e-05
pythia-410m,6,0,-0.00034935626899823546
pythia-410m,6,1,-0.0003927245270460844
pythia-410m,6,2,0.0008804283570498228
pythia-410m,6,3,-0.00011245429050177336
pythia-410m,6,4,0.0003067575744353235
pythia-410m,6,5,0.0004012282006442547
pythia-410m,6,6,-0.0009072230313904583
pythia-410m,6,7,-0.0003180102212354541
pythia-410m,6,8,-0.0002788674901239574
pythia-410m,6,9,-0.0014252954861149192
pythia-410m,6,10,0.0007419749745167792
pythia-410m,6,11,-0.00020331560517661273
pythia-410m,6,12,0.0004525046388152987
pythia-410m,6,13,0.00037925492506474257
pythia-410m,6,14,0.0002453720080666244
pythia-410m,6,15,-0.0012079436564818025
pythia-410m,7,0,-0.0005218429141677916
pythia-410m,7,1,0.0007647288148291409
pythia-410m,7,2,-0.0005953627405688167
pythia-410m,7,3,-4.963116589351557e-05
pythia-410m,7,4,0.0003381155838724226
pythia-410m,7,5,1.3426486475509591e-05
pythia-410m,7,6,-0.0014397019986063242
pythia-410m,7,7,-0.0008586159092374146
pythia-410m,7,8,-0.0008313065627589822
pythia-410m,7,9,-0.0012790613109245896
pythia-410m,7,10,-0.0001974314945982769
pythia-410m,7,11,-0.0004571141325868666
pythia-410m,7,12,-0.0005144364549778402
pythia-410m,7,13,7.893503789091483e-05
pythia-410m,7,14,-9.837515244726092e-05
pythia-410m,7,15,0.0005037115188315511
pythia-410m,8,0,0.00027372498880140483
pythia-410m,8,1,0.0011615186231210828
pythia-410m,8,2,0.0006361551932059228
pythia-410m,8,3,0.0003583575307857245
pythia-410m,8,4,-0.00041656536632217467
pythia-410m,8,5,0.0006821030983701348
pythia-410m,8,6,-0.000522041751537472
pythia-410m,8,7,-0.0001202695129904896
pythia-410m,8,8,-0.001367389690130949
pythia-410m,8,9,0.000146717022289522
pythia-410m,8,10,0.00033620651811361313
pythia-410m,8,11,-0.000654372910503298
pythia-410m,8,12,-0.00012300163507461548
pythia-410m,8,13,0.0010868405224755406
pythia-410m,8,14,0.0002954765222966671
pythia-410m,8,15,-0.00016116558981593698
pythia-410m,9,0,-0.0006673416355624795
pythia-410m,9,1,-0.0010558317881077528
pythia-410m,9,2,0.00022767027257941663
pythia-410m,9,3,0.0009912664536386728
pythia-410m,9,4,0.0004219393595121801
pythia-410m,9,5,-2.1794921849505045e-05
pythia-410m,9,6,0.0005429952288977802
pythia-410m,9,7,-0.0005648921360261738
pythia-410m,9,8,2.4782493710517883e-06
pythia-410m,9,9,-0.0005359159549698234
pythia-410m,9,10,-8.115947275655344e-05
pythia-410m,9,11,-0.00010697053221520036
pythia-410m,9,12,-0.0006714705959893763
pythia-410m,9,13,0.00019053097639698535
pythia-410m,9,14,-0.00045907957246527076
pythia-410m,9,15,0.0005095693632028997
pythia-410m,10,0,-0.0002316770696779713
pythia-410m,10,1,-0.001173930475488305
pythia-410m,10,2,-0.0009502622997388244
pythia-410m,10,3,-0.001460794941522181
pythia-410m,10,4,0.00027967087225988507
pythia-410m,10,5,0.0009310777531936765
pythia-410m,10,6,0.001036660629324615
pythia-410m,10,7,0.00040992326103150845
pythia-410m,10,8,-0.0015513392863795161
pythia-410m,10,9,0.0002559268323238939
pythia-410m,10,10,-0.0002172740496462211
pythia-410m,10,11,0.0004294185491744429
pythia-410m,10,12,0.0004459416086319834
pythia-410m,10,13,0.0002891216427087784
pythia-410m,10,14,-0.0006804096046835184
pythia-410m,10,15,0.00012600373884197325
pythia-410m,11,0,0.0004525721014942974
pythia-410m,11,1,0.0004876006569247693
pythia-410m,11,2,-0.0008429560111835599
pythia-410m,11,3,0.0007512271986342967
pythia-410m,11,4,0.0017821270739659667
pythia-410m,11,5,-0.0004495357279665768
pythia-410m,11,6,-0.0005009801825508475
pythia-410m,11,7,0.0025267249438911676
pythia-410m,11,8,0.00045861973194405437
pythia-410m,11,9,-0.0007496660109609365
pythia-410m,11,10,-0.0016476763412356377
pythia-410m,11,11,-9.37248405534774e-05
pythia-410m,11,12,-0.00025735708186402917
pythia-410m,11,13,0.0007377144647762179
pythia-410m,11,14,-0.000978540861979127
pythia-410m,11,15,0.0003270104352850467
pythia-410m,12,0,0.0005683230701833963
pythia-410m,12,1,-0.0005971170612610877
pythia-410m,12,2,-2.6626754333847202e-05
pythia-410m,12,3,0.0006628427654504776
pythia-410m,12,4,-0.0009410303900949657
pythia-410m,12,5,7.13110130163841e-05
pythia-410m,12,6,0.000591943331528455
pythia-410m,12,7,-9.060250158654526e-05
pythia-410m,12,8,-0.001201531384140253
pythia-410m,12,9,-0.0005638506263494492
pythia-410m,12,10,0.00014370057033374906
pythia-410m,12,11,0.0007399438763968647
pythia-410m,12,12,0.00014412894961424172
pythia-410m,12,13,-0.00011811649892479181
pythia-410m,12,14,-0.0008017089567147195
pythia-410m,12,15,0.00028581012156791985
pythia-410m,13,0,-0.0011277891462668777
pythia-410m,13,1,0.00042259698966518044
pythia-410m,13,2,-0.0003883925674017519
pythia-410m,13,3,0.0011286104563623667
pythia-410m,13,4,0.00010852420382434502
pythia-410m,13,5,-0.0013995002955198288
pythia-410m,13,6,0.0005414750194177032
pythia-410m,13,7,0.0006519120070151985
pythia-410m,13,8,0.0004675851669162512
pythia-410m,13,9,-0.00021213639411143959
pythia-410m,13,10,0.0004480936040636152
pythia-410m,13,11,0.0010983040556311607
pythia-410m,13,12,8.674548735143617e-05
pythia-410m,13,13,0.0012659874046221375
pythia-410m,13,14,-0.0007535104523412883
pythia-410m,13,15,-0.0004502663214225322
pythia-410m,14,0,0.0011110008927062154
pythia-410m,14,1,0.00025506329257041216
pythia-410m,14,2,0.0006489671650342643
pythia-410m,14,3,1.5614479707437567e-05
pythia-410m,14,4,0.0005110530182719231
pythia-410m,14,5,0.0005942116258665919
pythia-410m,14,6,-0.00014175963588058949
pythia-410m,14,7,5.027456063544378e-05
pythia-410m,14,8,0.0010467347456142306
pythia-410m,14,9,0.0017619439167901874
pythia-410m,14,10,0.0001278647396247834
pythia-410m,14,11,-0.0001001458804239519
pythia-410m,14,12,-0.000541818153578788
pythia-410m,14,13,-0.0006390325725078583
pythia-410m,14,14,0.002831126796081662
pythia-410m,14,15,0.00022309871565084904
pythia-410m,15,0,0.0007687825709581375
pythia-410m,15,1,-0.0012743901461362839
pythia-410m,15,2,-0.00023093803611118346
pythia-410m,15,3,0.0006786632584407926
pythia-410m,15,4,0.0010230120969936252
pythia-410m,15,5,-5.758553470514016e-06
pythia-410m,15,6,-0.0009451528894715011
pythia-410m,15,7,-0.0003221604274585843
pythia-410m,15,8,0.00022583417012356222
pythia-410m,15,9,-0.002237749984487891
pythia-410m,15,10,-0.00045846670400351286
pythia-410m,15,11,0.0006224489770829678
pythia-410m,15,12,-0.0005356388282962143
pythia-410m,15,13,0.0016420683823525906
pythia-410m,15,14,-0.0006820989074185491
pythia-410m,15,15,-6.653735181316733e-05
pythia-410m,16,0,0.0017852118471637368
pythia-410m,16,1,-0.001993582583963871
pythia-410m,16,2,0.0004788399673998356
pythia-410m,16,3,0.00011832371092168614
pythia-410m,16,4,-8.733674621907994e-05
pythia-410m,16,5,-0.000511868973262608
pythia-410m,16,6,-0.0007074265158735216
pythia-410m,16,7,-0.0012085450580343604
pythia-410m,16,8,0.0007031419081613421
pythia-410m,16,9,0.00013967241102363914
pythia-410m,16,10,-0.000653115042950958
pythia-410m,16,11,0.0018368642777204514
pythia-410m,16,12,0.0017781966598704457
pythia-410m,16,13,0.0004572896577883512
pythia-410m,16,14,-0.00017867218411993235
pythia-410m,16,15,-0.0016747650224715471
pythia-410m,17,0,-0.00033497356344014406
pythia-410m,17,1,0.0009329812019132078
pythia-410m,17,2,-0.0003849389322567731
pythia-410m,17,3,-0.00030959537252783775
pythia-410m,17,4,-0.0007570324814878404
pythia-410m,17,5,-0.0013819525483995676
pythia-410m,17,6,-0.002016437705606222
pythia-410m,17,7,0.0013135375920683146
pythia-410m,17,8,-0.0004141004756093025
pythia-410m,17,9,0.0009127131779678166
pythia-410m,17,10,0.00043151661520823836
pythia-410m,17,11,0.0006295887869782746
pythia-410m,17,12,0.0008013392798602581
pythia-410m,17,13,0.0004537399800028652
pythia-410m,17,14,0.0016951020807027817
pythia-410m,17,15,-0.0025429155211895704
pythia-410m,18,0,-0.00017105623555835336
pythia-410m,18,1,1.4404318790184334e-05
pythia-410m,18,2,-0.001724418019875884
pythia-410m,18,3,-0.0002749528212007135
pythia-410m,18,4,-0.0009150035330094397
pythia-410m,18,5,-0.0024184545036405325
pythia-410m,18,6,0.0015063673490658402
pythia-410m,18,7,0.0003926198114641011
pythia-410m,18,8,-0.0005052608321420848
pythia-410m,18,9,0.0012140453327447176
pythia-410m,18,10,5.412645623437129e-05
pythia-410m,18,11,-0.0009812600910663605
pythia-410m,18,12,0.001624748227186501
pythia-410m,18,13,-0.002068120986223221
pythia-410m,18,14,-0.0005748322000727057
pythia-410m,18,15,-0.00028933575958944857
pythia-410m,19,0,0.0032889132853597403
pythia-410m,19,1,0.0007342055323533714
pythia-410m,19,2,-0.00046543608186766505
pythia-410m,19,3,0.0009988496312871575
pythia-410m,19,4,-0.0007097020861692727
pythia-410m,19,5,-0.0010720472782850266
pythia-410m,19,6,-0.00034263517591170967
pythia-410m,19,7,-5.290286571835168e-05
pythia-410m,19,8,0.0020411661826074123
pythia-410m,19,9,-0.0016007137019187212
pythia-410m,19,10,6.967398803681135e-05
pythia-410m,19,11,0.00044565985444933176
pythia-410m,19,12,-0.0012620118213817477
pythia-410m,19,13,0.0010851690312847495
pythia-410m,19,14,0.00039006670704111457
pythia-410m,19,15,0.001181966159492731
pythia-410m,20,0,-6.581022898899391e-05
pythia-410m,20,1,-0.0017644083127379417
pythia-410m,20,2,0.0003733369230758399
pythia-410m,20,3,0.0006997437449172139
pythia-410m,20,4,-0.0008475520880892873
pythia-410m,20,5,-0.00036707695107907057
pythia-410m,20,6,0.000525693001691252
pythia-410m,20,7,-0.0002120212302543223
pythia-410m,20,8,0.00021032466611359268
pythia-410m,20,9,0.0013116801856085658
pythia-410m,20,10,-0.0011487221345305443
pythia-410m,20,11,-0.0006351115880534053
pythia-410m,20,12,0.00031851461972109973
pythia-410m,20,13,-0.0003698070358950645
pythia-410m,20,14,-0.0009207294788211584
pythia-410m,20,15,0.0006845123716630042
pythia-410m,21,0,0.0003766122099477798
pythia-410m,21,1,0.0014242311008274555
pythia-410m,21,2,-0.00021851909696124494
pythia-410m,21,3,9.11750175873749e-05
pythia-410m,21,4,-0.0010967523558065295
pythia-410m,21,5,-0.000739274313673377
pythia-410m,21,6,0.0011724786600098014
pythia-410m,21,7,-0.00047581977560184896
pythia-410m,21,8,0.0003330530016683042
pythia-410m,21,9,0.0008560441783629358
pythia-410m,21,10,0.0004142963152844459
pythia-410m,21,11,-0.00030872022034600377
pythia-410m,21,12,-0.004260852932929993
pythia-410m,21,13,-1.2414716366038192e-06
pythia-410m,21,14,0.0016125340480357409
pythia-410m,21,15,-5.60666412638966e-05
pythia-410m,22,0,-0.00016468662943225354
pythia-410m,22,1,-4.732222805614583e-05
pythia-410m,22,2,-0.00058500882005319
pythia-410m,22,3,-0.0008689195965416729
pythia-410m,22,4,0.00038512510946020484
pythia-410m,22,5,-0.0001735576515784487
pythia-410m,22,6,0.0018161695916205645
pythia-410m,22,7,0.0004605631111189723
pythia-410m,22,8,-6.697243225062266e-05
pythia-410m,22,9,0.0002519068366382271
pythia-410m,22,10,-0.0008775497553870082
pythia-410m,22,11,-0.0006390688358806074
pythia-410m,22,12,-0.00022719218395650387
pythia-410m,22,13,-3.751058102352545e-05
pythia-410m,22,14,-0.00034898865851573646
pythia-410m,22,15,9.60516554187052e-05
pythia-410m,23,0,-0.0003550528781488538
pythia-410m,23,1,0.00048530599451623857
pythia-410m,23,2,0.0001366709911962971
pythia-410m,23,3,2.198836773459334e-05
pythia-410m,23,4,0.000983661855570972
pythia-410m,23,5,-0.00040136525058187544
pythia-410m,23,6,0.0002111815265379846
pythia-410m,23,7,2.6938412247545784e-06
pythia-410m,23,8,-0.0005274206050671637
pythia-410m,23,9,-0.0007337406277656555
pythia-410m,23,10,-0.00011645657650660723
pythia-410m,23,11,-0.00043055342393927276
pythia-410m,23,12,-0.0004765914345625788
pythia-410m,23,13,-0.0003245914704166353
pythia-410m,23,14,-0.00023133477952796966
pythia-410m,23,15,-2.0181905711069703e-05
pythia-1b,0,0,0.0001031984284054488
pythia-1b,0,1,0.00019838761363644153
pythia-1b,0,2,-0.0011159040732309222
pythia-1b,0,3,-4.904184243059717e-05
pythia-1b,0,4,-6.642100925091654e-05
pythia-1b,0,5,-0.0009115596185438335
pythia-1b,0,6,0.00021596348960883915
pythia-1b,0,7,-0.00015478904242627323
pythia-1b,1,0,-0.0010243795113638043
pythia-1b,1,1,0.0014260124880820513
pythia-1b,1,2,-2.1712705347454175e-05
pythia-1b,1,3,-0.001116658328101039
pythia-1b,1,4,-0.00037160940701141953
pythia-1b,1,5,-0.00041626719757914543
pythia-1b,1,6,0.0007669880869798362
pythia-1b,1,7,-0.0005908344173803926
pythia-1b,2,0,-0.00046052943798713386
pythia-1b,2,1,0.0003329361788928509
pythia-1b,2,2,0.0008875044295564294
pythia-1b,2,3,6.8755449319724e-05
pythia-1b,2,4,-0.0013200491666793823
pythia-1b,2,5,0.0004440571938175708
pythia-1b,2,6,-0.0002861741231754422
pythia-1b,2,7,0.0009811229538172483
pythia-1b,3,0,-0.0007813317934051156
pythia-1b,3,1,0.0007895819144323468
pythia-1b,3,2,5.6021806813078e-05
pythia-1b,3,3,-0.0008099833503365517
pythia-1b,3,4,0.00018377239757683128
pythia-1b,3,5,-0.0003106299554929137
pythia-1b,3,6,-0.00029674082179553807
pythia-1b,3,7,-0.0005390603910200298
pythia-1b,4,0,0.0013699510600417852
pythia-1b,4,1,-0.0015856253448873758
pythia-1b,4,2,-0.0011457107029855251
pythia-1b,4,3,-0.0004708196793217212
pythia-1b,4,4,0.0009584470535628498
pythia-1b,4,5,0.0003681284433696419
pythia-1b,4,6,0.0017355196177959442
pythia-1b,4,7,-0.0010580382077023387
pythia-1b,5,0,-0.0009708426077850163
pythia-1b,5,1,-0.001682952861301601
pythia-1b,5,2,0.0006211711443029344
pythia-1b,5,3,-0.0007497479091398418
pythia-1b,5,4,0.002435632050037384
pythia-1b,5,5,-0.0006730769528076053
pythia-1b,5,6,-0.0018177428282797337
pythia-1b,5,7,5.4488496971316636e-05
pythia-1b,6,0,-0.0011844061082229018
pythia-1b,6,1,0.0005266021471470594
pythia-1b,6,2,-4.2626261347322725e-06
pythia-1b,6,3,-0.000492709397803992
pythia-1b,6,4,0.00048310926649719477
pythia-1b,6,5,0.0005942823481746018
pythia-1b,6,6,0.0007644160068593919
pythia-1b,6,7,-0.00023187018814496696
pythia-1b,7,0,0.00106573395896703
pythia-1b,7,1,-0.0007710242061875761
pythia-1b,7,2,0.0019034530268982053
pythia-1b,7,3,-0.0019505030941218138
pythia-1b,7,4,-0.0026766350492835045
pythia-1b,7,5,-0.002305875066667795
pythia-1b,7,6,-0.0013399478048086166
pythia-1b,7,7,-0.0019124632235616446
pythia-1b,8,0,0.0005470652831718326
pythia-1b,8,1,0.002468111691996455
pythia-1b,8,2,-0.0011022407561540604
pythia-1b,8,3,-0.00010226092854281887
pythia-1b,8,4,-0.0005541646387428045
pythia-1b,8,5,-0.0006268863216973841
pythia-1b,8,6,0.00051704520592466
pythia-1b,8,7,-0.0009067478822544217
pythia-1b,9,0,0.0030233997385948896
pythia-1b,9,1,-0.00022006130893714726
pythia-1b,9,2,-0.0012714337790384889
pythia-1b,9,3,0.001600012183189392
pythia-1b,9,4,0.0029297983273863792
