model,bos_sink,diffuse,induction,previous_token,total,induction_pct,previous_token_pct,bos_sink_pct,diffuse_pct
pythia-1.4b,258,102,7,17,384,1.8,4.4,67.2,26.6
pythia-160m,82,37,5,20,144,3.5,13.9,56.9,25.7
pythia-1b,72,41,4,11,128,3.1,8.6,56.2,32.0
pythia-410m,241,111,8,24,384,2.1,6.2,62.8,28.9
pythia-70m,17,17,3,11,48,6.2,22.9,35.4,35.4
