model,band,layer,head,n_correct,n_incorrect,induction_score_correct,induction_score_incorrect,induction_score_diff,bos_fraction_correct,bos_fraction_incorrect,source_fraction_correct,source_fraction_incorrect,target_fraction_correct,target_fraction_incorrect,repeat_fraction_correct,repeat_fraction_incorrect,entropy_correct,entropy_incorrect
pythia-70m,low,0,3,16,209,0.8934158086776733,0.9192475080490112,-0.02583169937133789,0.027003249153494835,0.011317512020468712,0.894026517868042,0.9201080203056335,0.00332718831487,0.0007974955369718373,0.05860181152820587,0.0643211081624031,0.5530458688735962,0.4583646059036255
pythia-70m,low,0,5,16,209,0.44449734687805176,0.5446176528930664,-0.10012030601501465,0.2579338550567627,0.21198970079421997,0.47373825311660767,0.5705971121788025,0.00538698211312294,0.005968502257019281,0.13077837228775024,0.10425177216529846,2.0093321800231934,1.8235524892807007
pythia-70m,low,2,6,16,209,0.684787392616272,0.50972980260849,0.17505759000778198,0.1808631420135498,0.23108169436454773,0.6988365650177002,0.5281423330307007,0.006864726077765226,0.01115207839757204,0.03674048185348511,0.10140905529260635,1.4718341827392578,1.989444375038147
pythia-70m,medium,0,3,28,197,0.9045271873474121,0.9010790586471558,0.0034481287002563477,0.006013483740389347,0.013163522817194462,0.9053583741188049,0.9025168418884277,0.0022723202127963305,0.00012684561079367995,0.0851406455039978,0.08277277648448944,0.49762436747550964,0.5151657462120056
pythia-70m,medium,0,5,28,197,0.4542785584926605,0.5820775628089905,-0.12779900431632996,0.2760295867919922,0.21171952784061432,0.4827331602573395,0.6001928448677063,0.0041044289246201515,0.006659845355898142,0.16793711483478546,0.09558527916669846,1.7619750499725342,1.7063270807266235
pythia-70m,medium,2,6,28,197,0.727323055267334,0.5291568636894226,0.19816619157791138,0.15062125027179718,0.2143920212984085,0.7430737614631653,0.5449349880218506,0.010255716741085052,0.011046486906707287,0.029964208602905273,0.12335366010665894,1.3941829204559326,1.9147530794143677
pythia-70m,high,0,3,39,186,0.8549109101295471,0.8688609600067139,-0.013950049877166748,0.028086265549063683,0.0192484799772501,0.855186939239502,0.8691859245300293,0.0001825574872782454,0.00010852744162548333,0.11606691032648087,0.11051198840141296,0.6710633039474487,0.6284753084182739
pythia-70m,high,0,5,39,186,0.46370378136634827,0.4931453466415405,-0.02944156527519226,0.29079923033714294,0.21746282279491425,0.4800296127796173,0.5131708383560181,0.0057142856530845165,0.005485064350068569,0.15124015510082245,0.17627941071987152,1.8075839281082153,1.8322362899780273
pythia-70m,high,2,6,39,186,0.7001815438270569,0.5629698038101196,0.13721174001693726,0.1831378936767578,0.22664561867713928,0.7158485054969788,0.5771530866622925,0.019231196492910385,0.009433169849216938,0.036432038992643356,0.11488249152898788,1.3481779098510742,1.705457329750061
pythia-70m,very_high,0,3,49,176,0.8061805367469788,0.8182958960533142,-0.01211535930633545,0.04674472287297249,0.043531376868486404,0.8065954446792603,0.8186884522438049,0.00011527767492225394,0.00011538672697497532,0.14503754675388336,0.13633979856967926,0.8277406692504883,0.8003016114234924
pythia-70m,very_high,0,5,49,176,0.4135567545890808,0.3735683560371399,0.03998839855194092,0.2222346067428589,0.2317732870578766,0.4302841126918793,0.38967373967170715,0.0024644332006573677,0.0043479870073497295,0.24976101517677307,0.28110453486442566,2.0702054500579834,2.0037291049957275
pythia-70m,very_high,2,6,49,176,0.7320459485054016,0.6692425608634949,0.06280338764190674,0.17995396256446838,0.19500595331192017,0.7452189922332764,0.6839665770530701,0.008101160638034344,0.0075936526991426945,0.022316724061965942,0.06361440569162369,1.2259072065353394,1.4097872972488403
pythia-70m,control,0,3,36,189,0.8206532597541809,0.8237049579620361,-0.0030516982078552246,0.048639483749866486,0.03777081146836281,0.8213350772857666,0.8241733908653259,6.705816485919058e-05,0.0004011277051176876,0.12712249159812927,0.13601741194725037,0.7958530187606812,0.7910031676292419
pythia-70m,control,0,5,36,189,0.4027099609375,0.4172227680683136,-0.014512807130813599,0.3227812647819519,0.2229183167219162,0.41742098331451416,0.43448925018310547,0.0033267750404775143,0.0044540720991790295,0.16793285310268402,0.2486802190542221,1.8282356262207031,1.9318989515304565
pythia-70m,control,2,6,36,189,0.6898937821388245,0.6666758060455322,0.023217976093292236,0.21552807092666626,0.19758428633213043,0.7047128081321716,0.6802474856376648,0.006293353624641895,0.009041361510753632,0.026782818138599396,0.060222990810871124,1.381120204925537,1.4321224689483643
pythia-160m,low,0,7,84,141,0.8789610266685486,0.8725837469100952,0.006377279758453369,0.06017811596393585,0.0669163390994072,0.8860262036323547,0.8801169395446777,0.0009406522149220109,0.0015489185461774468,0.04487966373562813,0.04339791089296341,0.6916418671607971,0.6985156536102295
pythia-160m,low,1,6,84,141,0.4630090594291687,0.5005640387535095,-0.03755497932434082,0.33745425939559937,0.29797202348709106,0.48171859979629517,0.5173559784889221,0.0045524174347519875,0.005585316102951765,0.06514210999011993,0.06838896125555038,2.1115429401397705,2.080554246902466
pythia-160m,low,1,10,84,141,0.5657965540885925,0.5951577425003052,-0.029361188411712646,0.4135110378265381,0.38198065757751465,0.5683692097663879,0.5985784530639648,0.0015372993657365441,0.0020441857632249594,0.006069142371416092,0.005565700586885214,0.9411535859107971,0.936896800994873
pythia-160m,low,3,3,84,141,0.4394649863243103,0.44505149126052856,-0.005586504936218262,0.0027392252814024687,0.0026121935807168484,0.44639286398887634,0.4505162239074707,0.0017779757035896182,0.002413971582427621,0.5217805504798889,0.5073046088218689,1.3844342231750488,1.386077642440796
pythia-160m,low,6,10,84,141,0.16500352323055267,0.182261660695076,-0.017258137464523315,0.18251892924308777,0.15185950696468353,0.22557033598423004,0.23738953471183777,0.05820167064666748,0.07206039130687714,0.11187086999416351,0.12636198103427887,3.4504969120025635,3.4663479328155518
pythia-160m,medium,0,7,99,126,0.8783419728279114,0.8850780725479126,-0.006736099720001221,0.05510769039392471,0.0471758171916008,0.8858026266098022,0.89024817943573,0.0007453821017406881,0.0006621303036808968,0.054054539650678635,0.056230489164590836,0.6757459044456482,0.6495268940925598
pythia-160m,medium,1,6,99,126,0.45911410450935364,0.4606834650039673,-0.0015693604946136475,0.3427898585796356,0.3400500416755676,0.48021984100341797,0.4768378734588623,0.005152012221515179,0.004555275198072195,0.06886545568704605,0.07280745357275009,2.110344886779785,2.0704386234283447
pythia-160m,medium,1,10,99,126,0.5917037129402161,0.5559327602386475,0.035770952701568604,0.3775341212749481,0.4203300178050995,0.5973852276802063,0.5581497550010681,0.0016236499650403857,0.001900992589071393,0.007767976727336645,0.008604370057582855,0.9617127776145935,0.9785943627357483
pythia-160m,medium,3,3,99,126,0.42805418372154236,0.44244566559791565,-0.014391481876373291,0.004020311404019594,0.0023981838021427393,0.4337705671787262,0.44688287377357483,0.0010902235517278314,0.0011125465389341116,0.5358611345291138,0.5283029079437256,1.2823137044906616,1.2382571697235107
pythia-160m,medium,6,10,99,126,0.17449833452701569,0.17512445151805878,-0.0006261169910430908,0.1933930516242981,0.15267077088356018,0.23023438453674316,0.22573669254779816,0.06477510929107666,0.07556477934122086,0.16029171645641327,0.1795501559972763,3.389801263809204,3.3944003582000732
pythia-160m,high,0,7,119,106,0.8424946069717407,0.8532915115356445,-0.010796904563903809,0.07948281615972519,0.06913916766643524,0.8459039926528931,0.8575499057769775,0.0008498812094330788,0.0006262954557314515,0.07032167911529541,0.06821165233850479,0.7523593902587891,0.7470143437385559
pythia-160m,high,1,6,119,106,0.4810469150543213,0.47190386056900024,0.009143054485321045,0.3424184024333954,0.3373895585536957,0.4952140152454376,0.48611345887184143,0.0042661032639443874,0.0036405425053089857,0.07797876745462418,0.08269050717353821,1.968335747718811,1.999646782875061
pythia-160m,high,1,10,119,106,0.5790632963180542,0.5655592679977417,0.0135040283203125,0.39891403913497925,0.4141514301300049,0.5815582275390625,0.568493664264679,0.0031500160694122314,0.0018723279936239123,0.008696223609149456,0.008989278227090836,0.9383642077445984,0.9245513081550598
pythia-160m,high,3,3,119,106,0.4139546751976013,0.42782801389694214,-0.01387333869934082,0.006110676098614931,0.0042151496745646,0.4167405962944031,0.43095898628234863,0.0019925860688090324,0.0006513199186883867,0.5584430694580078,0.5496468544006348,1.2019343376159668,1.166317105293274
pythia-160m,high,6,10,119,106,0.18016070127487183,0.19132594764232635,-0.011165246367454529,0.1934242844581604,0.16428953409194946,0.23452571034431458,0.24918124079704285,0.07225107401609421,0.057985253632068634,0.1651761531829834,0.17139795422554016,3.3565523624420166,3.4030442237854004
pythia-160m,very_high,0,7,147,78,0.8220422863960266,0.8124573826789856,0.009584903717041016,0.07990202307701111,0.08605140447616577,0.8260172009468079,0.8179303407669067,0.0007520490908063948,0.0007231674971990287,0.08787696063518524,0.09134585410356522,0.8616438508033752,0.9090809226036072
pythia-160m,very_high,1,6,147,78,0.45607268810272217,0.4834999144077301,-0.027427226305007935,0.35267743468284607,0.3181108236312866,0.4712640047073364,0.5014616250991821,0.00506917480379343,0.0050184885039925575,0.07783428579568863,0.08272217214107513,2.0407490730285645,2.060169219970703
pythia-160m,very_high,1,10,147,78,0.5931745171546936,0.6218799352645874,-0.0287054181098938,0.3815269470214844,0.354646772146225,0.5974950194358826,0.6259447336196899,0.002908409805968404,0.0028483348432928324,0.006641230545938015,0.007191406562924385,0.9228312969207764,0.8818119764328003
pythia-160m,very_high,3,3,147,78,0.3628441393375397,0.387466698884964,-0.024622559547424316,0.010637671686708927,0.007366257719695568,0.36470964550971985,0.39249223470687866,0.001339524518698454,0.0015389836626127362,0.6070153713226318,0.5848676562309265,1.1807292699813843,1.1954747438430786
pythia-160m,very_high,6,10,147,78,0.1560809463262558,0.1542809158563614,0.0018000304698944092,0.15924228727817535,0.11368497461080551,0.21124114096164703,0.2155046910047531,0.06188396364450455,0.06652475893497467,0.1951567828655243,0.2160380482673645,3.5093014240264893,3.5893354415893555
pythia-160m,control,0,7,121,104,0.8231385350227356,0.8203475475311279,0.002790987491607666,0.08567804843187332,0.08339615911245346,0.8264092206954956,0.8254233002662659,0.0007296998519450426,0.0012513803085312247,0.08099575340747833,0.08471088856458664,0.8493035435676575,0.8778331279754639
pythia-160m,control,1,6,121,104,0.47747868299484253,0.47558772563934326,0.0018909573554992676,0.3338176906108856,0.3319864273071289,0.49208328127861023,0.49076807498931885,0.004351667128503323,0.0042270515114068985,0.08227001875638962,0.08346614241600037,2.013782262802124,2.0346827507019043
pythia-160m,control,1,10,121,104,0.6474152207374573,0.5911254286766052,0.05628979206085205,0.33234715461730957,0.38632187247276306,0.6500676870346069,0.5938158631324768,0.0022092536091804504,0.002364586340263486,0.007270694710314274,0.008164235390722752,0.8546459674835205,0.9571775197982788
pythia-160m,control,3,3,121,104,0.3690434694290161,0.38094455003738403,-0.01190108060836792,0.008561467751860619,0.006467603612691164,0.37329962849617004,0.38318774104118347,0.0007977814530022442,0.0010765366023406386,0.6042041182518005,0.5969442129135132,1.1567853689193726,1.1510422229766846
pythia-160m,control,6,10,121,104,0.17037400603294373,0.18830376863479614,-0.017929762601852417,0.17186838388442993,0.1439075618982315,0.23046626150608063,0.24306344985961914,0.06434253603219986,0.07830007374286652,0.16827407479286194,0.17999280989170074,3.442741870880127,3.4455249309539795
