layer,head,role,bos_fraction,self_fraction,prev_fraction,source_fraction,target_fraction,repeat_fraction,induction_score,distractor_fraction,entropy,model,band
0,0,diffuse,0.13704510033130646,0.038537826389074326,0.06479621678590775,0.10757860541343689,0.031346071511507034,0.30776098370552063,0.015467856079339981,0.4162692427635193,4.265841960906982,pythia-70m,low
0,1,previous_token,0.0006299008382484317,0.22621791064739227,0.39637839794158936,0.02517509087920189,0.003913429565727711,0.8367453813552856,0.0012632682919502258,0.13353632390499115,2.7609736919403076,pythia-70m,low
0,2,bos_sink,0.4635404050350189,0.055214665830135345,0.018946576863527298,0.1435735523700714,0.020128440111875534,0.14964088797569275,0.0801502987742424,0.22311663627624512,3.2547085285186768,pythia-70m,low
0,3,induction,0.012432942166924477,0.06349905580282211,4.1677896660985425e-05,0.9182533621788025,0.0009773846250027418,0.06391443312168121,0.9174106121063232,0.004421947989612818,0.5176112651824951,pythia-70m,low
0,4,bos_sink,0.41890621185302734,0.165076345205307,0.1621113121509552,0.021928919479250908,0.005588286556303501,0.4563770592212677,0.0018741501262411475,0.0971994549036026,2.7799744606018066,pythia-70m,low
0,5,induction,0.21525682508945465,0.06961583346128464,0.006367201916873455,0.5637094974517822,0.0059271506033837795,0.10613812506198883,0.5374981164932251,0.10896851867437363,2.40145206451416,pythia-70m,low
0,6,bos_sink,0.7041289210319519,0.007576758973300457,0.018130211159586906,0.05099278315901756,0.013024948537349701,0.07986006885766983,0.005124729126691818,0.15199320018291473,2.1616413593292236,pythia-70m,low
0,7,previous_token,0.015762681141495705,0.20740962028503418,0.24122679233551025,0.047779157757759094,0.006561451591551304,0.7038504481315613,0.002422685967758298,0.22604629397392273,3.4736738204956055,pythia-70m,low
1,0,diffuse,0.2981553375720978,0.029730603098869324,0.045109398663043976,0.13854685425758362,0.035872068256139755,0.18088029325008392,0.01864168979227543,0.34654542803764343,3.947007417678833,pythia-70m,low
1,1,previous_token,0.28557950258255005,0.34094110131263733,0.24093623459339142,0.012703674845397472,0.0009390421328134835,0.6615331172943115,0.0005972097860649228,0.03924456983804703,2.310880661010742,pythia-70m,low
1,2,previous_token,0.007281286641955376,0.35183969140052795,0.28190964460372925,0.09346779435873032,0.004229416139423847,0.7556345462799072,0.003453421639278531,0.13938693702220917,2.9269680976867676,pythia-70m,low
1,3,previous_token,0.0026541543193161488,0.1436224728822708,0.29606571793556213,0.01157816220074892,0.00397578114643693,0.8191969990730286,0.001448397641070187,0.162594735622406,3.007533550262451,pythia-70m,low
1,4,bos_sink,0.4195234179496765,0.01922484114766121,0.01364194042980671,0.19694945216178894,0.03355928137898445,0.07666639983654022,0.05147271975874901,0.273301362991333,3.4814200401306152,pythia-70m,low
