model,model_capacity,n_layers,n_heads,n_total_heads,n_induction,pct_induction,n_prev_token,n_bos_sink,n_diffuse,pct_specialized,mean_induction_score,mean_entropy,mean_bos_fraction,pct_stable_heads,mean_majority_fraction
pythia-70m,70,6,8,48,3,6.25,11,17,17,64.58333333333333,0.05255175954039055,1.8552159576676786,0.291296111127426,77.08333333333334,0.9208333333333334
pythia-160m,160,12,12,144,5,3.4722222222222223,20,82,37,74.30555555555556,0.03265876085652591,1.6577230435702643,0.37762349927475136,82.63888888888889,0.9458333333333333
pythia-410m,410,24,16,384,8,2.0833333333333335,24,241,111,71.09375,0.033376842541043554,2.0966500270518202,0.4637391367784262,86.97916666666666,0.9572916666666668
pythia-1b,1000,16,8,128,4,3.125,11,72,41,67.96875,0.039286021740195756,2.5695963925631076,0.3565765811400524,86.71875,0.9546874999999999
pythia-1.4b,1400,24,16,384,7,1.8229166666666667,17,258,102,73.4375,0.028584352048259407,1.95802205515725,0.49345127698482577,87.23958333333334,0.9598958333333334
