model,draw,band,model_capacity,frequency_rank,mean_induction_score,mean_bos_fraction,mean_target_fraction,mean_repeat_fraction,mean_source_fraction,mean_entropy,entropy_median
pythia-70m,draw_1,low,70,1.0,0.052826794325581565,0.2909556099724435,0.07089873209973183,0.3657062881005307,0.08846123372545667,1.9046221890797217,1.875889000037115
pythia-70m,draw_1,medium,70,2.0,0.05503168648556008,0.2885650606989767,0.0788800261694091,0.3684497138116664,0.08826130125298481,1.876070551884671,1.8301417714038546
pythia-70m,draw_1,high,70,3.0,0.05292691307362644,0.29730752818308837,0.0766070573949543,0.3618661098686668,0.08613216884121755,1.8686590129509568,1.8329440124414589
pythia-70m,draw_1,very_high,70,4.0,0.05021569805782916,0.29418229802267315,0.09108564447643804,0.3631933643094574,0.08195627913461954,1.811353671985368,1.7664192482599874
pythia-70m,draw_1,control,70,,0.05175770575935549,0.28547005875994813,0.0929376560010018,0.3631347414338961,0.08287946681984681,1.8153743624376755,1.7789536262876595
pythia-70m,draw_2,low,70,1.0,0.05425761747392934,0.28425698978697617,0.07508591761356,0.3726379238869413,0.08891238865643332,1.9123630599739652,1.8787643159512584
pythia-70m,draw_2,medium,70,2.0,0.053646895239652825,0.28931531697285023,0.0790863103282818,0.3663098690061209,0.08613994728627039,1.880689205446591,1.8436824960669504
pythia-70m,draw_2,high,70,3.0,0.05340267220862616,0.29471188293441086,0.08219713290121852,0.36237483729685965,0.08523898086629493,1.8521681331718962,1.8121504552962382
pythia-70m,draw_2,very_high,70,4.0,0.05026018590598821,0.2875226255351478,0.08941706169829407,0.3679126065107994,0.08199499270475268,1.8362273507130642,1.7962074652133058
pythia-70m,draw_2,control,70,,0.04932693837250307,0.2957492918013753,0.09211606280103213,0.35964899133735645,0.08187062345083466,1.8202707295616467,1.7769840487090356
pythia-70m,draw_3,low,70,1.0,0.05317520133884471,0.29139465164733885,0.06645415921794139,0.3646288176435822,0.08914811667557261,1.9341546798823401,1.898531458028773
pythia-70m,draw_3,medium,70,2.0,0.05382016736013943,0.2911687123443798,0.07234144933098237,0.3675410663418006,0.08800586975627489,1.904002691153437,1.8640978998074995
pythia-70m,draw_3,high,70,3.0,0.05338232453278894,0.2991943747094718,0.08096888877708233,0.3612641008803621,0.08495471366255923,1.8420993168838322,1.792557761930072
pythia-70m,draw_3,very_high,70,4.0,0.05068761554315276,0.28917617164434944,0.09420361947659721,0.3617199842701666,0.08006724463860415,1.8221200692156951,1.7738386614705277
pythia-70m,draw_3,control,70,,0.052199337169423765,0.29175870473151044,0.08876935184122821,0.3615911598317325,0.08317401053330502,1.8144944529049098,1.7740472398345954
pythia-160m,draw_1,low,160,1.0,0.033856085448073954,0.3763651658616086,0.11057679297990702,0.2865504465558628,0.07091513144694996,1.6571470378373192,1.618951868923876
