model,layer,head,bos_fraction
pythia-70m,0,0,0.14625085294246673
pythia-70m,0,1,0.0007096767192706465
pythia-70m,0,2,0.5478948771953582
pythia-70m,0,3,0.025845603831112385
pythia-70m,0,4,0.3126255512237549
pythia-70m,0,5,0.22674925327301027
pythia-70m,0,6,0.7009181261062623
pythia-70m,0,7,0.013759002462029457
pythia-70m,1,0,0.3029288947582245
pythia-70m,1,1,0.31820462346076966
pythia-70m,1,2,0.008460638392716647
pythia-70m,1,3,0.0032392359338700772
pythia-70m,1,4,0.3789961993694305
pythia-70m,1,5,0.20587885975837708
pythia-70m,1,6,0.18683575689792634
pythia-70m,1,7,0.6402859091758728
pythia-70m,2,0,0.25160202383995056
pythia-70m,2,1,0.0003164599766023457
pythia-70m,2,2,0.19001832306385041
pythia-70m,2,3,0.05366149619221687
pythia-70m,2,4,0.0021448082057759165
pythia-70m,2,5,0.19948385953903197
pythia-70m,2,6,0.20905085504055024
pythia-70m,2,7,0.14556733071804046
pythia-70m,3,0,0.29699327051639557
pythia-70m,3,1,0.27625400125980376
pythia-70m,3,2,0.15081561505794525
pythia-70m,3,3,0.5089379847049713
pythia-70m,3,4,0.12062967419624329
pythia-70m,3,5,0.16507568061351777
pythia-70m,3,6,0.1153875783085823
pythia-70m,3,7,0.2491934210062027
pythia-70m,4,0,0.33408061861991883
pythia-70m,4,1,0.8678696632385254
pythia-70m,4,2,0.4561887264251709
pythia-70m,4,3,0.9118714690208435
pythia-70m,4,4,0.6006548047065735
pythia-70m,4,5,0.27910926938056946
pythia-70m,4,6,0.5122556090354919
pythia-70m,4,7,0.027728833816945554
pythia-70m,5,0,0.4117270648479462
pythia-70m,5,1,0.0005954113614279777
pythia-70m,5,2,0.034113213792443274
pythia-70m,5,3,0.07498631794005632
pythia-70m,5,4,0.8713614225387574
pythia-70m,5,5,0.8099847316741944
pythia-70m,5,6,0.8349706768989563
pythia-70m,5,7,5.707849268787868e-08
pythia-160m,0,0,0.3067627280950546
pythia-160m,0,1,0.44861950278282164
pythia-160m,0,2,0.013660556357353925
pythia-160m,0,3,0.015469725988805295
pythia-160m,0,4,0.002408977458253503
