layer,head,role,bos_fraction,self_fraction,prev_fraction,source_fraction,target_fraction,repeat_fraction,induction_score,distractor_fraction,entropy,model
0,0,diffuse,0.14625073969364166,0.041884083300828934,0.0795370414853096,0.09779989719390869,0.026905912905931473,0.335958331823349,0.013923333026468754,0.3930848240852356,4.2136664390563965,pythia-70m
0,1,previous_token,0.0007096768240444362,0.20738719403743744,0.41443756222724915,0.02003045193850994,0.003150012344121933,0.8576094508171082,0.0009142517228610814,0.118500255048275,2.6698546409606934,pythia-70m
0,2,bos_sink,0.5478950142860413,0.049191366881132126,0.016222629696130753,0.12126410007476807,0.01745426096022129,0.12693344056606293,0.06941686570644379,0.1864531934261322,2.8937981128692627,pythia-70m
0,3,induction,0.025845598429441452,0.10587327182292938,5.182645327295177e-05,0.8655315041542053,0.0003911245730705559,0.10625705868005753,0.8648471832275391,0.0019748208578675985,0.7024359703063965,pythia-70m
0,4,bos_sink,0.3126256465911865,0.22009848058223724,0.1897151619195938,0.020871534943580627,0.00438879057765007,0.5530543327331543,0.002021108753979206,0.10905972123146057,2.939143419265747,pythia-70m
0,5,induction,0.2267492115497589,0.11101087927818298,0.02020520158112049,0.49739763140678406,0.005201054271310568,0.1785411536693573,0.47777843475341797,0.09211105108261108,2.5379436016082764,pythia-70m
0,6,bos_sink,0.7009181976318359,0.00869310088455677,0.02043219283223152,0.050109174102544785,0.012531306594610214,0.08620880544185638,0.005391289945691824,0.15023256838321686,2.177990674972534,pythia-70m
0,7,previous_token,0.01375900860875845,0.23430441319942474,0.2910385727882385,0.03777903690934181,0.005909893661737442,0.758777379989624,0.0025646735448390245,0.18377459049224854,3.205090284347534,pythia-70m
1,0,bos_sink,0.3029289245605469,0.041913095861673355,0.05271894484758377,0.13389268517494202,0.03430251032114029,0.20571301877498627,0.02010096050798893,0.32316261529922485,3.925347089767456,pythia-70m
1,1,previous_token,0.3182046115398407,0.2705998420715332,0.24733732640743256,0.010400643572211266,0.0010434697614982724,0.6245230436325073,0.0006087670917622745,0.04582827910780907,2.4211978912353516,pythia-70m
1,2,previous_token,0.008460639975965023,0.3672737777233124,0.2913481891155243,0.07439598441123962,0.003556686919182539,0.7899332046508789,0.002720239106565714,0.123653344810009,2.809842109680176,pythia-70m
1,3,previous_token,0.0032392346765846014,0.1364831030368805,0.2764572203159332,0.01039927452802658,0.0039598895236849785,0.8045186996459961,0.0014538818504661322,0.1778828203678131,3.088754892349243,pythia-70m
1,4,bos_sink,0.3789958655834198,0.018798327073454857,0.01422064658254385,0.21020784974098206,0.035929225385189056,0.07931952178478241,0.053218990564346313,0.2955472767353058,3.633063793182373,pythia-70m
1,5,diffuse,0.20587891340255737,0.18892168998718262,0.1515401005744934,0.06776928156614304,0.010716129094362259,0.5373469591140747,0.01341189444065094,0.178288534283638,3.561414957046509,pythia-70m
1,6,diffuse,0.18683579564094543,0.1581219583749771,0.07091261446475983,0.1715220957994461,0.028631778433918953,0.3363800048828125,0.0836920440196991,0.27663031220436096,4.012062072753906,pythia-70m
1,7,bos_sink,0.640285849571228,0.12353148311376572,0.07362538576126099,0.02792441099882126,0.004426255356520414,0.25788772106170654,0.005848228931427002,0.0694756880402565,2.1205344200134277,pythia-70m
2,0,diffuse,0.25160208344459534,0.0790364071726799,0.10304324328899384,0.05452564358711243,0.014134109020233154,0.40050119161605835,0.009397981688380241,0.27923694252967834,3.7883613109588623,pythia-70m
2,1,previous_token,0.00031645980197936296,0.055451273918151855,0.8848294019699097,0.007444492541253567,2.143172787327785e-05,0.96769779920578,8.707440457556004e-08,0.024520395323634148,0.7561205625534058,pythia-70m
2,2,diffuse,0.19001828134059906,0.03921103850007057,0.04640743508934975,0.034335505217313766,0.012223073281347752,0.3195831775665283,0.010890900157392025,0.4438399374485016,3.915055513381958,pythia-70m
2,3,diffuse,0.05366155132651329,0.22439882159233093,0.18994379043579102,0.03961576148867607,0.010457619093358517,0.6399977207183838,0.008818511851131916,0.2562674880027771,3.631715774536133,pythia-70m
2,4,previous_token,0.002144809579476714,0.18825744092464447,0.27035626769065857,0.001492867711931467,0.000908721936866641,0.8626062870025635,0.0005508032627403736,0.13284745812416077,2.8560874462127686,pythia-70m
2,5,diffuse,0.19948384165763855,0.03686686232686043,0.03480425849556923,0.11231262236833572,0.04639356955885887,0.1685488224029541,0.03917313367128372,0.47326117753982544,4.176443099975586,pythia-70m
