model,band,delta_attn_frac
pythia-1.4b,control,-0.008929327598956927
pythia-1.4b,high,-0.011542266911861554
pythia-1.4b,low,-0.003597222220316554
pythia-1.4b,medium,-0.009135324891001217
pythia-1.4b,very_high,-0.011293541968668386
pythia-160m,control,-0.000668963665311495
pythia-160m,high,-0.0003821048570342711
pythia-160m,low,0.0005898415430229953
pythia-160m,medium,0.00013048693000183853
pythia-160m,very_high,0.003327967518523711
pythia-1b,control,-0.0035786564805616594
pythia-1b,high,0.00013891300534396578
pythia-1b,low,-0.0001338854947137147
pythia-1b,medium,0.0009801524096257896
pythia-1b,very_high,-0.0013953937370922986
pythia-410m,control,-0.0033559292313641853
pythia-410m,high,-0.0030913665693664827
pythia-410m,low,-0.003042920736120669
pythia-410m,medium,-0.002854429870574382
pythia-410m,very_high,-0.0037183321138926084
pythia-70m,control,-0.0005295699751410865
pythia-70m,high,-0.003139812227540062
pythia-70m,low,-0.005132282682324352
pythia-70m,medium,-0.00034436762621403716
pythia-70m,very_high,-0.0004142969030455079
