model,band,draw,base_convergence,circuit_convergence,convergence_shift,frac_shift
pythia-70m,low,draw_1,4.675555555555556,4.662222222222222,-0.01333333333333453,-0.0022222222222224217
pythia-70m,low,draw_2,4.728888888888889,4.746666666666667,0.017777777777777892,0.002962962962962982
pythia-70m,low,draw_3,4.768888888888889,4.764444444444444,-0.004444444444445139,-0.0007407407407408565
pythia-70m,medium,draw_1,4.551111111111111,4.5377777777777775,-0.013333333333333641,-0.0022222222222222734
pythia-70m,medium,draw_2,4.671111111111111,4.666666666666667,-0.004444444444444251,-0.0007407407407407085
pythia-70m,medium,draw_3,4.671111111111111,4.68,0.008888888888888502,0.001481481481481417
pythia-70m,high,draw_1,4.506666666666667,4.475555555555555,-0.031111111111111533,-0.005185185185185255
pythia-70m,high,draw_2,4.471111111111111,4.48,0.00888888888888939,0.001481481481481565
pythia-70m,high,draw_3,4.5377777777777775,4.524444444444445,-0.013333333333332753,-0.0022222222222221255
pythia-70m,very_high,draw_1,4.306666666666667,4.315555555555555,0.008888888888888502,0.001481481481481417
pythia-70m,very_high,draw_2,4.391111111111111,4.395555555555555,0.004444444444444251,0.0007407407407407085
pythia-70m,very_high,draw_3,4.3244444444444445,4.328888888888889,0.004444444444444251,0.0007407407407407085
pythia-70m,control,draw_1,4.373333333333333,4.342222222222222,-0.031111111111110645,-0.005185185185185108
pythia-70m,control,draw_2,4.382222222222223,4.3822222222222225,-8.881784197001252e-16,-1.4802973661668753e-16
pythia-70m,control,draw_3,4.3244444444444445,4.315555555555555,-0.00888888888888939,-0.001481481481481565
pythia-160m,low,draw_1,9.533333333333331,9.551111111111112,0.017777777777780557,0.001481481481481713
pythia-160m,low,draw_2,9.582222222222224,9.582222222222223,-1.7763568394002505e-15,-1.4802973661668753e-16
pythia-160m,low,draw_3,9.537777777777778,9.524444444444445,-0.013333333333333641,-0.0011111111111111367
pythia-160m,medium,draw_1,9.351111111111113,9.328888888888889,-0.02222222222222392,-0.0018518518518519933
pythia-160m,medium,draw_2,9.057777777777778,9.053333333333333,-0.004444444444445139,-0.00037037037037042825
pythia-160m,medium,draw_3,9.248888888888889,9.235555555555555,-0.013333333333333641,-0.0011111111111111367
pythia-160m,high,draw_1,8.96888888888889,9.0,0.031111111111110645,0.002592592592592554
pythia-160m,high,draw_2,8.95111111111111,8.933333333333334,-0.017777777777777004,-0.001481481481481417
pythia-160m,high,draw_3,8.924444444444445,8.986666666666666,0.06222222222222129,0.005185185185185108
pythia-160m,very_high,draw_1,8.72888888888889,8.71111111111111,-0.01777777777777878,-0.001481481481481565
pythia-160m,very_high,draw_2,8.795555555555556,8.71111111111111,-0.08444444444444521,-0.007037037037037101
pythia-160m,very_high,draw_3,8.493333333333334,8.533333333333333,0.03999999999999915,0.0033333333333332624
pythia-160m,control,draw_1,8.866666666666667,8.902222222222223,0.035555555555555785,0.002962962962962982
pythia-160m,control,draw_2,8.72888888888889,8.684444444444445,-0.04444444444444429,-0.0037037037037036904
pythia-160m,control,draw_3,8.475555555555555,8.488888888888889,0.013333333333333641,0.0011111111111111367
pythia-410m,low,draw_1,21.08888888888889,21.15111111111111,0.06222222222222129,0.002592592592592554
pythia-410m,low,draw_2,20.808888888888887,20.773333333333333,-0.03555555555555401,-0.001481481481481417
pythia-410m,low,draw_3,21.142222222222223,21.186666666666667,0.04444444444444429,0.0018518518518518452
pythia-410m,medium,draw_1,20.04888888888889,19.871111111111112,-0.17777777777777715,-0.007407407407407381
pythia-410m,medium,draw_2,19.968888888888888,20.093333333333334,0.12444444444444613,0.005185185185185255
pythia-410m,medium,draw_3,20.342222222222222,20.284444444444443,-0.057777777777779704,-0.002407407407407488
pythia-410m,high,draw_1,18.897777777777776,18.835555555555555,-0.06222222222222129,-0.002592592592592554
pythia-410m,high,draw_2,18.808888888888887,18.662222222222223,-0.14666666666666472,-0.00611111111111103
pythia-410m,high,draw_3,18.884444444444444,18.546666666666667,-0.3377777777777773,-0.014074074074074053
pythia-410m,very_high,draw_1,17.502222222222223,17.364444444444445,-0.137777777777778,-0.00574074074074075
pythia-410m,very_high,draw_2,17.52888888888889,17.404444444444444,-0.12444444444444613,-0.005185185185185255
pythia-410m,very_high,draw_3,17.657777777777778,17.475555555555555,-0.18222222222222229,-0.007592592592592595
pythia-410m,control,draw_1,17.835555555555555,17.782222222222224,-0.05333333333333101,-0.0022222222222221255
pythia-410m,control,draw_2,17.72,17.56888888888889,-0.15111111111110986,-0.006296296296296244
pythia-410m,control,draw_3,17.977777777777778,17.782222222222224,-0.19555555555555415,-0.00814814814814809
pythia-1b,low,draw_1,12.506666666666666,12.48,-0.026666666666665506,-0.0016666666666665941
pythia-1b,low,draw_2,12.417777777777776,12.382222222222222,-0.03555555555555401,-0.0022222222222221255
pythia-1b,low,draw_3,12.537777777777778,12.346666666666666,-0.19111111111111256,-0.011944444444444535
pythia-1b,medium,draw_1,11.88888888888889,11.817777777777778,-0.07111111111111157,-0.004444444444444473
pythia-1b,medium,draw_2,11.937777777777775,11.644444444444444,-0.2933333333333312,-0.0183333333333332
pythia-1b,medium,draw_3,11.937777777777775,11.80888888888889,-0.12888888888888594,-0.008055555555555372
pythia-1b,high,draw_1,11.386666666666668,11.36888888888889,-0.01777777777777878,-0.0011111111111111738
pythia-1b,high,draw_2,11.422222222222222,11.422222222222222,0.0,0.0
pythia-1b,high,draw_3,11.431111111111113,11.266666666666667,-0.16444444444444528,-0.01027777777777783
pythia-1b,very_high,draw_1,10.995555555555557,11.013333333333334,0.017777777777777004,0.0011111111111110628
pythia-1b,very_high,draw_2,11.08,11.142222222222221,0.06222222222222129,0.0038888888888888307
pythia-1b,very_high,draw_3,10.915555555555557,10.88888888888889,-0.026666666666667282,-0.0016666666666667052
pythia-1b,control,draw_1,11.164444444444444,11.04888888888889,-0.11555555555555408,-0.00722222222222213
pythia-1b,control,draw_2,11.11111111111111,11.12,0.008888888888888502,0.0005555555555555314
pythia-1b,control,draw_3,11.195555555555556,10.977777777777778,-0.21777777777777807,-0.01361111111111113
pythia-1.4b,low,draw_1,21.426666666666662,21.275555555555556,-0.1511111111111063,-0.006296296296296096
pythia-1.4b,low,draw_2,21.49333333333333,21.61777777777778,0.12444444444444969,0.005185185185185404
pythia-1.4b,low,draw_3,21.77777777777778,21.448888888888888,-0.32888888888889056,-0.013703703703703773
pythia-1.4b,medium,draw_1,19.27555555555556,19.115555555555556,-0.1600000000000037,-0.006666666666666821
pythia-1.4b,medium,draw_2,19.217777777777776,19.702222222222222,0.48444444444444557,0.020185185185185233
pythia-1.4b,medium,draw_3,19.622222222222224,19.364444444444445,-0.257777777777779,-0.010740740740740792
pythia-1.4b,high,draw_1,16.92,16.63111111111111,-0.2888888888888914,-0.012037037037037143
pythia-1.4b,high,draw_2,16.41777777777778,16.524444444444445,0.10666666666666558,0.004444444444444399
pythia-1.4b,high,draw_3,17.04,16.555555555555557,-0.484444444444442,-0.020185185185185084
pythia-1.4b,very_high,draw_1,14.746666666666666,14.27111111111111,-0.4755555555555553,-0.019814814814814802
pythia-1.4b,very_high,draw_2,14.488888888888887,14.724444444444444,0.23555555555555685,0.009814814814814868
pythia-1.4b,very_high,draw_3,14.604444444444445,14.506666666666666,-0.09777777777777885,-0.004074074074074119
pythia-1.4b,control,draw_1,15.364444444444445,15.302222222222222,-0.06222222222222307,-0.0025925925925926276
pythia-1.4b,control,draw_2,15.062222222222225,15.088888888888889,0.02666666666666373,0.0011111111111109888
pythia-1.4b,control,draw_3,15.035555555555556,14.697777777777778,-0.3377777777777773,-0.014074074074074053
