model,metric,mean,std,cv,range
pythia-70m,knn_purity,0.31534814814814816,0.007423331032723728,0.023540112971382678,0.014844444444444438
pythia-70m,probe_accuracy,0.48148148148148145,0.016966682432261238,0.035238494282388726,0.03200000000000003
pythia-70m,separation_ratio,3.890839002304972,0.02345480573397994,0.006028212866192891,0.046606050746220706
pythia-160m,knn_purity,0.3112,0.006899633198337788,0.02217105783527567,0.013777777777777778
pythia-160m,probe_accuracy,0.4912592592592593,0.021959933586592935,0.044701312337003106,0.04355555555555557
pythia-160m,separation_ratio,4.603228349737297,0.04859425497319387,0.010556559718782386,0.09334652450464453
pythia-410m,knn_purity,0.3182814814814815,0.008838225991856475,0.027768583804240927,0.01751111111111109
pythia-410m,probe_accuracy,0.4992592592592593,0.021779289441110558,0.043623205853856456,0.043555555555555514
pythia-410m,separation_ratio,5.565524631573386,0.03646807488575236,0.00655249546087136,0.06599421201279743
pythia-1b,knn_purity,0.32565925925925926,0.010879481953292483,0.033407562180294906,0.021688888888888924
pythia-1b,probe_accuracy,0.5084444444444444,0.025031338382806627,0.04923121622492563,0.047111111111111104
pythia-1b,separation_ratio,7.420597136394018,0.04686313443378497,0.006315278079704209,0.08302105768161372
pythia-1.4b,knn_purity,0.3278814814814815,0.007800137173005089,0.023789502041290597,0.0155555555555556
pythia-1.4b,probe_accuracy,0.5214814814814815,0.01417585032759191,0.027183803895240166,0.025777777777777677
pythia-1.4b,separation_ratio,7.514800509843101,0.05966304783684205,0.007939405411852741,0.11700225408686027
