model,draw,band_1,band_2,cka,is_adjacent
pythia-1b,draw_1,high,control,0.66532693320217,False
pythia-1b,draw_1,very_high,control,0.66268813516954,False
pythia-1b,draw_2,low,medium,0.6502805342183986,True
pythia-1b,draw_2,low,high,0.6427899604899269,False
pythia-1b,draw_2,low,very_high,0.6518021505137854,False
pythia-1b,draw_2,low,control,0.6946008539635149,True
pythia-1b,draw_2,medium,high,0.6272195191554152,True
pythia-1b,draw_2,medium,very_high,0.6389388716953961,False
pythia-1b,draw_2,medium,control,0.6737643517312815,False
pythia-1b,draw_2,high,very_high,0.6244174358494515,True
pythia-1b,draw_2,high,control,0.6614431292582122,False
pythia-1b,draw_2,very_high,control,0.6749800329937755,False
pythia-1b,draw_3,low,medium,0.6117534792571646,True
pythia-1b,draw_3,low,high,0.6077725605794165,False
pythia-1b,draw_3,low,very_high,0.6266208382305908,False
pythia-1b,draw_3,low,control,0.6463107450094365,True
pythia-1b,draw_3,medium,high,0.5966110838149801,True
pythia-1b,draw_3,medium,very_high,0.6265301439097918,False
pythia-1b,draw_3,medium,control,0.6424489715260738,False
pythia-1b,draw_3,high,very_high,0.6161985100358793,True
pythia-1b,draw_3,high,control,0.6339585171554157,False
pythia-1b,draw_3,very_high,control,0.6629912238408546,False
pythia-1.4b,draw_1,low,medium,0.649064904137532,True
pythia-1.4b,draw_1,low,high,0.6447124042328453,False
pythia-1.4b,draw_1,low,very_high,0.6432798361875665,False
pythia-1.4b,draw_1,low,control,0.6636542114670796,True
pythia-1.4b,draw_1,medium,high,0.642363798865658,True
pythia-1.4b,draw_1,medium,very_high,0.652307485684403,False
pythia-1.4b,draw_1,medium,control,0.6705457068807792,False
pythia-1.4b,draw_1,high,very_high,0.6363972596161805,True
pythia-1.4b,draw_1,high,control,0.6568054281391391,False
pythia-1.4b,draw_1,very_high,control,0.6593511617809398,False
pythia-1.4b,draw_2,low,medium,0.6410917877784846,True
pythia-1.4b,draw_2,low,high,0.6376454092952245,False
pythia-1.4b,draw_2,low,very_high,0.6458952261856719,False
pythia-1.4b,draw_2,low,control,0.6862378950314143,True
pythia-1.4b,draw_2,medium,high,0.6174759726599017,True
pythia-1.4b,draw_2,medium,very_high,0.6334962129902437,False
pythia-1.4b,draw_2,medium,control,0.6670941224532039,False
pythia-1.4b,draw_2,high,very_high,0.6208195593319937,True
pythia-1.4b,draw_2,high,control,0.6546746773879744,False
pythia-1.4b,draw_2,very_high,control,0.6712119694783184,False
pythia-1.4b,draw_3,low,medium,0.6071192742801441,True
pythia-1.4b,draw_3,low,high,0.6006718670377629,False
pythia-1.4b,draw_3,low,very_high,0.6213348652209911,False
pythia-1.4b,draw_3,low,control,0.63771368932314,True
pythia-1.4b,draw_3,medium,high,0.5912786049382672,True
pythia-1.4b,draw_3,medium,very_high,0.6217331700466786,False
pythia-1.4b,draw_3,medium,control,0.6336274734258521,False
pythia-1.4b,draw_3,high,very_high,0.6131503444343743,True
pythia-1.4b,draw_3,high,control,0.6280996759813967,False
pythia-1.4b,draw_3,very_high,control,0.6602291767445649,False
