model,band_1,band_2,mean_angle_deg,max_angle_deg,min_angle_deg
pythia-70m,low,medium,4015.50146484375,5149.4013671875,2439.33447265625
pythia-70m,low,high,4001.91943359375,5062.376953125,2908.621826171875
pythia-70m,low,very_high,4232.97265625,5120.06005859375,3329.796142578125
pythia-70m,low,control,4153.01318359375,5069.0263671875,3269.0830078125
pythia-70m,medium,high,3795.635498046875,5022.0224609375,2506.781494140625
pythia-70m,medium,very_high,4075.90966796875,5116.58447265625,2918.7373046875
pythia-70m,medium,control,3976.77392578125,5013.0302734375,2800.84814453125
pythia-70m,high,very_high,3821.79833984375,5154.02197265625,2624.670166015625
pythia-70m,high,control,3661.69287109375,5136.44970703125,2436.847900390625
pythia-70m,very_high,control,3423.39208984375,4977.27880859375,1931.7562255859375
pythia-160m,low,medium,4259.24560546875,5121.78369140625,2848.068603515625
pythia-160m,low,high,4344.1728515625,5096.40478515625,3360.689208984375
pythia-160m,low,very_high,4431.4599609375,5054.96484375,3550.17919921875
pythia-160m,low,control,4401.7060546875,5154.60546875,3671.129638671875
pythia-160m,medium,high,4130.0654296875,5056.19873046875,3156.195068359375
pythia-160m,medium,very_high,4334.4677734375,5156.5234375,3330.953369140625
pythia-160m,medium,control,4329.8408203125,5145.2587890625,3268.947265625
pythia-160m,high,very_high,4112.02099609375,5048.85400390625,3028.23193359375
pythia-160m,high,control,3923.36962890625,5104.7646484375,2825.13623046875
pythia-160m,very_high,control,3701.750732421875,5088.21533203125,2383.291259765625
pythia-410m,low,medium,4383.8017578125,5054.2763671875,3276.173828125
pythia-410m,low,high,4374.4638671875,5039.18310546875,3324.766357421875
pythia-410m,low,very_high,4457.37646484375,5040.29833984375,3685.8291015625
pythia-410m,low,control,4436.63232421875,5126.05859375,3753.458251953125
pythia-410m,medium,high,4322.7626953125,5128.9736328125,3334.1298828125
pythia-410m,medium,very_high,4413.4501953125,5110.58740234375,3555.89697265625
pythia-410m,medium,control,4351.1884765625,5042.68115234375,3526.78369140625
pythia-410m,high,very_high,4178.0771484375,5129.8564453125,3232.0126953125
pythia-410m,high,control,4018.27685546875,5153.2216796875,2926.978759765625
pythia-410m,very_high,control,3733.931640625,5086.8291015625,2623.732421875
pythia-1b,low,medium,4591.27099609375,5082.10302734375,3579.6123046875
pythia-1b,low,high,4586.1591796875,5089.77197265625,3779.02294921875
pythia-1b,low,very_high,4663.81640625,5114.697265625,4069.28125
pythia-1b,low,control,4669.3505859375,5137.19287109375,4079.374267578125
pythia-1b,medium,high,4500.7626953125,5089.44580078125,3829.200927734375
pythia-1b,medium,very_high,4603.83642578125,5113.56005859375,3920.055908203125
pythia-1b,medium,control,4598.4404296875,5151.34521484375,3793.501220703125
pythia-1b,high,very_high,4435.80908203125,5145.26025390625,3686.252685546875
pythia-1b,high,control,4299.20556640625,5050.28955078125,3293.889404296875
pythia-1b,very_high,control,4091.2734375,5027.431640625,2950.452392578125
pythia-1.4b,low,medium,4561.40625,5116.29638671875,3522.47265625
pythia-1.4b,low,high,4528.99658203125,5102.05126953125,3594.33544921875
pythia-1.4b,low,very_high,4624.74560546875,5059.77001953125,3961.1396484375
pythia-1.4b,low,control,4634.3857421875,5147.9365234375,4049.18505859375
pythia-1.4b,medium,high,4459.7626953125,5156.0966796875,3603.488037109375
pythia-1.4b,medium,very_high,4585.9111328125,5096.72509765625,3904.3662109375
pythia-1.4b,medium,control,4543.89453125,5123.36572265625,3700.25830078125
pythia-1.4b,high,very_high,4393.8955078125,5126.5849609375,3446.1728515625
pythia-1.4b,high,control,4221.50634765625,5079.359375,3123.150146484375
pythia-1.4b,very_high,control,4025.780029296875,5128.578125,2789.783935546875
