model,draw,model_capacity,knn_purity,knn_p_value,probe_accuracy,mlp_accuracy,linearity_gap,separation_ratio
pythia-70m,draw_1,70,0.308,0.0,0.488,0.4604444444444445,-0.0275555555555555,3.9156800914477734
pythia-70m,draw_2,70,0.3152,0.0,0.4622222222222222,0.4275555555555556,-0.03466666666666662,3.8877628747655884
pythia-70m,draw_3,70,0.32284444444444443,0.0,0.49422222222222223,0.47555555555555556,-0.018666666666666665,3.8690740407015527
pythia-160m,draw_1,160,0.3040888888888889,0.0,0.47111111111111115,0.4373333333333333,-0.03377777777777785,4.618849199356775
pythia-160m,draw_2,160,0.31164444444444445,0.0,0.488,0.46577777777777774,-0.022222222222222254,4.5487446626752375
pythia-160m,draw_3,160,0.3178666666666667,0.0,0.5146666666666667,0.5004444444444445,-0.014222222222222247,4.642091187179882
pythia-410m,draw_1,410,0.31022222222222223,0.0,0.47733333333333333,0.4808888888888889,0.0035555555555555896,5.547594713147273
pythia-410m,draw_2,410,0.3168888888888889,0.0,0.4995555555555556,0.47377777777777774,-0.025777777777777844,5.541492484780045
pythia-410m,draw_3,410,0.3277333333333333,0.0,0.5208888888888888,0.5146666666666666,-0.00622222222222224,5.607486696792843
pythia-1b,draw_1,1000,0.3143111111111111,0.0,0.5182222222222223,0.49066666666666664,-0.02755555555555561,7.391643536109663
pythia-1b,draw_2,1000,0.32666666666666666,0.0,0.48,0.4746666666666666,-0.005333333333333357,7.3954832792811125
pythia-1b,draw_3,1000,0.336,0.0,0.5271111111111111,0.5253333333333334,-0.001777777777777656,7.474664593791276
pythia-1.4b,draw_1,1400,0.3204444444444444,0.0,0.5120000000000001,0.5057777777777778,-0.006222222222222351,7.528330595422025
pythia-1.4b,draw_2,1400,0.3272,0.0,0.5146666666666666,0.4960000000000001,-0.018666666666666498,7.449534340010209
pythia-1.4b,draw_3,1400,0.336,0.0,0.5377777777777778,0.5057777777777778,-0.03200000000000003,7.5665365940970695
